All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_training_defense_hsj_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b02__l2', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'none', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='1'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.055756 queries=388
[2/40] attack_calibration member=1 distance=0.14145 queries=386
[3/40] attack_calibration member=1 distance=0.43073 queries=393
[4/40] attack_calibration member=1 distance=0.1054 queries=388
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0 queries=0
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.063025 queries=386
[10/40] attack_calibration member=1 distance=0.57118 queries=392
[11/40] attack_calibration member=1 distance=0.4994 queries=395
[12/40] attack_calibration member=1 distance=0.60192 queries=386
[13/40] attack_calibration member=1 distance=0 queries=0
[14/40] attack_calibration member=1 distance=0.13909 queries=386
[15/40] attack_calibration member=1 distance=0.27729 queries=389
[16/40] attack_calibration member=1 distance=0.22867 queries=386
[17/40] attack_calibration member=1 distance=0.016889 queries=386
[18/40] attack_calibration member=1 distance=0.016716 queries=386
[19/40] attack_calibration member=1 distance=0.18677 queries=386
[20/40] attack_calibration member=1 distance=0.23082 queries=387
[21/40] attack_calibration member=0 distance=0.43471 queries=394
[22/40] attack_calibration member=0 distance=0 queries=0
[23/40] attack_calibration member=0 distance=0.39896 queries=388
[24/40] attack_calibration member=0 distance=0.49503 queries=391
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.038271 queries=386
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=0.904 queries=395
[30/40] attack_calibration member=0 distance=0 queries=0
[31/40] attack_calibration member=0 distance=0.55779 queries=389
[32/40] attack_calibration member=0 distance=0.16483 queries=387
[33/40] attack_calibration member=0 distance=0.10757 queries=387
[34/40] attack_calibration member=0 distance=0.1817 queries=387
[35/40] attack_calibration member=0 distance=0.032247 queries=386
[36/40] attack_calibration member=0 distance=0.051369 queries=386
[37/40] attack_calibration member=0 distance=0.042215 queries=388
[38/40] attack_calibration member=0 distance=0 queries=0
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.091314 queries=390
[1/40] final_evaluation member=1 distance=0.0071692 queries=386
[2/40] final_evaluation member=1 distance=0.51379 queries=387
[3/40] final_evaluation member=1 distance=0.58602 queries=387
[4/40] final_evaluation member=1 distance=0 queries=0
[5/40] final_evaluation member=1 distance=0.032488 queries=386
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0.86136 queries=388
[8/40] final_evaluation member=1 distance=0.14224 queries=386
[9/40] final_evaluation member=1 distance=0.029272 queries=387
[10/40] final_evaluation member=1 distance=0.44724 queries=387
[11/40] final_evaluation member=1 distance=0.012248 queries=386
[12/40] final_evaluation member=1 distance=0 queries=0
[13/40] final_evaluation member=1 distance=0.042696 queries=386
[14/40] final_evaluation member=1 distance=0.25202 queries=391
[15/40] final_evaluation member=1 distance=0.058063 queries=386
[16/40] final_evaluation member=1 distance=0 queries=0
[17/40] final_evaluation member=1 distance=0.13982 queries=386
[18/40] final_evaluation member=1 distance=0 queries=0
[19/40] final_evaluation member=1 distance=0.54747 queries=386
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=1.046 queries=389
