All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_training_defense_hsj_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'none', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='4'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0 queries=0
[2/40] attack_calibration member=1 distance=0 queries=0
[3/40] attack_calibration member=1 distance=0.082541 queries=386
[4/40] attack_calibration member=1 distance=0.16259 queries=388
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0.19797 queries=386
[7/40] attack_calibration member=1 distance=0.017988 queries=386
[8/40] attack_calibration member=1 distance=0.13501 queries=386
[9/40] attack_calibration member=1 distance=0.11275 queries=387
[10/40] attack_calibration member=1 distance=0 queries=0
[11/40] attack_calibration member=1 distance=0.032307 queries=386
[12/40] attack_calibration member=1 distance=0.030394 queries=386
[13/40] attack_calibration member=1 distance=0.2104 queries=386
[14/40] attack_calibration member=1 distance=0.34127 queries=386
[15/40] attack_calibration member=1 distance=0.12386 queries=386
[16/40] attack_calibration member=1 distance=0.0080276 queries=386
[17/40] attack_calibration member=1 distance=0.24243 queries=386
[18/40] attack_calibration member=1 distance=0.10826 queries=386
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=0 queries=0
[21/40] attack_calibration member=0 distance=0 queries=0
[22/40] attack_calibration member=0 distance=0 queries=0
[23/40] attack_calibration member=0 distance=0.063796 queries=386
[24/40] attack_calibration member=0 distance=0.012939 queries=388
[25/40] attack_calibration member=0 distance=0.22072 queries=386
[26/40] attack_calibration member=0 distance=0 queries=0
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=0.14282 queries=386
[30/40] attack_calibration member=0 distance=0 queries=0
[31/40] attack_calibration member=0 distance=0.0022156 queries=386
[32/40] attack_calibration member=0 distance=0 queries=0
[33/40] attack_calibration member=0 distance=0.16524 queries=386
[34/40] attack_calibration member=0 distance=0.16411 queries=386
[35/40] attack_calibration member=0 distance=0.017571 queries=386
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.13233 queries=386
[38/40] attack_calibration member=0 distance=0.087957 queries=386
[39/40] attack_calibration member=0 distance=0.16093 queries=386
[40/40] attack_calibration member=0 distance=0.11954 queries=386
[1/40] final_evaluation member=1 distance=0.042659 queries=386
[2/40] final_evaluation member=1 distance=0.10715 queries=386
[3/40] final_evaluation member=1 distance=0.089832 queries=387
[4/40] final_evaluation member=1 distance=0 queries=0
[5/40] final_evaluation member=1 distance=0.11095 queries=388
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0 queries=0
[8/40] final_evaluation member=1 distance=0.0093489 queries=386
[9/40] final_evaluation member=1 distance=0.048158 queries=386
[10/40] final_evaluation member=1 distance=0 queries=0
[11/40] final_evaluation member=1 distance=0.2055 queries=386
[12/40] final_evaluation member=1 distance=0.21238 queries=386
[13/40] final_evaluation member=1 distance=0.3035 queries=386
[14/40] final_evaluation member=1 distance=0.39109 queries=387
[15/40] final_evaluation member=1 distance=0.2686 queries=387
[16/40] final_evaluation member=1 distance=0.065227 queries=386
[17/40] final_evaluation member=1 distance=0.11285 queries=386
[18/40] final_evaluation member=1 distance=0.13105 queries=386
[19/40] final_evaluation member=1 distance=0.1461 queries=387
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=0.26174 queries=386
[22/40] final_evaluation member=0 distance=0.017629 queries=386
[23/40] final_evaluation member=0 distance=0 queries=0
[24/40] final_evaluation member=0 distance=0.19905 queries=388
[25/40] final_evaluation member=0 distance=0.081098 queries=387
[26/40] final_evaluation member=0 distance=0.3625 queries=386
[27/40] final_evaluation member=0 distance=0 queries=0
[28/40] final_evaluation member=0 distance=0 queries=0
[29/40] final_evaluation member=0 distance=0 queries=0
[30/40] final_evaluation member=0 distance=0.10207 queries=386
[31/40] final_evaluation member=0 distance=0 queries=0
[32/40] final_evaluation member=0 distance=0.074242 queries=386
[33/40] final_evaluation member=0 distance=0.028871 queries=386
[34/40] final_evaluation member=0 distance=0.32892 queries=386
[35/40] final_evaluation member=0 distance=0.20517 queries=386
[36/40] final_evaluation member=0 distance=0 queries=0
[37/40] final_evaluation member=0 distance=0.99467 queries=387
[38/40] final_evaluation member=0 distance=0.019074 queries=387
[39/40] final_evaluation member=0 distance=0.0015369 queries=387
[40/40] final_evaluation member=0 distance=0.059041 queries=386
[DONE] /home/najeeb/qurift_satML/pets_results/defenses/PETS_CREDIT_high_eff_su2_r5_d6_b04__dp_qml/hsj/none_metrics.json
