All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/pilot_credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b01__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'memgq_lattice', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='4'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.30299 queries=386
[2/40] attack_calibration member=1 distance=0.24516 queries=418
[3/40] attack_calibration member=1 distance=1.0746 queries=386
[4/40] attack_calibration member=1 distance=0 queries=0
[5/40] attack_calibration member=1 distance=0.24855 queries=386
[6/40] attack_calibration member=1 distance=0.44097 queries=386
[7/40] attack_calibration member=1 distance=0.28337 queries=418
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.17921 queries=386
[10/40] attack_calibration member=1 distance=0.28422 queries=386
[11/40] attack_calibration member=1 distance=0.22271 queries=386
[12/40] attack_calibration member=1 distance=0.3327 queries=386
[13/40] attack_calibration member=1 distance=0.21471 queries=386
[14/40] attack_calibration member=1 distance=0.38612 queries=386
[15/40] attack_calibration member=1 distance=0.24201 queries=386
[16/40] attack_calibration member=1 distance=0.33034 queries=386
[17/40] attack_calibration member=1 distance=0.033479 queries=418
[18/40] attack_calibration member=1 distance=0.45407 queries=386
[19/40] attack_calibration member=1 distance=0.22613 queries=386
[20/40] attack_calibration member=1 distance=0.4029 queries=386
[21/40] attack_calibration member=0 distance=0.29446 queries=386
[22/40] attack_calibration member=0 distance=0 queries=0
[23/40] attack_calibration member=0 distance=0.036951 queries=386
[24/40] attack_calibration member=0 distance=0.23029 queries=418
[25/40] attack_calibration member=0 distance=0.38539 queries=386
[26/40] attack_calibration member=0 distance=0.5887 queries=386
[27/40] attack_calibration member=0 distance=0.4207 queries=418
[28/40] attack_calibration member=0 distance=0.28712 queries=418
[29/40] attack_calibration member=0 distance=0.37696 queries=386
[30/40] attack_calibration member=0 distance=0.65256 queries=386
[31/40] attack_calibration member=0 distance=0.77078 queries=386
[32/40] attack_calibration member=0 distance=0.53263 queries=386
[33/40] attack_calibration member=0 distance=0 queries=0
[34/40] attack_calibration member=0 distance=0.29276 queries=450
[35/40] attack_calibration member=0 distance=0.33485 queries=386
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.28555 queries=418
[38/40] attack_calibration member=0 distance=0.95069 queries=386
[39/40] attack_calibration member=0 distance=0.34566 queries=386
[40/40] attack_calibration member=0 distance=0.36171 queries=386
[1/40] final_evaluation member=1 distance=0.9628 queries=386
[2/40] final_evaluation member=1 distance=0.33515 queries=386
[3/40] final_evaluation member=1 distance=1.6482 queries=386
[4/40] final_evaluation member=1 distance=0 queries=0
[5/40] final_evaluation member=1 distance=0.40492 queries=418
[6/40] final_evaluation member=1 distance=0.43338 queries=386
[7/40] final_evaluation member=1 distance=1.0143 queries=418
[8/40] final_evaluation member=1 distance=0.49515 queries=386
[9/40] final_evaluation member=1 distance=0.34247 queries=386
[10/40] final_evaluation member=1 distance=0.28605 queries=418
[11/40] final_evaluation member=1 distance=0.048964 queries=386
[12/40] final_evaluation member=1 distance=0.40626 queries=386
[13/40] final_evaluation member=1 distance=0.3755 queries=386
[14/40] final_evaluation member=1 distance=0.31484 queries=450
[15/40] final_evaluation member=1 distance=0.30961 queries=386
[16/40] final_evaluation member=1 distance=0.37297 queries=386
[17/40] final_evaluation member=1 distance=0 queries=0
[18/40] final_evaluation member=1 distance=0.33269 queries=386
[19/40] final_evaluation member=1 distance=0.31874 queries=386
[20/40] final_evaluation member=1 distance=0.42407 queries=386
[21/40] final_evaluation member=0 distance=0 queries=0
[22/40] final_evaluation member=0 distance=0.49226 queries=386
[23/40] final_evaluation member=0 distance=0 queries=0
[24/40] final_evaluation member=0 distance=0.30038 queries=386
[25/40] final_evaluation member=0 distance=0.38222 queries=386
[26/40] final_evaluation member=0 distance=0.064287 queries=386
[27/40] final_evaluation member=0 distance=0.51304 queries=386
[28/40] final_evaluation member=0 distance=0.042654 queries=386
[29/40] final_evaluation member=0 distance=0.85901 queries=386
[30/40] final_evaluation member=0 distance=0.34439 queries=418
[31/40] final_evaluation member=0 distance=0.14893 queries=386
[32/40] final_evaluation member=0 distance=0.25957 queries=386
[33/40] final_evaluation member=0 distance=0 queries=0
[34/40] final_evaluation member=0 distance=0.3597 queries=386
[35/40] final_evaluation member=0 distance=0 queries=0
[36/40] final_evaluation member=0 distance=0.36911 queries=450
[37/40] final_evaluation member=0 distance=0.32941 queries=386
[38/40] final_evaluation member=0 distance=0.46662 queries=386
[39/40] final_evaluation member=0 distance=0.44704 queries=386
[40/40] final_evaluation member=0 distance=0.15581 queries=386
