All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b03__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'none', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='4'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.12678 queries=386
[2/40] attack_calibration member=1 distance=0.22254 queries=386
[3/40] attack_calibration member=1 distance=0.15229 queries=386
[4/40] attack_calibration member=1 distance=0 queries=0
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0.17187 queries=386
[7/40] attack_calibration member=1 distance=0.030201 queries=386
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.26445 queries=386
[10/40] attack_calibration member=1 distance=0.14948 queries=386
[11/40] attack_calibration member=1 distance=1.7461 queries=386
[12/40] attack_calibration member=1 distance=0.16258 queries=386
[13/40] attack_calibration member=1 distance=0.16444 queries=386
[14/40] attack_calibration member=1 distance=0.90863 queries=386
[15/40] attack_calibration member=1 distance=1.1802 queries=386
[16/40] attack_calibration member=1 distance=0 queries=0
[17/40] attack_calibration member=1 distance=0.31053 queries=386
[18/40] attack_calibration member=1 distance=0 queries=0
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=0.37859 queries=386
[21/40] attack_calibration member=0 distance=0.18209 queries=386
[22/40] attack_calibration member=0 distance=0.32582 queries=418
[23/40] attack_calibration member=0 distance=0.05988 queries=386
[24/40] attack_calibration member=0 distance=0.17269 queries=386
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.30177 queries=386
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=0.38385 queries=386
[30/40] attack_calibration member=0 distance=0.13615 queries=386
[31/40] attack_calibration member=0 distance=0.19447 queries=386
[32/40] attack_calibration member=0 distance=0.14946 queries=386
[33/40] attack_calibration member=0 distance=0.10158 queries=386
[34/40] attack_calibration member=0 distance=0.12736 queries=386
[35/40] attack_calibration member=0 distance=0.42714 queries=386
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.17923 queries=386
[38/40] attack_calibration member=0 distance=0.06572 queries=386
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.24128 queries=386
[1/40] final_evaluation member=1 distance=0.17674 queries=386
[2/40] final_evaluation member=1 distance=0.18131 queries=386
[3/40] final_evaluation member=1 distance=0.4694 queries=386
[4/40] final_evaluation member=1 distance=0.16215 queries=386
[5/40] final_evaluation member=1 distance=0.14324 queries=386
[6/40] final_evaluation member=1 distance=0.11481 queries=386
[7/40] final_evaluation member=1 distance=0.15937 queries=418
[8/40] final_evaluation member=1 distance=0.083914 queries=386
[9/40] final_evaluation member=1 distance=0 queries=0
[10/40] final_evaluation member=1 distance=0.14251 queries=386
[11/40] final_evaluation member=1 distance=0.11387 queries=386
[12/40] final_evaluation member=1 distance=0.20456 queries=418
[13/40] final_evaluation member=1 distance=0.15586 queries=386
[14/40] final_evaluation member=1 distance=0.24531 queries=386
[15/40] final_evaluation member=1 distance=0.34458 queries=386
[16/40] final_evaluation member=1 distance=0 queries=0
[17/40] final_evaluation member=1 distance=0.62328 queries=386
[18/40] final_evaluation member=1 distance=0.31722 queries=386
[19/40] final_evaluation member=1 distance=0.076176 queries=386
[20/40] final_evaluation member=1 distance=0 queries=0
[21/40] final_evaluation member=0 distance=0.17698 queries=386
[22/40] final_evaluation member=0 distance=0.11219 queries=386
[23/40] final_evaluation member=0 distance=0.14868 queries=386
[24/40] final_evaluation member=0 distance=0.3981 queries=386
[25/40] final_evaluation member=0 distance=0.14972 queries=386
[26/40] final_evaluation member=0 distance=0 queries=0
[27/40] final_evaluation member=0 distance=0.31802 queries=386
[28/40] final_evaluation member=0 distance=0 queries=0
[29/40] final_evaluation member=0 distance=0 queries=0
[30/40] final_evaluation member=0 distance=0 queries=0
[31/40] final_evaluation member=0 distance=0.18665 queries=386
[32/40] final_evaluation member=0 distance=0.31874 queries=386
[33/40] final_evaluation member=0 distance=0.60965 queries=386
[34/40] final_evaluation member=0 distance=0.15664 queries=386
[35/40] final_evaluation member=0 distance=0.14328 queries=386
[36/40] final_evaluation member=0 distance=0 queries=0
[37/40] final_evaluation member=0 distance=0.50376 queries=386
[38/40] final_evaluation member=0 distance=0 queries=0
[39/40] final_evaluation member=0 distance=0.88891 queries=386
[40/40] final_evaluation member=0 distance=0 queries=0
[DONE] /home/najeeb/qurift_satML/pets_results/defenses/PETS_CREDIT_low_eff_su2_r1_d6_b03__none/hsj/none_metrics.json
