All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/pilot_credit_training_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b01__l2', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='6'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.568258
epoch=2/100 objective=0.524933
epoch=3/100 objective=0.530570
epoch=4/100 objective=0.530602
epoch=5/100 objective=0.526997
epoch=6/100 objective=0.532210
epoch=7/100 objective=0.527343
epoch=8/100 objective=0.524602
epoch=9/100 objective=0.522533
epoch=10/100 objective=0.524232
epoch=11/100 objective=0.518077
epoch=12/100 objective=0.517811
epoch=13/100 objective=0.517883
epoch=14/100 objective=0.518456
epoch=15/100 objective=0.520629
epoch=16/100 objective=0.519934
epoch=17/100 objective=0.522231
epoch=18/100 objective=0.519712
epoch=19/100 objective=0.521586
epoch=20/100 objective=0.518614
epoch=21/100 objective=0.516702
epoch=22/100 objective=0.519745
epoch=23/100 objective=0.513724
epoch=24/100 objective=0.516549
epoch=25/100 objective=0.522561
epoch=26/100 objective=0.530838
epoch=27/100 objective=0.520590
epoch=28/100 objective=0.528460
epoch=29/100 objective=0.524753
epoch=30/100 objective=0.519240
epoch=31/100 objective=0.524566
epoch=32/100 objective=0.522837
epoch=33/100 objective=0.514271
epoch=34/100 objective=0.517316
epoch=35/100 objective=0.516607
epoch=36/100 objective=0.513391
epoch=37/100 objective=0.512480
epoch=38/100 objective=0.511732
epoch=39/100 objective=0.514850
epoch=40/100 objective=0.514235
epoch=41/100 objective=0.515113
epoch=42/100 objective=0.512837
epoch=43/100 objective=0.512935
epoch=44/100 objective=0.517694
epoch=45/100 objective=0.511575
epoch=46/100 objective=0.511435
epoch=47/100 objective=0.517640
epoch=48/100 objective=0.510690
epoch=49/100 objective=0.520162
epoch=50/100 objective=0.510232
epoch=51/100 objective=0.514486
epoch=52/100 objective=0.510078
epoch=53/100 objective=0.510350
epoch=54/100 objective=0.513162
epoch=55/100 objective=0.518628
epoch=56/100 objective=0.510346
epoch=57/100 objective=0.513249
epoch=58/100 objective=0.511390
epoch=59/100 objective=0.509788
epoch=60/100 objective=0.510585
epoch=61/100 objective=0.509980
epoch=62/100 objective=0.513762
epoch=63/100 objective=0.508455
epoch=64/100 objective=0.509956
epoch=65/100 objective=0.510010
epoch=66/100 objective=0.508474
epoch=67/100 objective=0.507516
epoch=68/100 objective=0.508153
epoch=69/100 objective=0.506430
epoch=70/100 objective=0.508142
epoch=71/100 objective=0.508482
epoch=72/100 objective=0.510056
epoch=73/100 objective=0.508575
epoch=74/100 objective=0.506535
epoch=75/100 objective=0.506990
epoch=76/100 objective=0.506996
epoch=77/100 objective=0.506733
epoch=78/100 objective=0.505950
epoch=79/100 objective=0.506217
epoch=80/100 objective=0.505766
epoch=81/100 objective=0.506648
epoch=82/100 objective=0.506069
epoch=83/100 objective=0.505766
epoch=84/100 objective=0.505566
epoch=85/100 objective=0.505054
epoch=86/100 objective=0.505720
epoch=87/100 objective=0.505129
epoch=88/100 objective=0.504994
epoch=89/100 objective=0.505095
epoch=90/100 objective=0.505106
epoch=91/100 objective=0.504905
epoch=92/100 objective=0.504727
epoch=93/100 objective=0.504708
epoch=94/100 objective=0.504672
epoch=95/100 objective=0.504673
epoch=96/100 objective=0.504622
epoch=97/100 objective=0.504607
epoch=98/100 objective=0.504581
epoch=99/100 objective=0.504563
epoch=100/100 objective=0.504557
[DONE] target=PETS_CREDIT_high_eff_su2_r5_d6_b01__l2 model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_high_eff_su2_r5_d6_b01__l2/target_model.pt
