All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_tuning_targets.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p0001', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='6'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.569120
epoch=2/100 objective=0.526426
epoch=3/100 objective=0.507125
epoch=4/100 objective=0.496923
epoch=5/100 objective=0.506546
epoch=6/100 objective=0.494759
epoch=7/100 objective=0.512422
epoch=8/100 objective=0.496272
epoch=9/100 objective=0.490464
epoch=10/100 objective=0.485716
epoch=11/100 objective=0.473263
epoch=12/100 objective=0.469043
epoch=13/100 objective=0.464952
epoch=14/100 objective=0.490690
epoch=15/100 objective=0.472794
epoch=16/100 objective=0.457548
epoch=17/100 objective=0.474054
epoch=18/100 objective=0.488098
epoch=19/100 objective=0.494358
epoch=20/100 objective=0.468025
epoch=21/100 objective=0.510375
epoch=22/100 objective=0.470958
epoch=23/100 objective=0.450597
epoch=24/100 objective=0.467862
epoch=25/100 objective=0.478651
epoch=26/100 objective=0.466971
epoch=27/100 objective=0.465785
epoch=28/100 objective=0.477123
epoch=29/100 objective=0.496473
epoch=30/100 objective=0.453462
epoch=31/100 objective=0.483698
epoch=32/100 objective=0.482899
epoch=33/100 objective=0.469044
epoch=34/100 objective=0.459099
epoch=35/100 objective=0.456718
epoch=36/100 objective=0.442174
epoch=37/100 objective=0.435484
epoch=38/100 objective=0.426514
epoch=39/100 objective=0.437772
epoch=40/100 objective=0.425616
epoch=41/100 objective=0.429691
epoch=42/100 objective=0.437536
epoch=43/100 objective=0.422412
epoch=44/100 objective=0.434596
epoch=45/100 objective=0.453975
epoch=46/100 objective=0.433285
epoch=47/100 objective=0.436238
epoch=48/100 objective=0.428899
epoch=49/100 objective=0.426834
epoch=50/100 objective=0.425695
epoch=51/100 objective=0.414723
epoch=52/100 objective=0.418622
epoch=53/100 objective=0.417647
epoch=54/100 objective=0.424422
epoch=55/100 objective=0.427410
epoch=56/100 objective=0.420306
epoch=57/100 objective=0.413490
epoch=58/100 objective=0.399553
epoch=59/100 objective=0.396228
epoch=60/100 objective=0.399506
epoch=61/100 objective=0.406366
epoch=62/100 objective=0.407456
epoch=63/100 objective=0.389546
epoch=64/100 objective=0.393220
epoch=65/100 objective=0.397798
epoch=66/100 objective=0.389658
epoch=67/100 objective=0.386620
epoch=68/100 objective=0.386519
epoch=69/100 objective=0.390416
epoch=70/100 objective=0.385186
epoch=71/100 objective=0.390427
epoch=72/100 objective=0.385733
epoch=73/100 objective=0.385145
epoch=74/100 objective=0.386379
epoch=75/100 objective=0.382682
epoch=76/100 objective=0.381673
epoch=77/100 objective=0.378217
epoch=78/100 objective=0.378563
epoch=79/100 objective=0.379385
epoch=80/100 objective=0.375883
epoch=81/100 objective=0.381345
epoch=82/100 objective=0.378509
epoch=83/100 objective=0.373682
epoch=84/100 objective=0.376037
epoch=85/100 objective=0.373767
epoch=86/100 objective=0.376005
epoch=87/100 objective=0.373471
epoch=88/100 objective=0.371860
epoch=89/100 objective=0.372166
epoch=90/100 objective=0.371809
epoch=91/100 objective=0.371114
epoch=92/100 objective=0.370772
epoch=93/100 objective=0.370550
epoch=94/100 objective=0.370296
epoch=95/100 objective=0.370261
epoch=96/100 objective=0.370184
epoch=97/100 objective=0.370029
epoch=98/100 objective=0.369904
epoch=99/100 objective=0.369832
epoch=100/100 objective=0.369785
[DONE] target=PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p0001 model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_tuning/PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p0001/target_model.pt
