All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_training_targets_confirmatory.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b02__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='0'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.540449
epoch=2/100 objective=0.515303
epoch=3/100 objective=0.501586
epoch=4/100 objective=0.503374
epoch=5/100 objective=0.505779
epoch=6/100 objective=0.488158
epoch=7/100 objective=0.484836
epoch=8/100 objective=0.493241
epoch=9/100 objective=0.475545
epoch=10/100 objective=0.483237
epoch=11/100 objective=0.465995
epoch=12/100 objective=0.470310
epoch=13/100 objective=0.480181
epoch=14/100 objective=0.480340
epoch=15/100 objective=0.477906
epoch=16/100 objective=0.478046
epoch=17/100 objective=0.481811
epoch=18/100 objective=0.467115
epoch=19/100 objective=0.473851
epoch=20/100 objective=0.454148
epoch=21/100 objective=0.475456
epoch=22/100 objective=0.474220
epoch=23/100 objective=0.453258
epoch=24/100 objective=0.477540
epoch=25/100 objective=0.464374
epoch=26/100 objective=0.466460
epoch=27/100 objective=0.446218
epoch=28/100 objective=0.450357
epoch=29/100 objective=0.460382
epoch=30/100 objective=0.441603
epoch=31/100 objective=0.506643
epoch=32/100 objective=0.481173
epoch=33/100 objective=0.448310
epoch=34/100 objective=0.458645
epoch=35/100 objective=0.452948
epoch=36/100 objective=0.440582
epoch=37/100 objective=0.436571
epoch=38/100 objective=0.426836
epoch=39/100 objective=0.421950
epoch=40/100 objective=0.421179
epoch=41/100 objective=0.436538
epoch=42/100 objective=0.423991
epoch=43/100 objective=0.459376
epoch=44/100 objective=0.439247
epoch=45/100 objective=0.433706
epoch=46/100 objective=0.420360
epoch=47/100 objective=0.426455
epoch=48/100 objective=0.416988
epoch=49/100 objective=0.409050
epoch=50/100 objective=0.416408
epoch=51/100 objective=0.417596
epoch=52/100 objective=0.413445
epoch=53/100 objective=0.415841
epoch=54/100 objective=0.435978
epoch=55/100 objective=0.419280
epoch=56/100 objective=0.432285
epoch=57/100 objective=0.421019
epoch=58/100 objective=0.410253
epoch=59/100 objective=0.407827
epoch=60/100 objective=0.410775
epoch=61/100 objective=0.395438
epoch=62/100 objective=0.398574
epoch=63/100 objective=0.397141
epoch=64/100 objective=0.399382
epoch=65/100 objective=0.393768
epoch=66/100 objective=0.391543
epoch=67/100 objective=0.393361
epoch=68/100 objective=0.388710
epoch=69/100 objective=0.387169
epoch=70/100 objective=0.383921
epoch=71/100 objective=0.384810
epoch=72/100 objective=0.381115
epoch=73/100 objective=0.378953
epoch=74/100 objective=0.382767
epoch=75/100 objective=0.377048
epoch=76/100 objective=0.381499
epoch=77/100 objective=0.380651
epoch=78/100 objective=0.382903
epoch=79/100 objective=0.377372
epoch=80/100 objective=0.377464
epoch=81/100 objective=0.372707
epoch=82/100 objective=0.375086
epoch=83/100 objective=0.372899
epoch=84/100 objective=0.372381
epoch=85/100 objective=0.371057
epoch=86/100 objective=0.370419
epoch=87/100 objective=0.369477
epoch=88/100 objective=0.369406
epoch=89/100 objective=0.368683
epoch=90/100 objective=0.368860
epoch=91/100 objective=0.367486
epoch=92/100 objective=0.367051
epoch=93/100 objective=0.367347
epoch=94/100 objective=0.366882
epoch=95/100 objective=0.366637
epoch=96/100 objective=0.366510
epoch=97/100 objective=0.366373
epoch=98/100 objective=0.366270
epoch=99/100 objective=0.366191
epoch=100/100 objective=0.366164
[DONE] target=PETS_CREDIT_high_eff_su2_r5_d6_b02__none model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_high_eff_su2_r5_d6_b02__none/target_model.pt
