All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_training_targets_confirmatory.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b03__l2', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='5'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.538976
epoch=2/100 objective=0.529086
epoch=3/100 objective=0.491608
epoch=4/100 objective=0.477150
epoch=5/100 objective=0.473130
epoch=6/100 objective=0.461226
epoch=7/100 objective=0.468219
epoch=8/100 objective=0.455552
epoch=9/100 objective=0.442327
epoch=10/100 objective=0.472779
epoch=11/100 objective=0.442844
epoch=12/100 objective=0.453848
epoch=13/100 objective=0.450071
epoch=14/100 objective=0.455860
epoch=15/100 objective=0.487761
epoch=16/100 objective=0.486821
epoch=17/100 objective=0.462645
epoch=18/100 objective=0.436138
epoch=19/100 objective=0.461512
epoch=20/100 objective=0.447180
epoch=21/100 objective=0.449802
epoch=22/100 objective=0.437713
epoch=23/100 objective=0.421829
epoch=24/100 objective=0.433993
epoch=25/100 objective=0.440463
epoch=26/100 objective=0.422338
epoch=27/100 objective=0.426324
epoch=28/100 objective=0.416127
epoch=29/100 objective=0.456116
epoch=30/100 objective=0.427975
epoch=31/100 objective=0.429426
epoch=32/100 objective=0.434868
epoch=33/100 objective=0.435091
epoch=34/100 objective=0.414873
epoch=35/100 objective=0.414644
epoch=36/100 objective=0.412474
epoch=37/100 objective=0.403649
epoch=38/100 objective=0.406415
epoch=39/100 objective=0.426969
epoch=40/100 objective=0.443230
epoch=41/100 objective=0.422972
epoch=42/100 objective=0.454268
epoch=43/100 objective=0.429480
epoch=44/100 objective=0.418558
epoch=45/100 objective=0.406491
epoch=46/100 objective=0.405539
epoch=47/100 objective=0.410590
epoch=48/100 objective=0.395999
epoch=49/100 objective=0.397632
epoch=50/100 objective=0.400594
epoch=51/100 objective=0.395964
epoch=52/100 objective=0.393995
epoch=53/100 objective=0.393565
epoch=54/100 objective=0.392336
epoch=55/100 objective=0.392550
epoch=56/100 objective=0.407875
epoch=57/100 objective=0.400067
epoch=58/100 objective=0.394368
epoch=59/100 objective=0.390832
epoch=60/100 objective=0.383813
epoch=61/100 objective=0.393020
epoch=62/100 objective=0.384541
epoch=63/100 objective=0.389373
epoch=64/100 objective=0.385099
epoch=65/100 objective=0.384169
epoch=66/100 objective=0.382069
epoch=67/100 objective=0.392170
epoch=68/100 objective=0.380165
epoch=69/100 objective=0.378815
epoch=70/100 objective=0.385218
epoch=71/100 objective=0.385662
epoch=72/100 objective=0.387841
epoch=73/100 objective=0.383655
epoch=74/100 objective=0.382721
epoch=75/100 objective=0.379783
epoch=76/100 objective=0.378533
epoch=77/100 objective=0.381531
epoch=78/100 objective=0.379344
epoch=79/100 objective=0.380881
epoch=80/100 objective=0.375963
epoch=81/100 objective=0.377039
epoch=82/100 objective=0.376386
epoch=83/100 objective=0.377967
epoch=84/100 objective=0.374534
epoch=85/100 objective=0.375311
epoch=86/100 objective=0.374404
epoch=87/100 objective=0.374950
epoch=88/100 objective=0.373791
epoch=89/100 objective=0.373836
epoch=90/100 objective=0.373482
epoch=91/100 objective=0.372947
epoch=92/100 objective=0.372890
epoch=93/100 objective=0.373131
epoch=94/100 objective=0.372555
epoch=95/100 objective=0.372429
epoch=96/100 objective=0.372297
epoch=97/100 objective=0.372255
epoch=98/100 objective=0.372210
epoch=99/100 objective=0.372170
epoch=100/100 objective=0.372156
[DONE] target=PETS_CREDIT_high_eff_su2_r5_d6_b03__l2 model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_high_eff_su2_r5_d6_b03__l2/target_model.pt
