All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_training_targets_confirmatory.csv', '--target-id', 'PETS_CREDIT_high_eff_su2_r5_d6_b04__hamp_train', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='2'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.686823
epoch=2/100 objective=0.680962
epoch=3/100 objective=0.680790
epoch=4/100 objective=0.679713
epoch=5/100 objective=0.680050
epoch=6/100 objective=0.682526
epoch=7/100 objective=0.680187
epoch=8/100 objective=0.678686
epoch=9/100 objective=0.679592
epoch=10/100 objective=0.678331
epoch=11/100 objective=0.679431
epoch=12/100 objective=0.679119
epoch=13/100 objective=0.678793
epoch=14/100 objective=0.680457
epoch=15/100 objective=0.678455
epoch=16/100 objective=0.678442
epoch=17/100 objective=0.678851
epoch=18/100 objective=0.681397
epoch=19/100 objective=0.678564
epoch=20/100 objective=0.678270
epoch=21/100 objective=0.677394
epoch=22/100 objective=0.677425
epoch=23/100 objective=0.679299
epoch=24/100 objective=0.678833
epoch=25/100 objective=0.678311
epoch=26/100 objective=0.678061
epoch=27/100 objective=0.678546
epoch=28/100 objective=0.679637
epoch=29/100 objective=0.678306
epoch=30/100 objective=0.677937
epoch=31/100 objective=0.678325
epoch=32/100 objective=0.677144
epoch=33/100 objective=0.677172
epoch=34/100 objective=0.678023
epoch=35/100 objective=0.677231
epoch=36/100 objective=0.679537
epoch=37/100 objective=0.678145
epoch=38/100 objective=0.678483
epoch=39/100 objective=0.678611
epoch=40/100 objective=0.678800
epoch=41/100 objective=0.678169
epoch=42/100 objective=0.677904
epoch=43/100 objective=0.677169
epoch=44/100 objective=0.676676
epoch=45/100 objective=0.676319
epoch=46/100 objective=0.680484
epoch=47/100 objective=0.678645
epoch=48/100 objective=0.677289
epoch=49/100 objective=0.676947
epoch=50/100 objective=0.677199
epoch=51/100 objective=0.676497
epoch=52/100 objective=0.676907
epoch=53/100 objective=0.677619
epoch=54/100 objective=0.676605
epoch=55/100 objective=0.676515
epoch=56/100 objective=0.678730
epoch=57/100 objective=0.676327
epoch=58/100 objective=0.676943
epoch=59/100 objective=0.676660
epoch=60/100 objective=0.677452
epoch=61/100 objective=0.676095
epoch=62/100 objective=0.676509
epoch=63/100 objective=0.675884
epoch=64/100 objective=0.676042
epoch=65/100 objective=0.676019
epoch=66/100 objective=0.677042
epoch=67/100 objective=0.676118
epoch=68/100 objective=0.675423
epoch=69/100 objective=0.675388
epoch=70/100 objective=0.675536
epoch=71/100 objective=0.675934
epoch=72/100 objective=0.676070
epoch=73/100 objective=0.675008
epoch=74/100 objective=0.675235
epoch=75/100 objective=0.675056
epoch=76/100 objective=0.674981
epoch=77/100 objective=0.675042
epoch=78/100 objective=0.675131
epoch=79/100 objective=0.674926
epoch=80/100 objective=0.674830
epoch=81/100 objective=0.674864
epoch=82/100 objective=0.674916
epoch=83/100 objective=0.674660
epoch=84/100 objective=0.674791
epoch=85/100 objective=0.674806
epoch=86/100 objective=0.674649
epoch=87/100 objective=0.674732
epoch=88/100 objective=0.674691
epoch=89/100 objective=0.674614
epoch=90/100 objective=0.674573
epoch=91/100 objective=0.674572
epoch=92/100 objective=0.674541
epoch=93/100 objective=0.674529
epoch=94/100 objective=0.674504
epoch=95/100 objective=0.674488
epoch=96/100 objective=0.674494
epoch=97/100 objective=0.674482
epoch=98/100 objective=0.674476
epoch=99/100 objective=0.674473
epoch=100/100 objective=0.674472
[DONE] target=PETS_CREDIT_high_eff_su2_r5_d6_b04__hamp_train model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_high_eff_su2_r5_d6_b04__hamp_train/target_model.pt
