All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/pilot_credit_training_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b01__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='0'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.560462
epoch=2/100 objective=0.527065
epoch=3/100 objective=0.542651
epoch=4/100 objective=0.526389
epoch=5/100 objective=0.524944
epoch=6/100 objective=0.529934
epoch=7/100 objective=0.537312
epoch=8/100 objective=0.524370
epoch=9/100 objective=0.516815
epoch=10/100 objective=0.520168
epoch=11/100 objective=0.516303
epoch=12/100 objective=0.522296
epoch=13/100 objective=0.514155
epoch=14/100 objective=0.542440
epoch=15/100 objective=0.534008
epoch=16/100 objective=0.520396
epoch=17/100 objective=0.523240
epoch=18/100 objective=0.517979
epoch=19/100 objective=0.522870
epoch=20/100 objective=0.510029
epoch=21/100 objective=0.511591
epoch=22/100 objective=0.510903
epoch=23/100 objective=0.512280
epoch=24/100 objective=0.503608
epoch=25/100 objective=0.514792
epoch=26/100 objective=0.529530
epoch=27/100 objective=0.506053
epoch=28/100 objective=0.527595
epoch=29/100 objective=0.522783
epoch=30/100 objective=0.513102
epoch=31/100 objective=0.518004
epoch=32/100 objective=0.523013
epoch=33/100 objective=0.533663
epoch=34/100 objective=0.516709
epoch=35/100 objective=0.514087
epoch=36/100 objective=0.500023
epoch=37/100 objective=0.499068
epoch=38/100 objective=0.492681
epoch=39/100 objective=0.507791
epoch=40/100 objective=0.502238
epoch=41/100 objective=0.492333
epoch=42/100 objective=0.503100
epoch=43/100 objective=0.491833
epoch=44/100 objective=0.512242
epoch=45/100 objective=0.500508
epoch=46/100 objective=0.493061
epoch=47/100 objective=0.501685
epoch=48/100 objective=0.490329
epoch=49/100 objective=0.494313
epoch=50/100 objective=0.499839
epoch=51/100 objective=0.488355
epoch=52/100 objective=0.500535
epoch=53/100 objective=0.495082
epoch=54/100 objective=0.496049
epoch=55/100 objective=0.520342
epoch=56/100 objective=0.494209
epoch=57/100 objective=0.490003
epoch=58/100 objective=0.485634
epoch=59/100 objective=0.486662
epoch=60/100 objective=0.485916
epoch=61/100 objective=0.485750
epoch=62/100 objective=0.491975
epoch=63/100 objective=0.481834
epoch=64/100 objective=0.484723
epoch=65/100 objective=0.485830
epoch=66/100 objective=0.479956
epoch=67/100 objective=0.480014
epoch=68/100 objective=0.481922
epoch=69/100 objective=0.478478
epoch=70/100 objective=0.482437
epoch=71/100 objective=0.480279
epoch=72/100 objective=0.492179
epoch=73/100 objective=0.475595
epoch=74/100 objective=0.480980
epoch=75/100 objective=0.480446
epoch=76/100 objective=0.480012
epoch=77/100 objective=0.477363
epoch=78/100 objective=0.476010
epoch=79/100 objective=0.477856
epoch=80/100 objective=0.476580
epoch=81/100 objective=0.479580
epoch=82/100 objective=0.478516
epoch=83/100 objective=0.474684
epoch=84/100 objective=0.475449
epoch=85/100 objective=0.475337
epoch=86/100 objective=0.475637
epoch=87/100 objective=0.473811
epoch=88/100 objective=0.473464
epoch=89/100 objective=0.473970
epoch=90/100 objective=0.473203
epoch=91/100 objective=0.473167
epoch=92/100 objective=0.472796
epoch=93/100 objective=0.472795
epoch=94/100 objective=0.472642
epoch=95/100 objective=0.472633
epoch=96/100 objective=0.472666
epoch=97/100 objective=0.472565
epoch=98/100 objective=0.472522
epoch=99/100 objective=0.472477
epoch=100/100 objective=0.472455
[DONE] target=PETS_CREDIT_low_eff_su2_r1_d6_b01__none model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_low_eff_su2_r1_d6_b01__none/target_model.pt
