All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_training_targets_confirmatory.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='6'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.689228
epoch=2/100 objective=0.684215
epoch=3/100 objective=0.681785
epoch=4/100 objective=0.680492
epoch=5/100 objective=0.679474
epoch=6/100 objective=0.678766
epoch=7/100 objective=0.682473
epoch=8/100 objective=0.681972
epoch=9/100 objective=0.679560
epoch=10/100 objective=0.681288
epoch=11/100 objective=0.679087
epoch=12/100 objective=0.679283
epoch=13/100 objective=0.678927
epoch=14/100 objective=0.679537
epoch=15/100 objective=0.679883
epoch=16/100 objective=0.679526
epoch=17/100 objective=0.678755
epoch=18/100 objective=0.677754
epoch=19/100 objective=0.679441
epoch=20/100 objective=0.679533
epoch=21/100 objective=0.678637
epoch=22/100 objective=0.677843
epoch=23/100 objective=0.679935
epoch=24/100 objective=0.680156
epoch=25/100 objective=0.680599
epoch=26/100 objective=0.680211
epoch=27/100 objective=0.678949
epoch=28/100 objective=0.677824
epoch=29/100 objective=0.681085
epoch=30/100 objective=0.679139
epoch=31/100 objective=0.678216
epoch=32/100 objective=0.679218
epoch=33/100 objective=0.678224
epoch=34/100 objective=0.679794
epoch=35/100 objective=0.678861
epoch=36/100 objective=0.678224
epoch=37/100 objective=0.677787
epoch=38/100 objective=0.677004
epoch=39/100 objective=0.678640
epoch=40/100 objective=0.678551
epoch=41/100 objective=0.678284
epoch=42/100 objective=0.680152
epoch=43/100 objective=0.678799
epoch=44/100 objective=0.678086
epoch=45/100 objective=0.679177
epoch=46/100 objective=0.678083
epoch=47/100 objective=0.678479
epoch=48/100 objective=0.678174
epoch=49/100 objective=0.678293
epoch=50/100 objective=0.677296
epoch=51/100 objective=0.678402
epoch=52/100 objective=0.677358
epoch=53/100 objective=0.677551
epoch=54/100 objective=0.677516
epoch=55/100 objective=0.677379
epoch=56/100 objective=0.677908
epoch=57/100 objective=0.678038
epoch=58/100 objective=0.677300
epoch=59/100 objective=0.677332
epoch=60/100 objective=0.676964
epoch=61/100 objective=0.677253
epoch=62/100 objective=0.677600
epoch=63/100 objective=0.677399
epoch=64/100 objective=0.677341
epoch=65/100 objective=0.677178
epoch=66/100 objective=0.676841
epoch=67/100 objective=0.677099
epoch=68/100 objective=0.676761
epoch=69/100 objective=0.676700
epoch=70/100 objective=0.677012
epoch=71/100 objective=0.677346
epoch=72/100 objective=0.677130
epoch=73/100 objective=0.677158
epoch=74/100 objective=0.676834
epoch=75/100 objective=0.676651
epoch=76/100 objective=0.676460
epoch=77/100 objective=0.676499
epoch=78/100 objective=0.676507
epoch=79/100 objective=0.676802
epoch=80/100 objective=0.676434
epoch=81/100 objective=0.676468
epoch=82/100 objective=0.676351
epoch=83/100 objective=0.676346
epoch=84/100 objective=0.676326
epoch=85/100 objective=0.676293
epoch=86/100 objective=0.676333
epoch=87/100 objective=0.676220
epoch=88/100 objective=0.676305
epoch=89/100 objective=0.676238
epoch=90/100 objective=0.676159
epoch=91/100 objective=0.676159
epoch=92/100 objective=0.676151
epoch=93/100 objective=0.676144
epoch=94/100 objective=0.676099
epoch=95/100 objective=0.676105
epoch=96/100 objective=0.676097
epoch=97/100 objective=0.676089
epoch=98/100 objective=0.676089
epoch=99/100 objective=0.676085
epoch=100/100 objective=0.676084
[DONE] target=PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train/target_model.pt
