All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_training_targets_confirmatory.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b05__l2', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='5'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.561496
epoch=2/100 objective=0.529393
epoch=3/100 objective=0.530526
epoch=4/100 objective=0.517359
epoch=5/100 objective=0.524188
epoch=6/100 objective=0.527148
epoch=7/100 objective=0.516153
epoch=8/100 objective=0.519403
epoch=9/100 objective=0.510768
epoch=10/100 objective=0.509531
epoch=11/100 objective=0.512255
epoch=12/100 objective=0.527712
epoch=13/100 objective=0.512564
epoch=14/100 objective=0.519307
epoch=15/100 objective=0.508312
epoch=16/100 objective=0.521576
epoch=17/100 objective=0.506683
epoch=18/100 objective=0.510073
epoch=19/100 objective=0.519801
epoch=20/100 objective=0.520125
epoch=21/100 objective=0.517025
epoch=22/100 objective=0.514629
epoch=23/100 objective=0.509777
epoch=24/100 objective=0.500605
epoch=25/100 objective=0.501029
epoch=26/100 objective=0.506164
epoch=27/100 objective=0.519106
epoch=28/100 objective=0.527197
epoch=29/100 objective=0.518646
epoch=30/100 objective=0.563731
epoch=31/100 objective=0.523109
epoch=32/100 objective=0.511453
epoch=33/100 objective=0.508878
epoch=34/100 objective=0.511818
epoch=35/100 objective=0.513557
epoch=36/100 objective=0.521686
epoch=37/100 objective=0.504325
epoch=38/100 objective=0.502246
epoch=39/100 objective=0.511531
epoch=40/100 objective=0.527140
epoch=41/100 objective=0.509045
epoch=42/100 objective=0.515572
epoch=43/100 objective=0.506543
epoch=44/100 objective=0.519815
epoch=45/100 objective=0.528255
epoch=46/100 objective=0.521328
epoch=47/100 objective=0.504556
epoch=48/100 objective=0.511274
epoch=49/100 objective=0.512342
epoch=50/100 objective=0.501570
epoch=51/100 objective=0.500025
epoch=52/100 objective=0.499586
epoch=53/100 objective=0.509778
epoch=54/100 objective=0.516533
epoch=55/100 objective=0.504156
epoch=56/100 objective=0.510671
epoch=57/100 objective=0.501399
epoch=58/100 objective=0.498743
epoch=59/100 objective=0.495703
epoch=60/100 objective=0.498302
epoch=61/100 objective=0.494695
epoch=62/100 objective=0.494392
epoch=63/100 objective=0.495404
epoch=64/100 objective=0.498276
epoch=65/100 objective=0.491616
epoch=66/100 objective=0.493544
epoch=67/100 objective=0.494481
epoch=68/100 objective=0.497346
epoch=69/100 objective=0.494427
epoch=70/100 objective=0.492779
epoch=71/100 objective=0.491089
epoch=72/100 objective=0.487707
epoch=73/100 objective=0.491919
epoch=74/100 objective=0.491162
epoch=75/100 objective=0.511318
epoch=76/100 objective=0.502422
epoch=77/100 objective=0.490381
epoch=78/100 objective=0.491363
epoch=79/100 objective=0.488688
epoch=80/100 objective=0.488417
epoch=81/100 objective=0.488213
epoch=82/100 objective=0.487646
epoch=83/100 objective=0.488281
epoch=84/100 objective=0.487148
epoch=85/100 objective=0.486850
epoch=86/100 objective=0.487106
epoch=87/100 objective=0.485335
epoch=88/100 objective=0.486151
epoch=89/100 objective=0.486004
epoch=90/100 objective=0.485518
epoch=91/100 objective=0.485184
epoch=92/100 objective=0.484847
epoch=93/100 objective=0.484884
epoch=94/100 objective=0.484819
epoch=95/100 objective=0.484972
epoch=96/100 objective=0.484707
epoch=97/100 objective=0.484578
epoch=98/100 objective=0.484587
epoch=99/100 objective=0.484571
epoch=100/100 objective=0.484560
[DONE] target=PETS_CREDIT_low_eff_su2_r1_d6_b05__l2 model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_low_eff_su2_r1_d6_b05__l2/target_model.pt
