All arguments: ['/home/najeeb/qurift_satML/pets_tools/train_defended_target.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_defense_training_targets_confirmatory.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b05__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--device', 'cuda', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='4'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
epoch=1/100 objective=0.561197
epoch=2/100 objective=0.526391
epoch=3/100 objective=0.523002
epoch=4/100 objective=0.513132
epoch=5/100 objective=0.507374
epoch=6/100 objective=0.517956
epoch=7/100 objective=0.510157
epoch=8/100 objective=0.508400
epoch=9/100 objective=0.503859
epoch=10/100 objective=0.504839
epoch=11/100 objective=0.506103
epoch=12/100 objective=0.506922
epoch=13/100 objective=0.509273
epoch=14/100 objective=0.493721
epoch=15/100 objective=0.490579
epoch=16/100 objective=0.516316
epoch=17/100 objective=0.501467
epoch=18/100 objective=0.502717
epoch=19/100 objective=0.489727
epoch=20/100 objective=0.507158
epoch=21/100 objective=0.502367
epoch=22/100 objective=0.504527
epoch=23/100 objective=0.496029
epoch=24/100 objective=0.490588
epoch=25/100 objective=0.493074
epoch=26/100 objective=0.499882
epoch=27/100 objective=0.516200
epoch=28/100 objective=0.539017
epoch=29/100 objective=0.543834
epoch=30/100 objective=0.572353
epoch=31/100 objective=0.535422
epoch=32/100 objective=0.511924
epoch=33/100 objective=0.505025
epoch=34/100 objective=0.505348
epoch=35/100 objective=0.508206
epoch=36/100 objective=0.527756
epoch=37/100 objective=0.498586
epoch=38/100 objective=0.496380
epoch=39/100 objective=0.506471
epoch=40/100 objective=0.522956
epoch=41/100 objective=0.498138
epoch=42/100 objective=0.500140
epoch=43/100 objective=0.501926
epoch=44/100 objective=0.511076
epoch=45/100 objective=0.512240
epoch=46/100 objective=0.537894
epoch=47/100 objective=0.511204
epoch=48/100 objective=0.520068
epoch=49/100 objective=0.502528
epoch=50/100 objective=0.490250
epoch=51/100 objective=0.488828
epoch=52/100 objective=0.486454
epoch=53/100 objective=0.496218
epoch=54/100 objective=0.518730
epoch=55/100 objective=0.499236
epoch=56/100 objective=0.508517
epoch=57/100 objective=0.484285
epoch=58/100 objective=0.489330
epoch=59/100 objective=0.481275
epoch=60/100 objective=0.481339
epoch=61/100 objective=0.478224
epoch=62/100 objective=0.476659
epoch=63/100 objective=0.479356
epoch=64/100 objective=0.483323
epoch=65/100 objective=0.474567
epoch=66/100 objective=0.476199
epoch=67/100 objective=0.477369
epoch=68/100 objective=0.480640
epoch=69/100 objective=0.478450
epoch=70/100 objective=0.472358
epoch=71/100 objective=0.472355
epoch=72/100 objective=0.467836
epoch=73/100 objective=0.473573
epoch=74/100 objective=0.471224
epoch=75/100 objective=0.492968
epoch=76/100 objective=0.486682
epoch=77/100 objective=0.471373
epoch=78/100 objective=0.471645
epoch=79/100 objective=0.468544
epoch=80/100 objective=0.468672
epoch=81/100 objective=0.468043
epoch=82/100 objective=0.466837
epoch=83/100 objective=0.466852
epoch=84/100 objective=0.465682
epoch=85/100 objective=0.465227
epoch=86/100 objective=0.465402
epoch=87/100 objective=0.463839
epoch=88/100 objective=0.464747
epoch=89/100 objective=0.464655
epoch=90/100 objective=0.463568
epoch=91/100 objective=0.463097
epoch=92/100 objective=0.462713
epoch=93/100 objective=0.462757
epoch=94/100 objective=0.462691
epoch=95/100 objective=0.462881
epoch=96/100 objective=0.462489
epoch=97/100 objective=0.462340
epoch=98/100 objective=0.462366
epoch=99/100 objective=0.462330
epoch=100/100 objective=0.462314
[DONE] target=PETS_CREDIT_low_eff_su2_r1_d6_b05__none model=/home/najeeb/qurift_satML/pets_runs/pets_credit_defense_training/PETS_CREDIT_low_eff_su2_r1_d6_b05__none/target_model.pt
