target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b02__dp_qml,pets_b02,eff_su2_r5_d6,high,dp_qml,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5039,0.51,0.01,0.04,0.9,artifact_fixed,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b02__dp_qml,pets_b02,eff_su2_r5_d6,high,dp_qml,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5186999999999999,0.5,0.01,0.04,-0.5,artifact_fixed,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b02__hamp_train,pets_b02,eff_su2_r5_d6,high,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4500999999999999,0.5,0.01,0.04,0.9,artifact_fixed,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b02__hamp_train,pets_b02,eff_su2_r5_d6,high,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5094,0.53,0.02,0.04,-0.5,artifact_fixed,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b02__l2,pets_b02,eff_su2_r5_d6,high,l2,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4649,0.505,0.0,0.04,0.9,artifact_fixed,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b02__l2,pets_b02,eff_su2_r5_d6,high,l2,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5105000000000001,0.49,0.0,0.05,-0.5,artifact_fixed,,,l2
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4571,0.505,0.01,0.06,0.9,artifact_fixed,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5128999999999999,0.52,0.05,0.06,-0.5,artifact_fixed,,,none
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4771,0.5,0.06,0.11,0.9,artifact_fixed,,,dynanoise
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5271,0.515,0.06,0.13,-0.5,artifact_fixed,,,dynanoise
