effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
dp_qml,none,accuracy,(high-low)_defense-(high-low)_none,0.013249999999999984,0.08439046154631455,-0.061624999999999985,0.07299999999999995,4
dynanoise,none,accuracy,(high-low)_defense-(high-low)_none,0.005500000000000033,0.005567764362830077,0.0015000000000000013,0.010500000000000093,4
hamp_full,none,accuracy,(high-low)_defense-(high-low)_none,-0.008874999999999994,0.009638248457750697,-0.016500000000000015,-0.0012499999999999734,4
hamp_output,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
hamp_train,none,accuracy,(high-low)_defense-(high-low)_none,-0.008874999999999994,0.009638248457750697,-0.016500000000000015,-0.0012499999999999734,4
l2,none,accuracy,(high-low)_defense-(high-low)_none,0.06725000000000003,0.22801955325512469,-0.11499999999999994,0.2495,4
lattice_round,none,accuracy,(high-low)_defense-(high-low)_none,0.0008750000000000147,0.0013149778198382734,-0.00024999999999997247,0.0020000000000000018,4
logitguard_continuous,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
logitguard_quantized,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
measurementguard_continuous,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice_sticky,none,accuracy,(high-low)_defense-(high-low)_none,0.0008750000000000147,0.0006291528696059147,0.0002500000000000002,0.0013750000000000429,4
memguard,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
dp_qml,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.04416484180321675,0.014599465423913306,-0.055647686150593345,-0.03268199745584016,4
dynanoise,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.02280450049082533,0.008209124955897915,-0.028745229700451347,-0.01564832509482511,4
hamp_full,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.008735021114202546,0.004033566370840217,-0.012211095557014162,-0.005258946671390929,4
hamp_output,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
hamp_train,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.008735021114202546,0.004033566370840217,-0.012211095557014162,-0.005258946671390929,4
l2,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.0528559355014841,0.023806192083181563,-0.07192769474729749,-0.033784176255670706,4
lattice_round,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0023847867378412047,0.0018365226078907106,0.000886535121602694,0.0038830383540797153,4
logitguard_continuous,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
logitguard_quantized,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
measurementguard_continuous,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice_sticky,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.003397658559819744,0.0009520160777006237,0.0026715855691541446,0.0042881870828711255,4
memguard,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
dp_qml,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.01881309574288892,0.019506395991175554,0.0061886831359384,0.0371237489762371,4
dynanoise,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.027357522697041753,0.024105844211919705,0.0065731387844958356,0.05011809577193185,4
hamp_full,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.032000940990595944,0.0442221730420236,-0.0063291782596320845,0.06574336804930339,4
hamp_output,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.04948278190509946,0.04801173879601137,0.0057597555167027,0.09254235909827557,4
hamp_train,none,task_roc_auc,(high-low)_defense-(high-low)_none,-0.004893005884095469,0.01086127486238701,-0.014579727170812962,0.003289655202458275,4
l2,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.019420092763085317,0.022793467323894787,0.000914307413495713,0.039906423712963074,4
lattice_round,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.0004207592980908226,0.001482222186122268,-0.0007772611365074455,0.0016187797326890907,4
logitguard_continuous,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.07502439605248637,0.08630799445280574,0.012543455468491338,0.15807062802409408,4
logitguard_quantized,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.07545876921915207,0.08756664044834099,0.011913950185584249,0.1592158266486214,4
measurementguard_continuous,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.05813793499032871,0.08481915932894885,-0.004052213360904777,0.13426523591563616,4
memgq_lattice,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.0594483152202325,0.08995347976807537,-0.011143405224240344,0.14680941745711815,4
memgq_lattice_sticky,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.0566814325710536,0.08185833601590917,-0.011090583414169353,0.13443713369617635,4
memguard,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.014500040660087532,0.03781587062489069,-0.00932531845561363,0.05064213895294478,4
dp_qml,none,task_average_precision,(high-low)_defense-(high-low)_none,0.0327098767688412,0.029591570741429415,0.006309785928582334,0.056678156798997334,4
dynanoise,none,task_average_precision,(high-low)_defense-(high-low)_none,0.027117989340619347,0.03732642436332256,-0.005144327204417376,0.057761012110965765,4
hamp_full,none,task_average_precision,(high-low)_defense-(high-low)_none,0.028911844347029293,0.053414910972139656,-0.015722540911980387,0.07354622960603897,4
hamp_output,none,task_average_precision,(high-low)_defense-(high-low)_none,0.049405107231061396,0.04825411723995428,0.008397809414033314,0.08611082486963914,4
hamp_train,none,task_average_precision,(high-low)_defense-(high-low)_none,-0.015428482452422898,0.015512198000669792,-0.0282947107867291,-0.002562254118116697,4
l2,none,task_average_precision,(high-low)_defense-(high-low)_none,0.02993789821105791,0.042610224719664976,-0.0015010277209778211,0.0670075387569199,4
lattice_round,none,task_average_precision,(high-low)_defense-(high-low)_none,0.0010554023030101695,0.0013558139618757542,0.0001265192063888282,0.002424755703579473,4
logitguard_continuous,none,task_average_precision,(high-low)_defense-(high-low)_none,0.06678157504875261,0.07691379766043688,0.022802740973864713,0.1436617368686148,4
logitguard_quantized,none,task_average_precision,(high-low)_defense-(high-low)_none,0.06591848822617721,0.07621760275792111,0.01884151789721744,0.1432314372203309,4
measurementguard_continuous,none,task_average_precision,(high-low)_defense-(high-low)_none,0.05106433301976003,0.050825710869329764,0.012306153000121771,0.10078275426519095,4
memgq_lattice,none,task_average_precision,(high-low)_defense-(high-low)_none,0.05495837297116527,0.056514141218937754,0.01937444005544256,0.10877952613386241,4
memgq_lattice_sticky,none,task_average_precision,(high-low)_defense-(high-low)_none,0.05502294105583454,0.049804637366907704,0.02548215196088817,0.10472690567801957,4
memguard,none,task_average_precision,(high-low)_defense-(high-low)_none,0.028116133067549426,0.04797373339612552,0.001631538126923321,0.07574718658024916,4
dp_qml,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.14705882352941174,0.18890160813940435,-0.2861990950226244,0.016402714932126757,4
dynanoise,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.07352941176470588,0.03164726283311808,-0.09728506787330317,-0.04638009049773756,4
hamp_full,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.008484162895927613,0.007475198944796001,-0.015271493212669685,-0.002262443438914033,4
hamp_output,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
hamp_train,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.008484162895927613,0.007475198944796001,-0.015271493212669685,-0.002262443438914033,4
l2,none,minority_class_recall,(high-low)_defense-(high-low)_none,-0.2680995475113122,0.41840933525963364,-0.6165158371040723,0.08031674208144794,4
lattice_round,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.00509049773755655,0.004664146635314101,0.0011312217194569957,0.009049773755656104,4
logitguard_continuous,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
logitguard_quantized,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
measurementguard_continuous,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice_sticky,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.007918552036199098,0.002262443438914017,0.006787330316742085,0.010180995475113114,4
memguard,none,minority_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
dp_qml,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.2554571645978427,0.08646454096590149,-0.309556863132337,-0.17138009049773756,4
dynanoise,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.07352941176470588,0.03164726283311808,-0.09728506787330317,-0.04638009049773756,4
hamp_full,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.008484162895927613,0.007475198944796001,-0.015271493212669685,-0.002262443438914033,4
hamp_output,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
hamp_train,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.008484162895927613,0.007475198944796001,-0.015271493212669685,-0.002262443438914033,4
l2,none,minimum_class_recall,(high-low)_defense-(high-low)_none,-0.2887396244169634,0.21382709864724508,-0.47199826904199027,-0.10548097979193652,4
lattice_round,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.00509049773755655,0.004664146635314101,0.0011312217194569957,0.009049773755656104,4
logitguard_continuous,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
logitguard_quantized,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
measurementguard_continuous,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice_sticky,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.007918552036199098,0.002262443438914017,0.006787330316742085,0.010180995475113114,4
memguard,none,minimum_class_recall,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
dp_qml,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.07825,0.16770634056787082,-0.1995,0.06812500000000002,4
dynanoise,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.038000000000000006,0.019200694431886222,-0.0525,-0.022,4
hamp_full,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.005125000000000006,0.012644992421244597,-0.0054999999999999945,0.015125000000000005,4
hamp_output,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
hamp_train,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.005125000000000006,0.012644992421244597,-0.0054999999999999945,0.015125000000000005,4
l2,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,-0.18575,0.41166359647977946,-0.522,0.15050000000000002,4
lattice_round,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.001375000000000003,0.002495829855311985,-0.0009999999999999922,0.003375000000000003,4
logitguard_continuous,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
logitguard_quantized,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
measurementguard_continuous,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
memgq_lattice_sticky,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0026250000000000006,0.0011086778913041728,0.0017500000000000016,0.003500000000000003,4
memguard,none,predicted_minority_fraction,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
dp_qml,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.25,0.5,0.0,0.75,4
dynanoise,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.25,0.5,0.0,0.75,4
hamp_full,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
hamp_output,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
hamp_train,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
l2,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.25,0.5,0.0,0.75,4
lattice_round,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
logitguard_continuous,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
logitguard_quantized,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
measurementguard_continuous,none,prediction_collapse,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,4
