effective_defense,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
dp_qml,accuracy,high-low,0.007624999999999965,0.08751987869430958,-0.061374999999999985,0.07599999999999996,4
dynanoise,accuracy,high-low,-0.00012499999999998623,0.010585957679870047,-0.009624999999999967,0.007500000000000007,4
hamp_full,accuracy,high-low,-0.014500000000000013,0.010058164179743064,-0.022749999999999992,-0.006250000000000033,4
hamp_output,accuracy,high-low,-0.005625000000000019,0.014727383791201155,-0.02012500000000006,0.0030000000000000027,4
hamp_train,accuracy,high-low,-0.014500000000000013,0.010058164179743064,-0.022749999999999992,-0.006250000000000033,4
l2,accuracy,high-low,0.06162500000000001,0.23350637928473533,-0.12924999999999998,0.2525,4
lattice_round,accuracy,high-low,-0.004750000000000004,0.013871433475552124,-0.018625000000000058,0.002875000000000044,4
logitguard_continuous,accuracy,high-low,-0.005625000000000019,0.014727383791201155,-0.02012500000000006,0.0030000000000000027,4
logitguard_quantized,accuracy,high-low,-0.005625000000000019,0.014727383791201155,-0.02012500000000006,0.0030000000000000027,4
measurementguard_continuous,accuracy,high-low,-0.005625000000000019,0.014727383791201155,-0.02012500000000006,0.0030000000000000027,4
memgq_lattice,accuracy,high-low,-0.005625000000000019,0.014727383791201155,-0.02012500000000006,0.0030000000000000027,4
memgq_lattice_sticky,accuracy,high-low,-0.004750000000000004,0.014384598244882165,-0.018750000000000017,0.0040000000000000036,4
memguard,accuracy,high-low,-0.005625000000000019,0.014727383791201155,-0.02012500000000006,0.0030000000000000027,4
none,accuracy,high-low,-0.005625000000000019,0.014727383791201155,-0.02012500000000006,0.0030000000000000027,4
dp_qml,balanced_accuracy,high-low,0.008540433552704202,0.00839044003149081,0.0013780865362832961,0.015702780569125108,4
dynanoise,balanced_accuracy,high-low,0.029900774865095625,0.003152993259198492,0.027297077120568808,0.032761139411822765,4
hamp_full,balanced_accuracy,high-low,0.04397025424171841,0.010230933272287801,0.034332724400118475,0.05051071974163418,4
hamp_output,balanced_accuracy,high-low,0.052705275355920955,0.008760191874397099,0.04493919864776161,0.05977758932149932,4
hamp_train,balanced_accuracy,high-low,0.04397025424171841,0.010230933272287801,0.034332724400118475,0.05051071974163418,4
l2,balanced_accuracy,high-low,-0.00015066014556314178,0.02949190808704238,-0.025419815403202872,0.02511849511207659,4
lattice_round,balanced_accuracy,high-low,0.05509006209376216,0.007010089797053617,0.04865378806800691,0.06095491667586361,4
logitguard_continuous,balanced_accuracy,high-low,0.052705275355920955,0.008760191874397099,0.04493919864776161,0.05977758932149932,4
logitguard_quantized,balanced_accuracy,high-low,0.052705275355920955,0.008760191874397099,0.04493919864776161,0.05977758932149932,4
measurementguard_continuous,balanced_accuracy,high-low,0.052705275355920955,0.008760191874397099,0.04493919864776161,0.05977758932149932,4
memgq_lattice,balanced_accuracy,high-low,0.052705275355920955,0.008760191874397099,0.04493919864776161,0.05977758932149932,4
memgq_lattice_sticky,balanced_accuracy,high-low,0.0561029339157407,0.009039717284449128,0.04761078421691575,0.06325547894678762,4
memguard,balanced_accuracy,high-low,0.052705275355920955,0.008760191874397099,0.04493919864776161,0.05977758932149932,4
none,balanced_accuracy,high-low,0.052705275355920955,0.008760191874397099,0.04493919864776161,0.05977758932149932,4
dp_qml,task_roc_auc,high-low,0.028047110519926366,0.02194699683098353,0.00880672082203085,0.048535256652280784,4
dynanoise,task_roc_auc,high-low,0.0365915374740792,0.010743703564015786,0.02590210938725246,0.04404885164295794,4
hamp_full,task_roc_auc,high-low,0.04123495576763339,0.026943533328983235,0.018156181204584065,0.06431373033068272,4
hamp_output,task_roc_auc,high-low,0.058716796682136904,0.02605311231018421,0.037403650114138765,0.08002994325013504,4
hamp_train,task_roc_auc,high-low,0.004341008892941978,0.023914086732114835,-0.014821690994952397,0.023503708780836352,4
