target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,loss,adaptive_defended_calibration,0.6076999999999999,0.545,0.11,0.19,-0.08696666359901428,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,confidence,adaptive_defended_calibration,0.6076999999999999,0.545,0.11,0.19,0.9167077839374542,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,maximum_probability,adaptive_defended_calibration,0.6020000000000001,0.54,0.11,0.19,0.9167077839374542,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,entropy,adaptive_defended_calibration,0.6020000000000001,0.54,0.11,0.19,-0.28673556447029114,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,margin,adaptive_defended_calibration,0.6020000000000001,0.54,0.11,0.19,0.8334155976772308,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,correctness,adaptive_defended_calibration,0.54,0.54,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.6020000000000001,0.535,0.11,0.19,0.9,artifact_fixed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.6076999999999999,0.555,0.11,0.19,-0.5,artifact_fixed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.6114999999999999,0.545,0.11,0.19,0.6236959061032652,
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,loss,adaptive_defended_calibration,0.5745,0.58,0.09,0.18,-0.6555904150009155,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,confidence,adaptive_defended_calibration,0.5745,0.58,0.09,0.18,0.5191354751586914,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,dynanoise,maximum_probability,adaptive_defended_calibration,0.6028,0.575,0.09,0.2,0.5191354751586914,as_defined
