target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,4b85b1f42c0154e0d47c,1,0,0,0.9669563174247742,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,fb40711278aca2b43c69,1,0,0,0.26207780838012695,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,4dde24d981dd8981f71f,1,0,0,0.4002448320388794,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,11ccb38ba9653d61e950,1,1,1,0.012780510820448399,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,78edbc6916b12b570866,1,0,0,0.497555136680603,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,e07f107ec2deef516f4f,1,0,0,0.4971707761287689,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,b91b8614dbf7826436cf,1,0,0,0.41527003049850464,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,eb849709f12c60edd50b,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,006df97946d214e0111f,1,0,0,0.41031208634376526,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,bd6c7e8fd4e7879e23df,1,0,0,0.7414966225624084,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,88b1c0733571d25bdfa5,1,0,0,0.08941375464200974,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,92516ca36411fad7d9c9,1,0,0,0.1544366478919983,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,f1068bd99413d081a271,1,0,0,0.12239543348550797,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,a6dfd0dc4ba32e6c00e6,1,0,0,0.5262995958328247,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,lattice_round,attack_calibration,83a947285ea3ca8494da,1,0,0,0.34366440773010254,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
