target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,loss,adaptive_defended_calibration,0.5538000000000001,0.555,0.07,0.1,-0.3522825688123703,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,confidence,adaptive_defended_calibration,0.5538000000000001,0.555,0.07,0.1,0.7030825614929199,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,maximum_probability,adaptive_defended_calibration,0.4245,0.42,0.03,0.06,-0.7538675963878632,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,entropy,adaptive_defended_calibration,0.4245,0.42,0.03,0.06,0.5580461323261261,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,margin,adaptive_defended_calibration,0.4245,0.42,0.03,0.06,-0.5077351629734039,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5755,0.51,0.07,0.12,0.9,artifact_fixed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5538000000000001,0.53,0.07,0.1,-0.5,artifact_fixed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.5067,0.515,0.01,0.07,0.5177532694535609,
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,loss,adaptive_defended_calibration,0.5177,0.53,0.11,0.15,-0.6763998568058014,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,confidence,adaptive_defended_calibration,0.5177,0.53,0.11,0.15,0.5084453523159027,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,maximum_probability,adaptive_defended_calibration,0.5739,0.56,0.15,0.2,0.5085771679878235,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,entropy,adaptive_defended_calibration,0.5739,0.56,0.15,0.2,-0.6929981708526611,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,margin,adaptive_defended_calibration,0.5739,0.56,0.15,0.2,0.01715432107448578,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,correctness,adaptive_defended_calibration,0.49,0.49,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5739,0.5,0.15,0.2,0.9,artifact_fixed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5177,0.505,0.11,0.15,-0.5,artifact_fixed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,dynanoise,learned_pv_stats_logistic,adaptive_defended_calibration,0.5448,0.535,0.08,0.08,0.5106637262155009,
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,pets_b01,eff_su2_r1_d6,low,none,hamp_output,loss,adaptive_defended_calibration,0.5385000000000001,0.5,0.09,0.12,-1.6060739755630493,as_defined
