target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,loss,adaptive_defended_calibration,0.5642,0.5800000000000001,0.07,0.13,-0.1460287570953369,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,confidence,adaptive_defended_calibration,0.5642,0.5800000000000001,0.07,0.13,0.8641328811645508,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,maximum_probability,adaptive_defended_calibration,0.4132,0.465,0.1,0.12,-0.825605183839798,inverted_from_calibration,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,entropy,adaptive_defended_calibration,0.4132,0.465,0.1,0.12,0.4627866446971893,inverted_from_calibration,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,margin,adaptive_defended_calibration,0.4132,0.465,0.1,0.12,-0.6512104272842407,inverted_from_calibration,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,correctness,adaptive_defended_calibration,0.525,0.525,0.0,0.0,0.5,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.4365,0.465,0.03,0.11,0.5161287550186769,,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,loss,adaptive_defended_calibration,0.586,0.61,0.03,0.13,-0.5469129085540771,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,confidence,adaptive_defended_calibration,0.586,0.61,0.03,0.13,0.5787336826324463,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,maximum_probability,adaptive_defended_calibration,0.5861000000000001,0.605,0.03,0.13,0.5574823617935181,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,entropy,adaptive_defended_calibration,0.5861000000000001,0.605,0.03,0.13,-0.6865217983722687,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,margin,adaptive_defended_calibration,0.5861000000000001,0.605,0.03,0.13,0.1149647384881973,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,correctness,adaptive_defended_calibration,0.56,0.56,0.0,0.0,0.5,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.6112,0.62,0.13,0.17,0.5540892493714169,,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,loss,adaptive_defended_calibration,0.5665,0.53,0.1,0.2,-0.595597892999649,as_defined,,,hamp_full
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,confidence,adaptive_defended_calibration,0.5665,0.53,0.1,0.2,0.5512334406375885,as_defined,,,hamp_full
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,maximum_probability,adaptive_defended_calibration,0.4543,0.48,0.06,0.09,-0.5237334966659546,inverted_from_calibration,,,hamp_full
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,entropy,adaptive_defended_calibration,0.4543,0.48,0.06,0.09,0.6920201778411865,inverted_from_calibration,,,hamp_full
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,margin,adaptive_defended_calibration,0.4543,0.48,0.06,0.09,-0.0474669784307479,inverted_from_calibration,,,hamp_full
