attack,effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
confidence,dp_qml,none,auc,(high-low)_defense-(high-low)_none,0.020900000000000196,0.0,0.020900000000000196,0.020900000000000196,1
confidence,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.0029000000000001247,0.0,0.0029000000000001247,0.0029000000000001247,1
confidence,hamp_full,none,auc,(high-low)_defense-(high-low)_none,-0.04569999999999985,0.0,-0.04569999999999985,-0.04569999999999985,1
confidence,hamp_output,none,auc,(high-low)_defense-(high-low)_none,-0.02739999999999998,0.0,-0.02739999999999998,-0.02739999999999998,1
confidence,hamp_train,none,auc,(high-low)_defense-(high-low)_none,-0.03679999999999983,0.0,-0.03679999999999983,-0.03679999999999983,1
confidence,l2,none,auc,(high-low)_defense-(high-low)_none,-0.15269999999999984,0.0,-0.15269999999999984,-0.15269999999999984,1
confidence,lattice_round,none,auc,(high-low)_defense-(high-low)_none,-0.003649999999999931,0.0,-0.003649999999999931,-0.003649999999999931,1
confidence,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.028300000000000214,0.0,0.028300000000000214,0.028300000000000214,1
confidence,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,0.03230000000000016,0.0,0.03230000000000016,0.03230000000000016,1
confidence,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.008700000000000152,0.0,0.008700000000000152,0.008700000000000152,1
confidence,memgq_lattice,none,auc,(high-low)_defense-(high-low)_none,-0.0805499999999999,0.0,-0.0805499999999999,-0.0805499999999999,1
confidence,memgq_lattice_sticky,none,auc,(high-low)_defense-(high-low)_none,0.06285000000000018,0.0,0.06285000000000018,0.06285000000000018,1
confidence,memguard,none,auc,(high-low)_defense-(high-low)_none,0.09060000000000035,0.0,0.09060000000000035,0.09060000000000035,1
correctness,dp_qml,none,auc,(high-low)_defense-(high-low)_none,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
correctness,dynanoise,none,auc,(high-low)_defense-(high-low)_none,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,1
correctness,hamp_full,none,auc,(high-low)_defense-(high-low)_none,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,1
correctness,hamp_output,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
correctness,hamp_train,none,auc,(high-low)_defense-(high-low)_none,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,1
correctness,l2,none,auc,(high-low)_defense-(high-low)_none,-0.015000000000000013,0.0,-0.015000000000000013,-0.015000000000000013,1
correctness,lattice_round,none,auc,(high-low)_defense-(high-low)_none,0.004999999999999893,0.0,0.004999999999999893,0.004999999999999893,1
correctness,logitguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
correctness,logitguard_quantized,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
correctness,measurementguard_continuous,none,auc,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
