effective_defense,structural_role,attack,outcome,count,mean,std
dp_qml,high,confidence,auc,1,0.5642,
dp_qml,high,confidence,balanced_accuracy,1,0.5800000000000001,
dp_qml,high,confidence,tpr_at_5_fpr,1,0.07,
dp_qml,high,confidence,tpr_at_10_fpr,1,0.13,
dp_qml,high,correctness,auc,1,0.525,
dp_qml,high,correctness,balanced_accuracy,1,0.525,
dp_qml,high,correctness,tpr_at_5_fpr,1,0.0,
dp_qml,high,correctness,tpr_at_10_fpr,1,0.0,
dp_qml,high,entropy,auc,1,0.4132,
dp_qml,high,entropy,balanced_accuracy,1,0.465,
dp_qml,high,entropy,tpr_at_5_fpr,1,0.1,
dp_qml,high,entropy,tpr_at_10_fpr,1,0.12,
dp_qml,high,label_only_hsj,auc,1,0.55,
dp_qml,high,label_only_hsj,balanced_accuracy,1,0.55,
dp_qml,high,label_only_hsj,tpr_at_5_fpr,1,0.0,
dp_qml,high,label_only_hsj,tpr_at_10_fpr,1,0.0,
dp_qml,high,learned_pv_stats_logistic,auc,1,0.4365,
dp_qml,high,learned_pv_stats_logistic,balanced_accuracy,1,0.465,
dp_qml,high,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.03,
dp_qml,high,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.11,
dp_qml,high,loss,auc,1,0.5642,
dp_qml,high,loss,balanced_accuracy,1,0.5800000000000001,
dp_qml,high,loss,tpr_at_5_fpr,1,0.07,
dp_qml,high,loss,tpr_at_10_fpr,1,0.13,
dp_qml,high,margin,auc,1,0.4132,
dp_qml,high,margin,balanced_accuracy,1,0.465,
dp_qml,high,margin,tpr_at_5_fpr,1,0.1,
dp_qml,high,margin,tpr_at_10_fpr,1,0.12,
dp_qml,high,maximum_probability,auc,1,0.4132,
dp_qml,high,maximum_probability,balanced_accuracy,1,0.465,
dp_qml,high,maximum_probability,tpr_at_5_fpr,1,0.1,
dp_qml,high,maximum_probability,tpr_at_10_fpr,1,0.12,
dp_qml,low,confidence,auc,1,0.4894,
dp_qml,low,confidence,balanced_accuracy,1,0.515,
dp_qml,low,confidence,tpr_at_5_fpr,1,0.11,
dp_qml,low,confidence,tpr_at_10_fpr,1,0.15,
dp_qml,low,correctness,auc,1,0.525,
dp_qml,low,correctness,balanced_accuracy,1,0.525,
dp_qml,low,correctness,tpr_at_5_fpr,1,0.0,
dp_qml,low,correctness,tpr_at_10_fpr,1,0.0,
