target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,loss,adaptive_defended_calibration,0.5582999999999999,0.585,0.09,0.11,-0.5391740798950195,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,confidence,adaptive_defended_calibration,0.5582999999999999,0.585,0.09,0.11,0.5832299590110779,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,maximum_probability,adaptive_defended_calibration,0.5405,0.57,0.06,0.11,0.5832299590110779,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,entropy,adaptive_defended_calibration,0.5405,0.57,0.06,0.11,-0.6792275905609131,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,margin,adaptive_defended_calibration,0.5405,0.57,0.06,0.11,0.16645990312099457,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5405,0.5,0.06,0.11,0.9,artifact_fixed
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5582999999999999,0.505,0.09,0.11,-0.5,artifact_fixed
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.5309,0.525,0.09,0.12,0.5685364526848179,
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,loss,adaptive_defended_calibration,0.5278,0.495,0.07,0.19,-0.746934711933136,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,confidence,adaptive_defended_calibration,0.5278,0.495,0.07,0.19,0.47381851077079773,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,maximum_probability,adaptive_defended_calibration,0.468,0.485,0.04,0.1,-0.573791891336441,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,entropy,adaptive_defended_calibration,0.468,0.485,0.04,0.1,0.6822152137756348,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,margin,adaptive_defended_calibration,0.468,0.485,0.04,0.1,-0.1475837379693985,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,learned_pv_stats_logistic,adaptive_defended_calibration,0.49829999999999997,0.49,0.05,0.14,0.549035571291414,
