target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,loss,adaptive_defended_calibration,0.5128999999999999,0.5,0.05,0.06,-0.40931858122348785,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,confidence,adaptive_defended_calibration,0.5128999999999999,0.5,0.05,0.06,0.6642820537090302,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,maximum_probability,adaptive_defended_calibration,0.5429,0.495,0.07,0.13,-0.888285219669342,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,entropy,adaptive_defended_calibration,0.5429,0.495,0.07,0.13,0.3500635474920273,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,margin,adaptive_defended_calibration,0.5429,0.495,0.07,0.13,-0.7765703797340393,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,correctness,adaptive_defended_calibration,0.505,0.505,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4571,0.505,0.01,0.06,0.9,artifact_fixed
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5128999999999999,0.52,0.05,0.06,-0.5,artifact_fixed
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.5426000000000001,0.545,0.08,0.13,0.506734147186322,
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,loss,adaptive_defended_calibration,0.5271,0.535,0.06,0.13,-0.8126489222049713,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,confidence,adaptive_defended_calibration,0.5271,0.535,0.06,0.13,0.4437023848295212,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,maximum_probability,adaptive_defended_calibration,0.5229,0.48,0.06,0.12,-0.5554597675800323,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,entropy,adaptive_defended_calibration,0.5229,0.48,0.06,0.12,0.6869827806949615,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,margin,adaptive_defended_calibration,0.5229,0.48,0.06,0.12,-0.1109195202589035,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,correctness,adaptive_defended_calibration,0.5,0.5,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.4771,0.5,0.06,0.11,0.9,artifact_fixed
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5271,0.515,0.06,0.13,-0.5,artifact_fixed
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,dynanoise,learned_pv_stats_logistic,adaptive_defended_calibration,0.567,0.54,0.07,0.15,0.5330156712183989,
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,hamp_output,loss,adaptive_defended_calibration,0.46069999999999994,0.495,0.04,0.07,-0.25695939362049103,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,hamp_output,confidence,adaptive_defended_calibration,0.46069999999999994,0.495,0.04,0.07,0.7734042704105377,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,hamp_output,maximum_probability,adaptive_defended_calibration,0.48849999999999993,0.515,0.05,0.09,0.7734042704105377,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,hamp_output,entropy,adaptive_defended_calibration,0.48849999999999993,0.515,0.05,0.09,-0.5351095795631409,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,hamp_output,margin,adaptive_defended_calibration,0.48849999999999993,0.515,0.05,0.09,0.5468085408210754,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,hamp_output,correctness,adaptive_defended_calibration,0.505,0.505,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,hamp_output,learned_pv_stats_logistic,adaptive_defended_calibration,0.48310000000000003,0.485,0.04,0.1,0.5136708221872546,
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,memguard,loss,adaptive_defended_calibration,0.5182,0.5,0.06,0.12,-0.40931861102581024,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,memguard,confidence,adaptive_defended_calibration,0.5182,0.5,0.06,0.12,0.6642820537090302,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,memguard,maximum_probability,adaptive_defended_calibration,0.5375,0.505,0.07,0.13,-0.8900975584983826,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,memguard,entropy,adaptive_defended_calibration,0.5375,0.505,0.07,0.13,0.34631094336509705,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,memguard,margin,adaptive_defended_calibration,0.5375,0.505,0.07,0.13,-0.7801951169967651,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,memguard,correctness,adaptive_defended_calibration,0.505,0.505,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,memguard,learned_pv_stats_logistic,adaptive_defended_calibration,0.5482,0.545,0.1,0.15,0.5092155389567512,
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,logitguard_continuous,loss,adaptive_defended_calibration,0.5182,0.515,0.02,0.07,-0.2065478414297104,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,logitguard_continuous,confidence,adaptive_defended_calibration,0.5182,0.515,0.02,0.07,0.8133873641490936,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,logitguard_continuous,maximum_probability,adaptive_defended_calibration,0.542,0.5499999999999999,0.07,0.12,-0.7434803545475006,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,logitguard_continuous,entropy,adaptive_defended_calibration,0.542,0.5499999999999999,0.07,0.12,0.5693821907043457,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,logitguard_continuous,margin,adaptive_defended_calibration,0.542,0.5499999999999999,0.07,0.12,-0.48696064949035645,inverted_from_calibration
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,logitguard_continuous,correctness,adaptive_defended_calibration,0.505,0.505,0.0,0.0,0.5,as_defined
PETS_CREDIT_high_eff_su2_r5_d6_b02__none,pets_b02,eff_su2_r5_d6,high,none,logitguard_continuous,learned_pv_stats_logistic,adaptive_defended_calibration,0.5416,0.5449999999999999,0.05,0.11,0.4975543019961449,
