target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,787c85a205e13b242012,1,0,0,0.85272216796875,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,272c38b1ecd099be7890,1,0,0,0.08793407678604126,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,6af56a8b2e15acc1e086,1,0,0,0.06214325875043869,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,39c00d7f6c47885c6fc2,1,0,0,0.18452110886573792,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,0acc109e58c1c7823ce7,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,402e2e33d278085f817f,1,0,0,1.395729899406433,True,True,False,4.898979663848877,64,256,16,90,426,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,07d4d260e30d7cf5b71f,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,df16a30c67111933fccc,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,ae1704e8283a10912765,1,0,0,2.3045198917388916,True,True,False,4.898979663848877,96,256,16,90,458,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,b95d8aa7591c7887c05c,1,0,0,0.01830405555665493,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,5584930e99aa4007d628,1,0,0,0.5918681025505066,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,a5b1091e7ec67f7a06ed,1,0,0,0.09760773181915283,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,e4890079e5df86b99388,1,0,0,0.21640701591968536,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,bd6c7e8fd4e7879e23df,1,0,0,0.2186664193868637,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,bacc1c25b75ae0e1b780,1,0,0,1.2050167322158813,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,aaff47c50ec280d97eda,1,1,1,0.007562813349068165,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,83a947285ea3ca8494da,1,0,0,2.610778570175171,True,True,False,4.898979663848877,32,256,18,90,396,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,46dbe6ca2f4531385a05,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,d1d396dc69ac0aeade66,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,29a333df83b13ef7fea3,1,0,0,2.4017813205718994,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,5ba4fb7c3b97c71d701a,0,0,0,0.9917058944702148,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,b5d9c5918402d7422322,0,0,0,1.8409860134124756,True,True,False,4.898979663848877,32,256,14,90,392,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,6d32dd00024b64288c47,0,0,0,0.04979633539915085,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,dbb3f0944676a758472a,0,0,0,0.133854940533638,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,17de222b62ae649ad970,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,500c167f524088e2bc46,0,0,0,1.055240511894226,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,e0cfb8d7d8cf9dc4e69a,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,c7e32746df2a48a62ccf,0,1,1,0.009817656129598618,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,57e20dc2b384716bf071,0,0,0,0.1910059154033661,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,7a791ab7d3018c779a07,0,0,0,0.061184920370578766,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,f0aa16595070d27b9c5f,0,0,0,0.058356449007987976,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,3609ee73f1b7e8441ded,0,0,0,0.010188974440097809,True,True,False,4.898979663848877,64,256,10,90,420,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,d9003dc2c5345c666e82,0,0,0,0.22070613503456116,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,4dc032411909a25f9536,0,0,0,0.18178193271160126,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,7adae4d533a5e932e9c7,0,0,0,2.447326898574829,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,e17849216d54d2d8ee22,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,7bbdc16973b22a2454b2,0,0,0,0.13161613047122955,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,81a128333a8129c12e25,0,1,1,0.05956645682454109,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,a8481c01e77be10ce262,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,attack_calibration,977dd2e1bd97946727a6,0,0,0,0.10498690605163574,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,22730a71b34176a3ba37,1,0,0,0.1160353347659111,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,01e7168ae2a624ff9916,1,0,0,0.9057159423828125,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,d8e3c3c718aea110b2d9,1,0,0,0.11597570776939392,True,True,False,4.898979663848877,64,256,12,90,422,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,bf5a9031a45524933e21,1,0,1,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,7311863aa70952806ffc,1,0,0,0.11267869174480438,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,0772d1e68bccea98e68f,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,f073d35785cf76f1409c,1,0,0,0.08150303363800049,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,006df97946d214e0111f,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,7673e8a0f0b037cc51e5,1,1,1,0.026013625785708427,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,7be2869c238aa35d440a,1,0,0,0.0020435890182852745,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,85bbf6f61dd23b95b6e7,1,0,0,1.2854111194610596,True,True,False,4.898979663848877,64,256,10,90,420,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,e07f107ec2deef516f4f,1,0,0,1.7114448547363281,True,True,False,4.898979663848877,32,256,12,90,390,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,70d271c728323ea28d90,1,0,0,0.42739081382751465,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,69ef03b5c6f4f7ecef33,1,0,0,0.8308311700820923,True,True,False,4.898979663848877,32,256,16,90,394,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,5b7629cbd1fb6e879520,1,0,0,0.8346794843673706,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,526cee77dcfea7ee8138,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,a62d80fa1349c54517ce,1,0,0,0.6733601689338684,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,daf2c33eb0f2b7518584,1,0,0,0.1012670248746872,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,d2c3d34fb102babfa194,1,0,0,2.131319284439087,True,True,False,4.898979663848877,64,256,17,90,427,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,d606f1831b9734bb90e1,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,cca86135655a3f3f0727,0,0,0,1.9587544202804565,True,True,False,4.898979663848877,32,256,13,90,391,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,93a3d4057fcaa594a8d6,0,0,0,0.9497420787811279,True,True,False,4.898979663848877,32,256,10,90,388,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,973b033623e52ecc534b,0,0,0,0.09550280123949051,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,d7b3b622ad501cc46324,0,0,0,0.15448451042175293,True,True,False,4.898979663848877,32,256,11,90,389,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,5ccd79222ef1b5250d91,0,0,0,1.2079747915267944,True,True,False,4.898979663848877,32,256,9,90,387,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,64f43af80af04a1795e2,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,94b5f1f88153a9cadc61,0,0,0,0.08392070978879929,True,True,False,4.898979663848877,32,256,13,90,391,8,False,iterations_completed
PETS_CREDIT_high_eff_su2_r5_d6_b04__none,lattice_round,final_evaluation,9d16b315411ee80bab47,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
