target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,loss,adaptive_defended_calibration,0.5485,0.47500000000000003,0.05,0.09,-0.07260506600141525,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,confidence,adaptive_defended_calibration,0.5485,0.47500000000000003,0.05,0.09,0.9299752116203308,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,maximum_probability,adaptive_defended_calibration,0.49939999999999996,0.49,0.01,0.05,-0.8472378551959991,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,entropy,adaptive_defended_calibration,0.49939999999999996,0.49,0.01,0.05,0.4274674355983734,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,margin,adaptive_defended_calibration,0.49939999999999996,0.49,0.01,0.05,-0.6944756507873535,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,correctness,adaptive_defended_calibration,0.5599999999999999,0.56,0.0,0.0,0.5,as_defined
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,artifact_confidence_tau0.9,dynanoise_artifact_fixed_threshold_appendix,0.5005999999999999,0.46499999999999997,0.03,0.05,0.9,artifact_fixed
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,artifact_loss_tau0.5,dynanoise_artifact_fixed_threshold_appendix,0.5485,0.545,0.05,0.09,-0.5,artifact_fixed
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.4948000000000001,0.525,0.11,0.15,0.5405741876982773,
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,dynanoise,loss,adaptive_defended_calibration,0.4371,0.49,0.04,0.06,0.565636545419693,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,dynanoise,confidence,adaptive_defended_calibration,0.4371,0.49,0.04,0.06,-0.5679990947246552,inverted_from_calibration
PETS_CREDIT_low_eff_su2_r1_d6_b03__none,pets_b03,eff_su2_r1_d6,low,none,dynanoise,maximum_probability,adaptive_defended_calibration,0.46230000000000004,0.48,0.04,0.06,-0.5442768335342407,inverted_from_calibration
