target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,787c85a205e13b242012,1,0,0,0.016195669770240784,True,True,False,4.898979663848877,32,256,29,90,407,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,272c38b1ecd099be7890,1,0,0,4.898979663848877,True,False,True,4.898979663848877,128,0,0,0,128,0,False,no_adversarial_initialization_within_budget
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,6af56a8b2e15acc1e086,1,0,0,1.5299726724624634,True,True,False,4.898979663848877,32,96,19,30,177,2,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,39c00d7f6c47885c6fc2,1,0,0,0.4154341518878937,True,True,False,4.898979663848877,128,256,17,90,491,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,0acc109e58c1c7823ce7,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,402e2e33d278085f817f,1,0,0,4.898979663848877,True,False,True,4.898979663848877,128,0,0,0,128,0,False,no_adversarial_initialization_within_budget
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,07d4d260e30d7cf5b71f,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,df16a30c67111933fccc,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,ae1704e8283a10912765,1,0,0,0.0936867743730545,True,True,False,4.898979663848877,64,256,25,90,435,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,b95d8aa7591c7887c05c,1,0,0,1.6603938341140747,True,True,False,4.898979663848877,96,64,11,20,191,1,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,5584930e99aa4007d628,1,0,0,0.7200694680213928,True,True,False,4.898979663848877,64,64,11,20,159,1,False,geometric_step_search_failed
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,a5b1091e7ec67f7a06ed,1,0,0,4.898979663848877,True,False,True,4.898979663848877,128,0,0,0,128,0,False,no_adversarial_initialization_within_budget
PETS_CREDIT_low_eff_su2_r1_d6_b04__none,dynanoise,attack_calibration,e4890079e5df86b99388,1,0,0,0.3749730885028839,True,True,False,4.898979663848877,128,256,18,90,492,8,False,iterations_completed
