name,kind,target_id,structural_cell_id,reference_id,gpu,status,returncode,seconds,log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__none_dynanoise,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b02__none,eff_su2_r1_d6,,1,ok,0,423.127792596817,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__none_dynanoise.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__none_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b02__none,eff_su2_r1_d6,,0,ok,0,498.282995223999,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__none_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__none_dynanoise,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b03__none,eff_su2_r1_d6,,5,ok,0,499.26087379455566,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__none_dynanoise.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__none_lattice_round,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b02__none,eff_su2_r1_d6,,2,ok,0,501.2805850505829,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__none_lattice_round.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__none_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b03__none,eff_su2_r1_d6,,4,ok,0,501.49840021133423,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__none_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__none_lattice_round,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b03__none,eff_su2_r1_d6,,6,ok,0,519.0291903018951,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__none_lattice_round.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__none_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6,,1,ok,0,151.7555193901062,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__none_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__none_lattice_round,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6,,5,ok,0,185.6407253742218,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__none_lattice_round.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__none_dynanoise,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6,,0,ok,0,233.7301208972931,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__none_dynanoise.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b05__none_dynanoise,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6,,6,ok,0,319.7407250404358,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b05__none_dynanoise.log
