name,kind,target_id,structural_cell_id,reference_id,gpu,status,returncode,seconds,log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__l2_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6,,7,ok,0,310.62353682518005,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__l2_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__l2_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b02__l2,eff_su2_r1_d6,,0,ok,0,407.62839460372925,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__l2_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__l2_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,eff_su2_r1_d6,,3,ok,0,456.02819657325745,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__l2_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__dp_qml_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b02__dp_qml,eff_su2_r1_d6,,2,ok,0,492.90715527534485,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__dp_qml_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__dp_qml_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b03__dp_qml,eff_su2_r1_d6,,5,ok,0,511.54999709129333,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__dp_qml_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__hamp_train_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b02__hamp_train,eff_su2_r1_d6,,1,ok,0,587.7410538196564,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b02__hamp_train_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train,eff_su2_r1_d6,,4,ok,0,598.033707857132,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b03__hamp_train_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__hamp_train_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b04__hamp_train,eff_su2_r1_d6,,7,ok,0,378.41254782676697,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b04__hamp_train_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b05__l2_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,eff_su2_r1_d6,,3,ok,0,413.65160870552063,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b05__l2_none.log
hsj_PETS_CREDIT_low_eff_su2_r1_d6_b05__dp_qml_none,pets_hsj,PETS_CREDIT_low_eff_su2_r1_d6_b05__dp_qml,eff_su2_r1_d6,,5,ok,0,434.8497495651245,/home/najeeb/qurift_satML/pets_logs/hsj/hsj_PETS_CREDIT_low_eff_su2_r1_d6_b05__dp_qml_none.log
