name,kind,target_id,structural_cell_id,reference_id,gpu,status,returncode,seconds,log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_none,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,0,ok,0,19.896197080612183,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_none.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_lattice_round,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,7,ok,0,20.96302580833435,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_lattice_round.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_logitguard_continuous,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,4,ok,0,30.94288468360901,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_logitguard_continuous.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_measurementguard_continuous,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,6,ok,0,31.689443588256836,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_measurementguard_continuous.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_logitguard_quantized,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,5,ok,0,32.62863206863403,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_logitguard_quantized.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_memgq_lattice,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,0,ok,0,30.354106187820435,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_memgq_lattice.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_memgq_lattice_sticky,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,7,ok,0,30.07256531715393,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_memgq_lattice_sticky.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_none,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,4,ok,0,20.7795889377594,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_none.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_logitguard_continuous,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,7,ok,0,29.431580781936646,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_logitguard_continuous.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_logitguard_quantized,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,4,ok,0,29.22068214416504,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_logitguard_quantized.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_dynanoise,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,1,ok,0,84.62255787849426,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_dynanoise.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_lattice_round,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,4,ok,0,21.742642402648926,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_lattice_round.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_measurementguard_continuous,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,7,ok,0,32.338815212249756,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_measurementguard_continuous.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_memgq_lattice,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,1,ok,0,32.74798774719238,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_memgq_lattice.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_memgq_lattice_sticky,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,4,ok,0,33.30867385864258,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_memgq_lattice_sticky.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_dynanoise,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,6,ok,0,111.42198204994202,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_dynanoise.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_hamp_output,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,2,ok,0,150.63152265548706,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_hamp_output.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_hamp_output,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,5,ok,0,252.31185841560364,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_hamp_output.log
lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_memguard,pets_lira,PETS_CREDIT_low_eff_su2_r1_d6_b01__none,eff_su2_r1_d6,,3,ok,0,345.2678406238556,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_low_eff_su2_r1_d6_b01__none_memguard.log
lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_memguard,pets_lira,PETS_CREDIT_high_eff_su2_r5_d6_b01__none,eff_su2_r5_d6,,0,ok,0,329.72511100769043,/home/najeeb/qurift_satML/pets_logs/lira/lira_PETS_CREDIT_high_eff_su2_r5_d6_b01__none_memguard.log
