target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,loss,adaptive_defended_calibration,0.4875,0.485,0.05,0.11,-0.1424096226692199,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,confidence,adaptive_defended_calibration,0.4875,0.485,0.05,0.11,0.8672659397125244,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,maximum_probability,adaptive_defended_calibration,0.5034,0.505,0.05,0.11,0.8672659397125244,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,entropy,adaptive_defended_calibration,0.5034,0.505,0.05,0.11,-0.3915512263774872,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,margin,adaptive_defended_calibration,0.5034,0.505,0.05,0.11,0.734531819820404,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,correctness,adaptive_defended_calibration,0.5,0.5,0.0,0.0,-inf,as_defined,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__dp_qml,pets_b01,eff_su2_r5_d6,high,dp_qml,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.521,0.51,0.04,0.1,0.4858852777505422,,,,dp_qml
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,loss,adaptive_defended_calibration,0.5582999999999999,0.585,0.09,0.11,-0.5391740798950195,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,confidence,adaptive_defended_calibration,0.5582999999999999,0.585,0.09,0.11,0.5832299590110779,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,maximum_probability,adaptive_defended_calibration,0.5405,0.57,0.06,0.11,0.5832299590110779,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,entropy,adaptive_defended_calibration,0.5405,0.57,0.06,0.11,-0.6792275905609131,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,margin,adaptive_defended_calibration,0.5405,0.57,0.06,0.11,0.1664599031209945,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.5309,0.525,0.09,0.12,0.5685364526848179,,,,hamp_train
PETS_CREDIT_high_eff_su2_r5_d6_b01__hamp_train,pets_b01,eff_su2_r5_d6,high,hamp_train,hamp_output,loss,adaptive_defended_calibration,0.5278,0.495,0.07,0.19,-0.746934711933136,as_defined,,,hamp_full
