effective_defense,attack,outcome,contrast,mean_difference,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
dp_qml,confidence,auc,high-low,-0.026500000000000024,0.0,-0.026500000000000024,-0.026500000000000024,1
dp_qml,correctness,auc,high-low,0.0,0.0,0.0,0.0,1
dp_qml,entropy,auc,high-low,-0.015499999999999958,0.0,-0.015499999999999958,-0.015499999999999958,1
dp_qml,label_only_hsj,auc,high-low,0.0,0.0,0.0,0.0,1
dp_qml,learned_pv_stats_logistic,auc,high-low,0.0042000000000000925,0.0,0.0042000000000000925,0.0042000000000000925,1
dp_qml,loss,auc,high-low,-0.026500000000000024,0.0,-0.026500000000000024,-0.026500000000000024,1
dp_qml,margin,auc,high-low,-0.015499999999999958,0.0,-0.015499999999999958,-0.015499999999999958,1
dp_qml,maximum_probability,auc,high-low,-0.015499999999999958,0.0,-0.015499999999999958,-0.015499999999999958,1
dynanoise,confidence,auc,high-low,0.08230000000000004,0.0,0.08230000000000004,0.08230000000000004,1
dynanoise,correctness,auc,high-low,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,1
dynanoise,entropy,auc,high-low,0.08250000000000002,0.0,0.08250000000000002,0.08250000000000002,1
dynanoise,global_true_class_log_odds,auc,high-low,0.05360000000000009,0.0,0.05360000000000009,0.05360000000000009,1
dynanoise,label_only_hsj,auc,high-low,0.01874999999999999,0.0,0.01874999999999999,0.01874999999999999,1
dynanoise,learned_pv_stats_logistic,auc,high-low,0.033299999999999996,0.0,0.033299999999999996,0.033299999999999996,1
dynanoise,lira_offline,auc,high-low,0.10009999999999997,0.0,0.10009999999999997,0.10009999999999997,1
dynanoise,lira_offline_fixed_variance,auc,high-low,0.01040000000000002,0.0,0.01040000000000002,0.01040000000000002,1
dynanoise,lira_online,auc,high-low,0.12950000000000006,0.0,0.12950000000000006,0.12950000000000006,1
dynanoise,lira_online_fixed_variance,auc,high-low,0.11180000000000007,0.0,0.11180000000000007,0.11180000000000007,1
dynanoise,loss,auc,high-low,0.08230000000000004,0.0,0.08230000000000004,0.08230000000000004,1
dynanoise,margin,auc,high-low,0.08250000000000002,0.0,0.08250000000000002,0.08250000000000002,1
dynanoise,maximum_probability,auc,high-low,0.08250000000000002,0.0,0.08250000000000002,0.08250000000000002,1
hamp_full,confidence,auc,high-low,0.03550000000000014,0.0,0.03550000000000014,0.03550000000000014,1
hamp_full,correctness,auc,high-low,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,1
hamp_full,entropy,auc,high-low,-0.002899999999999958,0.0,-0.002899999999999958,-0.002899999999999958,1
hamp_full,learned_pv_stats_logistic,auc,high-low,0.018899999999999917,0.0,0.018899999999999917,0.018899999999999917,1
hamp_full,loss,auc,high-low,0.03550000000000014,0.0,0.03550000000000014,0.03550000000000014,1
hamp_full,margin,auc,high-low,-0.002899999999999958,0.0,-0.002899999999999958,-0.002899999999999958,1
