effective_defense,baseline_defense,outcome,contrast,mean_difference_in_differences,sd_across_paired_blocks,ci95_low,ci95_high,paired_blocks
dp_qml,none,accuracy,(high-low)_defense-(high-low)_none,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,1
dynanoise,none,accuracy,(high-low)_defense-(high-low)_none,0.017000000000000015,0.0,0.017000000000000015,0.017000000000000015,1
hamp_full,none,accuracy,(high-low)_defense-(high-low)_none,-0.0014999999999999458,0.0,-0.0014999999999999458,-0.0014999999999999458,1
hamp_output,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
hamp_train,none,accuracy,(high-low)_defense-(high-low)_none,-0.0014999999999999458,0.0,-0.0014999999999999458,-0.0014999999999999458,1
l2,none,accuracy,(high-low)_defense-(high-low)_none,0.015000000000000013,0.0,0.015000000000000013,0.015000000000000013,1
lattice_round,none,accuracy,(high-low)_defense-(high-low)_none,-0.0020000000000000018,0.0,-0.0020000000000000018,-0.0020000000000000018,1
logitguard_continuous,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
logitguard_quantized,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
measurementguard_continuous,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice_sticky,none,accuracy,(high-low)_defense-(high-low)_none,-0.0014999999999999458,0.0,-0.0014999999999999458,-0.0014999999999999458,1
memguard,none,accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
dp_qml,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.0843667772233807,0.0,-0.0843667772233807,-0.0843667772233807,1
dynanoise,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.02960344797541814,0.0,-0.02960344797541814,-0.02960344797541814,1
hamp_full,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.0042039626159539045,0.0,-0.0042039626159539045,-0.0042039626159539045,1
hamp_output,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
hamp_train,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.0042039626159539045,0.0,-0.0042039626159539045,-0.0042039626159539045,1
l2,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.0843667772233807,0.0,-0.0843667772233807,-0.0843667772233807,1
lattice_round,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.00614548179299379,0.0,-0.00614548179299379,-0.00614548179299379,1
logitguard_continuous,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
logitguard_quantized,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
measurementguard_continuous,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
memgq_lattice_sticky,none,balanced_accuracy,(high-low)_defense-(high-low)_none,-0.002583367700788264,0.0,-0.002583367700788264,-0.002583367700788264,1
memguard,none,balanced_accuracy,(high-low)_defense-(high-low)_none,0.0,0.0,0.0,0.0,1
dp_qml,none,task_roc_auc,(high-low)_defense-(high-low)_none,-0.09339259057034488,0.0,-0.09339259057034488,-0.09339259057034488,1
dynanoise,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.03922246295575593,0.0,0.03922246295575593,0.03922246295575593,1
hamp_full,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.09084262222712713,0.0,0.09084262222712713,0.09084262222712713,1
hamp_output,none,task_roc_auc,(high-low)_defense-(high-low)_none,0.08648836250210568,0.0,0.08648836250210568,0.08648836250210568,1
