target_id,defense,partition,record_id,membership,true_label,original_prediction,boundary_distance,initially_correct,adversarial_initialization_found,search_censored,cap_distance,initialization_queries,gradient_queries,step_queries,projection_queries,boundary_queries,iterations_completed,query_budget_exhausted,stopping_reason
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,4b85b1f42c0154e0d47c,1,0,0,0.2982887327671051,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,fb40711278aca2b43c69,1,0,0,0.24728627502918243,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,4dde24d981dd8981f71f,1,0,0,1.071854591369629,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,11ccb38ba9653d61e950,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,78edbc6916b12b570866,1,0,0,0.2460421919822693,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,e07f107ec2deef516f4f,1,0,0,0.44382554292678833,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,b91b8614dbf7826436cf,1,0,0,0.29467692971229553,True,True,False,4.898979663848877,96,256,8,90,450,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,eb849709f12c60edd50b,1,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,006df97946d214e0111f,1,0,0,0.17901472747325897,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,bd6c7e8fd4e7879e23df,1,0,0,0.27529531717300415,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,88b1c0733571d25bdfa5,1,0,0,0.21347247064113617,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,92516ca36411fad7d9c9,1,0,0,0.33721020817756653,True,True,False,4.898979663848877,96,256,8,90,450,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,f1068bd99413d081a271,1,0,0,0.21069270372390747,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,a6dfd0dc4ba32e6c00e6,1,0,0,0.39727354049682617,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,83a947285ea3ca8494da,1,0,0,0.24339333176612854,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,f929be357f68bdda4236,1,0,0,0.327358603477478,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,6f47824d3363865de61a,1,0,0,0.041884101927280426,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,073dbbd888ef767c75de,1,0,0,0.4520677328109741,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,a5b1091e7ec67f7a06ed,1,0,0,0.21859556436538696,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,14865093b1485a5c3a41,1,0,0,0.3991110324859619,True,True,False,4.898979663848877,96,256,8,90,450,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,fd49901b4cc63c783db2,0,0,0,0.29858922958374023,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,439a4b80869e58e17f79,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,249e820049d9be3790b9,0,0,0,0.037044402211904526,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,46d7ad3cd76693d3a5e7,0,0,0,0.22406171262264252,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,ef24ebed9137bf1cf697,0,0,0,0.3794153034687042,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,62a1527c10e3ed85eaa6,0,0,0,0.5866203308105469,True,True,False,4.898979663848877,96,256,8,90,450,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,b5013191fc9f416c8e4b,0,0,0,0.43005385994911194,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,76a169068a2ab6394f63,0,0,0,0.28270915150642395,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,fe3f9ee420efa6823afe,0,0,0,0.37399324774742126,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,6cc8653639d78291af88,0,0,0,0.6470295190811157,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,2810a2f0f8ca0deedc8e,0,0,0,0.7739211320877075,True,True,False,4.898979663848877,64,256,8,90,418,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,a1564c9bf9ade3c0b019,0,0,0,0.5289342999458313,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,f9048c251e4492eda5c5,0,1,0,0.0,False,False,False,4.898979663848877,0,0,0,0,0,0,False,initially_misclassified
PETS_CREDIT_low_eff_su2_r1_d6_b01__none,lattice_round,attack_calibration,3abfa53b007677c95160,0,0,0,0.2928517758846283,True,True,False,4.898979663848877,32,256,8,90,386,8,False,iterations_completed
