target_id,source_target_id,block_id,structural_role,tuning_family,tuning_value,accuracy,balanced_accuracy,task_roc_auc,task_average_precision,minority_class_recall,predicted_minority_fraction,prediction_collapse,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_minority_class_recall,calibrated_predicted_minority_fraction,calibrated_prediction_collapse,calibrated_decision_threshold,test_records,privacy_epsilon,privacy_delta,noise_multiplier
PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p001,PETS_CREDIT_low_eff_su2_r1_d6_b01,pets_b01,low,l2,0.001,0.779,0.5,0.6930105309626566,0.40209192724135073,0.0,0.0,1.0,0.7,0.6340417869527588,0.5158371040723982,0.307,0.0,0.26478205621242523,2000,,,
PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p0001,PETS_CREDIT_low_eff_su2_r1_d6_b01,pets_b01,low,l2,0.0001,0.781,0.509386671623325,0.6947770665489461,0.4134659855288265,0.02262443438914027,0.008,0.0,0.6155,0.634095516354068,0.667420814479638,0.4585,0.0,0.2277078628540039,2000,,,
PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps1,PETS_CREDIT_low_eff_su2_r1_d6_b01,pets_b01,low,dp_qml,1.0,0.779,0.5,0.429960095028433,0.1886560470822235,0.0,0.0,1.0,0.4725,0.4304901283116189,0.3552036199095023,0.4635,0.0,0.05855533480644226,2000,0.9999645585052109,1e-05,9.520492553710938
PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps4,PETS_CREDIT_low_eff_su2_r1_d6_b01,pets_b01,low,dp_qml,4.0,0.779,0.5,0.5945848024210177,0.2698406495255227,0.0,0.0,1.0,0.604,0.553787487148508,0.4638009049773756,0.38,0.0,0.06344215199351311,2000,3.999786022135617,1e-05,2.870098352432251
PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps8,PETS_CREDIT_low_eff_su2_r1_d6_b01,pets_b01,low,dp_qml,8.0,0.779,0.5,0.5425231907713218,0.2418103235033724,0.0,0.0,1.0,0.345,0.539884641523243,0.8891402714932126,0.827,0.0,0.07157422229647636,2000,7.999840773522378,1e-05,1.7016515135765076
PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p001,PETS_CREDIT_high_eff_su2_r5_d6_b01,pets_b01,high,l2,0.001,0.7875,0.5767618887191491,0.7148696844196353,0.43979841115328144,0.19909502262443438,0.0795,0.0,0.6895,0.656473085926382,0.5972850678733032,0.3535,0.0,0.24369633197784424,2000,,,
PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p0001,PETS_CREDIT_high_eff_su2_r5_d6_b01,pets_b01,high,l2,0.0001,0.7675,0.582561759768586,0.6933416202464001,0.39917559516077383,0.251131221719457,0.1225,0.0,0.6005,0.647156117310161,0.7307692307692307,0.5015,0.0,0.17635184526443481,2000,,,
PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps1,PETS_CREDIT_high_eff_su2_r5_d6_b01,pets_b01,high,dp_qml,1.0,0.779,0.5,0.4127521651496581,0.18548273597525564,0.0,0.0,1.0,0.352,0.41878147526414533,0.5384615384615384,0.665,0.0,0.13521485030651093,2000,0.9999645585052109,1e-05,9.520492553710938
PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps4,PETS_CREDIT_high_eff_su2_r5_d6_b01,pets_b01,high,dp_qml,4.0,0.779,0.5,0.6118936564454951,0.2800361598467195,0.0,0.0,1.0,0.6095,0.5678515209777009,0.49321266968325794,0.3875,0.0,0.09329394996166229,2000,3.999786022135617,1e-05,2.870098352432251
PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps8,PETS_CREDIT_high_eff_su2_r5_d6_b01,pets_b01,high,dp_qml,8.0,0.779,0.5,0.5264159875463961,0.22653911416606815,0.0,0.0,1.0,0.641,0.5151429782933219,0.2895927601809955,0.266,0.0,0.07182203233242035,2000,7.999840773522378,1e-05,1.7016515135765076
