name,kind,target_id,structural_cell_id,reference_id,gpu,status,returncode,seconds,log
train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p001,pets_train,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p001,eff_su2_r1_d6,,0,ok,0,257.8132064342499,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p001.log
train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p0001,pets_train,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p0001,eff_su2_r1_d6,,1,ok,0,265.2648322582245,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_l2_wd0p0001.log
train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p0001,pets_train,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p0001,eff_su2_r5_d6,,6,ok,0,303.13513827323914,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p0001.log
train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p001,pets_train,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p001,eff_su2_r5_d6,,5,ok,0,333.4058303833008,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_l2_wd0p001.log
train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps4,pets_train,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps4,eff_su2_r1_d6,,3,ok,0,701.2165067195892,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps4.log
train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps1,pets_train,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps1,eff_su2_r1_d6,,2,ok,0,723.6441648006439,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps1.log
train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps8,pets_train,PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps8,eff_su2_r1_d6,,4,ok,0,725.2548315525055,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_low_eff_su2_r1_d6_b01__tune_v2_watkins_dp_eps8.log
train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps1,pets_train,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps1,eff_su2_r5_d6,,7,ok,0,730.6502380371094,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps1.log
train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps8,pets_train,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps8,eff_su2_r5_d6,,1,ok,0,728.5147242546082,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps8.log
train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps4,pets_train,PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps4,eff_su2_r5_d6,,0,ok,0,756.9740159511566,/home/najeeb/qurift_satML/pets_logs/training/train_PETS_CREDIT_high_eff_su2_r5_d6_b01__tune_v2_watkins_dp_eps4.log
