source_protocol,attack,effective_defense,blocks_or_targets,minimum_nonmembers,maximum_nonmembers,coarsest_empirical_fpr_resolution,fraction_target_0_1_fpr_resolvable,fraction_target_1_fpr_resolvable,fraction_target_5_fpr_resolvable,fraction_target_10_fpr_resolvable
pets_adaptive_defended_lira_v5,global_true_class_log_odds,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,global_true_class_log_odds,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_density_surprise_fixed_variance,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_fixed_variance,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_offline_one_sided_z_fixed_variance,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,dp_qml,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,dynanoise,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,hamp_full,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,hamp_train,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,l2,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,lattice_round,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,logitguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,logitguard_quantized,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,measurementguard_continuous,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,memgq_lattice,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,memgq_lattice_sticky,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,memguard,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_adaptive_defended_lira_v5,lira_online_fixed_variance,none,24,100,100,0.01,0.0,1.0,1.0,1.0
pets_defended_label_only_hsj_v5,label_only_hsj,dp_qml,24,20,20,0.05,0.0,0.0,1.0,1.0
pets_defended_label_only_hsj_v5,label_only_hsj,dynanoise,24,20,20,0.05,0.0,0.0,1.0,1.0
pets_defended_label_only_hsj_v5,label_only_hsj,hamp_train,24,20,20,0.05,0.0,0.0,1.0,1.0
pets_defended_label_only_hsj_v5,label_only_hsj,l2,24,20,20,0.05,0.0,0.0,1.0,1.0
pets_defended_label_only_hsj_v5,label_only_hsj,lattice_round,24,20,20,0.05,0.0,0.0,1.0,1.0
pets_defended_label_only_hsj_v5,label_only_hsj,memgq_lattice_sticky,24,20,20,0.05,0.0,0.0,1.0,1.0
pets_defended_label_only_hsj_v5,label_only_hsj,none,24,20,20,0.05,0.0,0.0,1.0,1.0
pets_defense_evaluation_v5,artifact_confidence_tau0.9,dp_qml,24,1000,1000,0.001,1.0,1.0,1.0,1.0
pets_defense_evaluation_v5,artifact_confidence_tau0.9,dynanoise,24,1000,1000,0.001,1.0,1.0,1.0,1.0
pets_defense_evaluation_v5,artifact_confidence_tau0.9,hamp_train,24,1000,1000,0.001,1.0,1.0,1.0,1.0
pets_defense_evaluation_v5,artifact_confidence_tau0.9,l2,24,1000,1000,0.001,1.0,1.0,1.0,1.0
