effective_defense,structural_role,attack,outcome,blocks,mean,sd_across_blocks
dp_qml,low,artifact_confidence_tau0.9,auc,8,0.50006875,0.03004508811175061
dp_qml,low,artifact_confidence_tau0.9,balanced_accuracy,8,0.502,0.017738175135646184
dp_qml,low,artifact_confidence_tau0.9,tpr_at_0_1_fpr,8,0.005,0.007559289460184545
dp_qml,low,artifact_confidence_tau0.9,tpr_at_1_fpr,8,0.00875,0.0064086994446165575
dp_qml,low,artifact_confidence_tau0.9,tpr_at_5_fpr,8,0.04125,0.019594095320493148
dp_qml,low,artifact_confidence_tau0.9,tpr_at_10_fpr,8,0.0875,0.024928469095164496
dp_qml,low,artifact_loss_tau0.5,auc,8,0.511649375,0.0122133838874467
dp_qml,low,artifact_loss_tau0.5,balanced_accuracy,8,0.5,0.0
dp_qml,low,artifact_loss_tau0.5,tpr_at_0_1_fpr,8,0.005,0.007559289460184545
dp_qml,low,artifact_loss_tau0.5,tpr_at_1_fpr,8,0.00875,0.0064086994446165575
dp_qml,low,artifact_loss_tau0.5,tpr_at_5_fpr,8,0.0475,0.0198206241793023
dp_qml,low,artifact_loss_tau0.5,tpr_at_10_fpr,8,0.09375,0.0238671920665766
dp_qml,low,confidence,auc,8,0.511649375,0.0122133838874467
dp_qml,low,confidence,balanced_accuracy,8,0.5194375,0.012178545245049362
dp_qml,low,confidence,tpr_at_0_1_fpr,8,0.005,0.007559289460184545
dp_qml,low,confidence,tpr_at_1_fpr,8,0.00875,0.0064086994446165575
dp_qml,low,confidence,tpr_at_5_fpr,8,0.0475,0.0198206241793023
dp_qml,low,confidence,tpr_at_10_fpr,8,0.09375,0.0238671920665766
dp_qml,low,correctness,auc,8,0.5104375,0.008653807997473869
dp_qml,low,correctness,balanced_accuracy,8,0.503125,0.008266757872000737
dp_qml,low,correctness,tpr_at_0_1_fpr,8,0.0,0.0
dp_qml,low,correctness,tpr_at_1_fpr,8,0.0,0.0
dp_qml,low,correctness,tpr_at_5_fpr,8,0.0,0.0
dp_qml,low,correctness,tpr_at_10_fpr,8,0.0,0.0
dp_qml,low,entropy,auc,8,0.5000675,0.030044523984056944
dp_qml,low,entropy,balanced_accuracy,8,0.5064374999999999,0.01792930063969512
dp_qml,low,entropy,tpr_at_0_1_fpr,8,0.005,0.007559289460184545
dp_qml,low,entropy,tpr_at_1_fpr,8,0.00875,0.0064086994446165575
dp_qml,low,entropy,tpr_at_5_fpr,8,0.04125,0.019594095320493148
dp_qml,low,entropy,tpr_at_10_fpr,8,0.0875,0.024928469095164496
dp_qml,low,global_true_class_log_odds,auc,8,0.5124062500000001,0.018154583000679795
dp_qml,low,global_true_class_log_odds,balanced_accuracy,8,0.5125,0.017525491637693298
dp_qml,low,global_true_class_log_odds,tpr_at_0_1_fpr,8,0.01,0.014142135623730952
dp_qml,low,global_true_class_log_odds,tpr_at_1_fpr,8,0.0175,0.014880476182856898
dp_qml,low,global_true_class_log_odds,tpr_at_5_fpr,8,0.053750000000000006,0.02722262714308501
dp_qml,low,global_true_class_log_odds,tpr_at_10_fpr,8,0.0975,0.03845219666769934
dp_qml,low,label_only_hsj,auc,8,0.51578125,0.06646003599102678
dp_qml,low,label_only_hsj,balanced_accuracy,8,0.49687499999999996,0.05250425152853269
dp_qml,low,label_only_hsj,tpr_at_0_1_fpr,8,0.0625,0.05175491695067656
dp_qml,low,label_only_hsj,tpr_at_1_fpr,8,0.0625,0.05175491695067656
dp_qml,low,label_only_hsj,tpr_at_5_fpr,8,0.10625000000000001,0.056299581322980165
dp_qml,low,label_only_hsj,tpr_at_10_fpr,8,0.15,0.05345224838248488
dp_qml,low,learned_pv_stats_logistic,auc,8,0.506885,0.01966977376585713
dp_qml,low,learned_pv_stats_logistic,balanced_accuracy,8,0.5068125,0.011442207267081698
dp_qml,low,learned_pv_stats_logistic,tpr_at_0_1_fpr,8,0.0025,0.007071067811865477
dp_qml,low,learned_pv_stats_logistic,tpr_at_1_fpr,8,0.015,0.01603567451474546
dp_qml,low,learned_pv_stats_logistic,tpr_at_5_fpr,8,0.05,0.02203892660077359
dp_qml,low,learned_pv_stats_logistic,tpr_at_10_fpr,8,0.1125,0.03494894235064305
dp_qml,low,lira_offline,auc,8,0.5239875,0.029076619841869013
dp_qml,low,lira_offline,balanced_accuracy,8,0.51,0.03891382420536069
dp_qml,low,lira_offline,tpr_at_0_1_fpr,8,0.0125,0.010350983390135314
dp_qml,low,lira_offline,tpr_at_1_fpr,8,0.018750000000000003,0.014577379737113252
dp_qml,low,lira_offline,tpr_at_5_fpr,8,0.07,0.029277002188455997
dp_qml,low,lira_offline,tpr_at_10_fpr,8,0.135,0.020701966780270628
dp_qml,low,lira_offline_density_surprise,auc,8,0.48736250000000003,0.03771028421683248
dp_qml,low,lira_offline_density_surprise,balanced_accuracy,8,0.49937499999999996,0.02336626078038896
dp_qml,low,lira_offline_density_surprise,tpr_at_0_1_fpr,8,0.01,0.010690449676496974
dp_qml,low,lira_offline_density_surprise,tpr_at_1_fpr,8,0.015,0.009258200997725514
dp_qml,low,lira_offline_density_surprise,tpr_at_5_fpr,8,0.052500000000000005,0.03284161123592185
dp_qml,low,lira_offline_density_surprise,tpr_at_10_fpr,8,0.11624999999999999,0.03583194903195431
dp_qml,low,lira_offline_density_surprise_fixed_variance,auc,8,0.4942,0.03858297181770366
dp_qml,low,lira_offline_density_surprise_fixed_variance,balanced_accuracy,8,0.50125,0.035431019500674045
dp_qml,low,lira_offline_density_surprise_fixed_variance,tpr_at_0_1_fpr,8,0.01625,0.014078859531733589
dp_qml,low,lira_offline_density_surprise_fixed_variance,tpr_at_1_fpr,8,0.02875,0.021671244937540093
dp_qml,low,lira_offline_density_surprise_fixed_variance,tpr_at_5_fpr,8,0.07875,0.033567628964311945
dp_qml,low,lira_offline_density_surprise_fixed_variance,tpr_at_10_fpr,8,0.1275,0.055226805085936304
dp_qml,low,lira_offline_fixed_variance,auc,8,0.5296500000000001,0.02398154052003925
dp_qml,low,lira_offline_fixed_variance,balanced_accuracy,8,0.524375,0.031217840595220116
dp_qml,low,lira_offline_fixed_variance,tpr_at_0_1_fpr,8,0.021249999999999998,0.01807721533549109
dp_qml,low,lira_offline_fixed_variance,tpr_at_1_fpr,8,0.03125,0.021671244937540097
dp_qml,low,lira_offline_fixed_variance,tpr_at_5_fpr,8,0.08,0.019999999999999997
dp_qml,low,lira_offline_fixed_variance,tpr_at_10_fpr,8,0.13874999999999998,0.02850438562747845
dp_qml,low,lira_offline_one_sided_z,auc,8,0.5239875,0.029076619841869013
dp_qml,low,lira_offline_one_sided_z,balanced_accuracy,8,0.51,0.03891382420536069
dp_qml,low,lira_offline_one_sided_z,tpr_at_0_1_fpr,8,0.0125,0.010350983390135314
dp_qml,low,lira_offline_one_sided_z,tpr_at_1_fpr,8,0.018750000000000003,0.014577379737113252
dp_qml,low,lira_offline_one_sided_z,tpr_at_5_fpr,8,0.07,0.029277002188455997
dp_qml,low,lira_offline_one_sided_z,tpr_at_10_fpr,8,0.135,0.020701966780270628
dp_qml,low,lira_offline_one_sided_z_fixed_variance,auc,8,0.5296500000000001,0.02398154052003925
dp_qml,low,lira_offline_one_sided_z_fixed_variance,balanced_accuracy,8,0.524375,0.031217840595220116
dp_qml,low,lira_offline_one_sided_z_fixed_variance,tpr_at_0_1_fpr,8,0.021249999999999998,0.01807721533549109
dp_qml,low,lira_offline_one_sided_z_fixed_variance,tpr_at_1_fpr,8,0.03125,0.021671244937540097
dp_qml,low,lira_offline_one_sided_z_fixed_variance,tpr_at_5_fpr,8,0.08,0.019999999999999997
dp_qml,low,lira_offline_one_sided_z_fixed_variance,tpr_at_10_fpr,8,0.13874999999999998,0.02850438562747845
dp_qml,low,lira_online,auc,8,0.49069999999999997,0.041388024492944486
dp_qml,low,lira_online,balanced_accuracy,8,0.504375,0.021619683491802436
dp_qml,low,lira_online,tpr_at_0_1_fpr,8,0.00875,0.009910312089651149
dp_qml,low,lira_online,tpr_at_1_fpr,8,0.0125,0.010350983390135314
dp_qml,low,lira_online,tpr_at_5_fpr,8,0.06875,0.02748376143938713
dp_qml,low,lira_online,tpr_at_10_fpr,8,0.11249999999999999,0.04590362575159894
dp_qml,low,lira_online_fixed_variance,auc,8,0.493625,0.03003805919163223
