target_id,block_id,structural_role,training_defense,defense,effective_defense,accuracy,balanced_accuracy,mean_entropy,minimum_class_recall,minority_class_label,minority_class_recall,minority_prevalence,nll,predicted_class_0_fraction,predicted_class_1_fraction,predicted_minority_fraction,prediction_collapse,task_average_precision,task_roc_auc
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,petsv2_b01,low,dp_qml,none,dp_qml,0.731,0.6336816547493886,0.281924307346344,0.4592760180995475,1.0,0.4592760180995475,0.221,0.5961536169052124,0.749,0.251,0.251,0.0,0.39906479427698843,0.6857265667202992
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,petsv2_b01,low,hamp_train,hamp_output,hamp_full,0.662,0.6485458210142949,0.669654369354248,0.6244343891402715,1.0,0.6244343891402715,0.221,0.592236340045929,0.607,0.393,0.393,0.0,0.38385033144288216,0.676347155826881
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,petsv2_b01,low,hamp_train,none,hamp_train,0.662,0.6485458210142949,0.6743624806404114,0.6244343891402715,1.0,0.6244343891402715,0.221,0.594814658164978,0.607,0.393,0.393,0.0,0.40213318238298335,0.6927346232262037
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__l2,petsv2_b01,low,l2,none,l2,0.6425,0.6554769137831888,0.4715922474861145,0.6322207958921694,1.0,0.6787330316742082,0.221,0.4874345362186432,0.5635,0.4365,0.4365,0.0,0.40524028937292056,0.6992692801421941
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,low,none,dynanoise,dynanoise,0.221,0.5,0.6876338124275208,0.0,1.0,1.0,0.221,0.6427136063575745,0.0,1.0,1.0,1.0,0.3478899217780437,0.6411580283342724
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,low,none,hamp_output,hamp_output,0.536,0.6130495646466347,0.43555834889411926,0.4749679075738126,1.0,0.751131221719457,0.221,0.5192841291427612,0.425,0.575,0.575,0.0,0.388146647381702,0.6717946781754076
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,low,none,lattice_round,lattice_round,0.5435,0.6186737260323305,0.4431231915950775,0.4839537869062901,1.0,0.753393665158371,0.221,0.4811640679836273,0.4315,0.5685,0.5685,0.0,0.4361768791199912,0.7054626827525716
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,low,none,logitguard_continuous,logitguard_continuous,0.536,0.6130495646466347,0.42374372482299805,0.4749679075738126,1.0,0.751131221719457,0.221,0.5046976208686829,0.425,0.575,0.575,0.0,0.409800364436562,0.6764008852281903
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,low,none,logitguard_quantized,logitguard_quantized,0.536,0.6130495646466347,0.4242439270019531,0.4749679075738126,1.0,0.751131221719457,0.221,0.5045813322067261,0.425,0.575,0.575,0.0,0.39189066626414254,0.6738901248264686
PETSV2_CREDIT_low_eff_su2_r1_d6_b01__none,petsv2_b01,low,none,measurementguard_continuous,measurementguard_continuous,0.536,0.6130495646466347,0.4342426061630249,0.4749679075738126,1.0,0.751131221719457,0.221,0.5001474618911743,0.425,0.575,0.575,0.0,0.39917168915667484,0.6841960048559762
