effective_defense,structural_role,outcome,blocks,mean,sd_across_blocks
dp_qml,low,accuracy,8,0.5393749999999999,0.1173546973921368
dp_qml,low,balanced_accuracy,8,0.5894888591360312,0.04018136002355597
dp_qml,low,task_roc_auc,8,0.6241328873308976,0.04796823235619414
dp_qml,low,task_average_precision,8,0.3133298295230794,0.05174642381956152
dp_qml,low,minority_class_recall,8,0.6792986425339367,0.15079171578602496
dp_qml,low,prediction_collapse,8,0.0,0.0
dp_qml,low,nll,8,0.586989551782608,0.037697993422785216
dp_qml,repetition,accuracy,8,0.6028125,0.08777932456694214
dp_qml,repetition,balanced_accuracy,8,0.6027572984857021,0.021264995704013957
dp_qml,repetition,task_roc_auc,8,0.6522778361863162,0.03187583385327582
dp_qml,repetition,task_average_precision,8,0.3449362988357072,0.04417803793872896
dp_qml,repetition,minority_class_recall,8,0.6026583710407241,0.1264133492821398
dp_qml,repetition,prediction_collapse,8,0.0,0.0
dp_qml,repetition,nll,8,0.6131455972790718,0.054138084753568246
dp_qml,stress,accuracy,8,0.5595000000000001,0.10686974715579176
dp_qml,stress,balanced_accuracy,8,0.5751598086652455,0.02312064621672707
dp_qml,stress,task_roc_auc,8,0.6093308003066933,0.026975772711789976
dp_qml,stress,task_average_precision,8,0.3065317708068008,0.03030403623618162
dp_qml,stress,minority_class_recall,8,0.6032239819004526,0.18477761948712912
dp_qml,stress,prediction_collapse,8,0.0,0.0
dp_qml,stress,nll,8,0.7260509356856346,0.09095176651972336
dynanoise,low,accuracy,8,0.22118749999999998,0.0005303300858899111
dynanoise,low,balanced_accuracy,8,0.5001203465982028,0.0003403915827278095
dynanoise,low,task_roc_auc,8,0.6150040623783828,0.03762354193240532
dynanoise,low,task_average_precision,8,0.3044505913965814,0.049481325453424645
dynanoise,low,minority_class_recall,8,1.0,0.0
dynanoise,low,prediction_collapse,8,0.875,0.3535533905932738
dynanoise,low,nll,8,0.644573912024498,0.009468399792158555
dynanoise,repetition,accuracy,8,0.22231250000000002,0.0027637642549868235
dynanoise,repetition,balanced_accuracy,8,0.5004372774586283,0.0006964115270718062
dynanoise,repetition,task_roc_auc,8,0.641147409516784,0.025927125733162554
dynanoise,repetition,task_average_precision,8,0.33781147629133934,0.036152109832734924
dynanoise,repetition,minority_class_recall,8,0.998868778280543,0.003199578195414231
dynanoise,repetition,prediction_collapse,8,0.625,0.5175491695067657
dynanoise,repetition,nll,8,0.638187400996685,0.00887150387372928
dynanoise,stress,accuracy,8,0.231625,0.027333587397193215
dynanoise,stress,balanced_accuracy,8,0.5036797379166933,0.008735101194305935
dynanoise,stress,task_roc_auc,8,0.6185445757991159,0.02207756961393263
dynanoise,stress,task_average_precision,8,0.3190350985823196,0.021570488489850458
dynanoise,stress,minority_class_recall,8,0.9912330316742082,0.024796731014460366
dynanoise,stress,prediction_collapse,8,0.75,0.4629100498862757
dynanoise,stress,nll,8,0.6375978365540504,0.008317973525393759
hamp_full,low,accuracy,8,0.5878125000000001,0.0958767577600089
hamp_full,low,balanced_accuracy,8,0.6243260227464147,0.03953417490885714
hamp_full,low,task_roc_auc,8,0.6498305164121538,0.04216544797850072
hamp_full,low,task_average_precision,8,0.33807484681616246,0.05465112421653825
hamp_full,low,minority_class_recall,8,0.689762443438914,0.10374472388971574
hamp_full,low,prediction_collapse,8,0.0,0.0
hamp_full,low,nll,8,0.6066653206944466,0.010394235061166083
hamp_full,repetition,accuracy,8,0.6210625000000001,0.08732796864202702
hamp_full,repetition,balanced_accuracy,8,0.6156864802304847,0.022549210757097
hamp_full,repetition,task_roc_auc,8,0.6466493183626764,0.029012460741859848
