block_id,fm_kind,depth,contrast,trainable_parameter_difference,quantum_gate_count_difference
credit_b01,eff_su2,2,reps 5 - reps 1,0.0,68.0
credit_b01,eff_su2,6,reps 5 - reps 1,0.0,68.0
credit_b01,z,2,reps 5 - reps 1,0.0,48.0
credit_b01,z,6,reps 5 - reps 1,0.0,48.0
credit_b01,zz,2,reps 5 - reps 1,0.0,108.0
credit_b01,zz,6,reps 5 - reps 1,0.0,108.0
credit_b02,eff_su2,2,reps 5 - reps 1,0.0,68.0
credit_b02,eff_su2,6,reps 5 - reps 1,0.0,68.0
credit_b02,z,2,reps 5 - reps 1,0.0,48.0
credit_b02,z,6,reps 5 - reps 1,0.0,48.0
credit_b02,zz,2,reps 5 - reps 1,0.0,108.0
credit_b02,zz,6,reps 5 - reps 1,0.0,108.0
credit_b03,eff_su2,2,reps 5 - reps 1,0.0,68.0
credit_b03,eff_su2,6,reps 5 - reps 1,0.0,68.0
credit_b03,z,2,reps 5 - reps 1,0.0,48.0
credit_b03,z,6,reps 5 - reps 1,0.0,48.0
credit_b03,zz,2,reps 5 - reps 1,0.0,108.0
credit_b03,zz,6,reps 5 - reps 1,0.0,108.0
credit_b04,eff_su2,2,reps 5 - reps 1,0.0,68.0
credit_b04,eff_su2,6,reps 5 - reps 1,0.0,68.0
credit_b04,z,2,reps 5 - reps 1,0.0,48.0
credit_b04,z,6,reps 5 - reps 1,0.0,48.0
credit_b04,zz,2,reps 5 - reps 1,0.0,108.0
credit_b04,zz,6,reps 5 - reps 1,0.0,108.0
credit_b05,eff_su2,2,reps 5 - reps 1,0.0,68.0
credit_b05,eff_su2,6,reps 5 - reps 1,0.0,68.0
credit_b05,z,2,reps 5 - reps 1,0.0,48.0
credit_b05,z,6,reps 5 - reps 1,0.0,48.0
credit_b05,zz,2,reps 5 - reps 1,0.0,108.0
credit_b05,zz,6,reps 5 - reps 1,0.0,108.0
credit_b06,eff_su2,2,reps 5 - reps 1,0.0,68.0
credit_b06,eff_su2,6,reps 5 - reps 1,0.0,68.0
credit_b06,z,2,reps 5 - reps 1,0.0,48.0
credit_b06,z,6,reps 5 - reps 1,0.0,48.0
credit_b06,zz,2,reps 5 - reps 1,0.0,108.0
credit_b06,zz,6,reps 5 - reps 1,0.0,108.0
credit_b07,eff_su2,2,reps 5 - reps 1,0.0,68.0
credit_b07,eff_su2,6,reps 5 - reps 1,0.0,68.0
credit_b07,z,2,reps 5 - reps 1,0.0,48.0
credit_b07,z,6,reps 5 - reps 1,0.0,48.0
credit_b07,zz,2,reps 5 - reps 1,0.0,108.0
credit_b07,zz,6,reps 5 - reps 1,0.0,108.0
credit_b08,eff_su2,2,reps 5 - reps 1,0.0,68.0
credit_b08,eff_su2,6,reps 5 - reps 1,0.0,68.0
credit_b08,z,2,reps 5 - reps 1,0.0,48.0
credit_b08,z,6,reps 5 - reps 1,0.0,48.0
credit_b08,zz,2,reps 5 - reps 1,0.0,108.0
credit_b08,zz,6,reps 5 - reps 1,0.0,108.0
