name,kind,target_id,structural_cell_id,reference_id,gpu,status,returncode,seconds,log
label_only_CREDIT_QNN_z_r1_d2_b01,label_only_boundary,CREDIT_QNN_z_r1_d2_b01,z_r1_d2,,0,ok,0,553.9586355686188,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_z_r1_d2_b01.log
label_only_CREDIT_QNN_zz_r1_d2_b01,label_only_boundary,CREDIT_QNN_zz_r1_d2_b01,zz_r1_d2,,4,ok,0,790.0342693328857,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_zz_r1_d2_b01.log
label_only_CREDIT_QNN_eff_su2_r1_d2_b01,label_only_boundary,CREDIT_QNN_eff_su2_r1_d2_b01,eff_su2_r1_d2,,0,ok,0,568.5945880413055,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_eff_su2_r1_d2_b01.log
label_only_CREDIT_QNN_z_r1_d6_b01,label_only_boundary,CREDIT_QNN_z_r1_d6_b01,z_r1_d6,,1,ok,0,1316.154271364212,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_z_r1_d6_b01.log
label_only_CREDIT_QNN_z_r5_d2_b01,label_only_boundary,CREDIT_QNN_z_r5_d2_b01,z_r5_d2,,2,ok,0,1327.8380119800568,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_z_r5_d2_b01.log
label_only_CREDIT_QNN_zz_r1_d6_b01,label_only_boundary,CREDIT_QNN_zz_r1_d6_b01,zz_r1_d6,,5,ok,0,1444.0778436660767,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_zz_r1_d6_b01.log
label_only_CREDIT_QNN_zz_r5_d2_b01,label_only_boundary,CREDIT_QNN_zz_r5_d2_b01,zz_r5_d2,,6,ok,0,1665.297889471054,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_zz_r5_d2_b01.log
label_only_CREDIT_QNN_z_r1_d2_b02,label_only_boundary,CREDIT_QNN_z_r1_d2_b02,z_r1_d2,,2,ok,0,595.4969003200531,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_z_r1_d2_b02.log
label_only_CREDIT_QNN_z_r5_d6_b01,label_only_boundary,CREDIT_QNN_z_r5_d6_b01,z_r5_d6,,3,ok,0,1964.513623714447,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_z_r5_d6_b01.log
label_only_CREDIT_QNN_eff_su2_r1_d6_b01,label_only_boundary,CREDIT_QNN_eff_su2_r1_d6_b01,eff_su2_r1_d6,,4,ok,0,1373.8358612060547,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_eff_su2_r1_d6_b01.log
label_only_CREDIT_QNN_eff_su2_r5_d2_b01,label_only_boundary,CREDIT_QNN_eff_su2_r5_d2_b01,eff_su2_r5_d2,,0,ok,0,1161.5051710605621,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_eff_su2_r5_d2_b01.log
label_only_CREDIT_QNN_zz_r5_d6_b01,label_only_boundary,CREDIT_QNN_zz_r5_d6_b01,zz_r5_d6,,7,ok,0,2328.9064185619354,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_zz_r5_d6_b01.log
label_only_CREDIT_QNN_zz_r1_d2_b02,label_only_boundary,CREDIT_QNN_zz_r1_d2_b02,zz_r1_d2,,3,ok,0,734.2565014362335,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_zz_r1_d2_b02.log
label_only_CREDIT_QNN_z_r5_d2_b02,label_only_boundary,CREDIT_QNN_z_r5_d2_b02,z_r5_d2,,6,ok,0,1037.2595624923706,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_z_r5_d2_b02.log
label_only_CREDIT_QNN_z_r1_d6_b02,label_only_boundary,CREDIT_QNN_z_r1_d6_b02,z_r1_d6,,5,ok,0,1355.600213766098,/home/najeeb/qurift_satML/satml_results/credit_factorial/label_only/logs/label_only_CREDIT_QNN_z_r1_d6_b02.log
