target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
CREDIT_QNN_eff_su2_r1_d2_b01,satml_credit_factorial,credit_default,QNN,-1,30261,20261,2026,"1=member,0=nonmember",6,2,0.795,0.7835,0.011500000000000066,0.9090909090909091,0.5745,0.0,0.0,0.0,0.0,0.0,0.075,0.15,optuna,0.5256640625,5,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d2_b01/attack_results.json
CREDIT_QNN_eff_su2_r1_d2_b02,satml_credit_factorial,credit_default,QNN,-1,30262,20262,2026,"1=member,0=nonmember",6,2,0.805,0.768,0.03700000000000003,0.9090909090909091,0.4784375,0.0,0.0,0.0,0.0,0.0,0.025,0.1,optuna,0.57822265625,18,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d2_b02/attack_results.json
CREDIT_QNN_eff_su2_r1_d2_b03,satml_credit_factorial,credit_default,QNN,-1,30263,20263,2026,"1=member,0=nonmember",6,2,0.78,0.7785,0.0015000000000000568,0.9090909090909091,0.537125,0.0,0.0,0.0,0.025,0.025,0.025,0.075,optuna,0.53802734375,6,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d2_b03/attack_results.json
CREDIT_QNN_eff_su2_r1_d2_b04,satml_credit_factorial,credit_default,QNN,-1,30264,20264,2026,"1=member,0=nonmember",6,2,0.76,0.773,-0.013000000000000012,0.9090909090909091,0.44575000000000004,0.0,0.0,0.0,0.0,0.025,0.025,0.05,optuna,0.61650390625,7,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d2_b04/attack_results.json
CREDIT_QNN_eff_su2_r1_d2_b05,satml_credit_factorial,credit_default,QNN,-1,30265,20265,2026,"1=member,0=nonmember",6,2,0.78,0.7745,0.00550000000000006,0.9090909090909091,0.4681875,0.0,0.0,0.0,0.0,0.0,0.075,0.1,optuna,0.5628320312499999,6,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d2_b05/attack_results.json
CREDIT_QNN_eff_su2_r1_d2_b06,satml_credit_factorial,credit_default,QNN,-1,30266,20266,2026,"1=member,0=nonmember",6,2,0.83,0.791,0.038999999999999924,0.9090909090909091,0.47856250000000006,0.0,0.0,0.0,0.0,0.0,0.025,0.1,optuna,0.5477929687499999,8,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d2_b06/attack_results.json
CREDIT_QNN_eff_su2_r1_d2_b07,satml_credit_factorial,credit_default,QNN,-1,30267,20267,2026,"1=member,0=nonmember",6,2,0.78,0.779,0.0010000000000000009,0.9090909090909091,0.541625,0.0,0.0,0.0,0.025,0.025,0.05,0.15,optuna,0.526806640625,8,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d2_b07/attack_results.json
CREDIT_QNN_eff_su2_r1_d2_b08,satml_credit_factorial,credit_default,QNN,-1,30268,20268,2026,"1=member,0=nonmember",6,2,0.78,0.779,0.0010000000000000009,0.9090909090909091,0.5134375,0.0,0.0,0.0,0.0,0.025,0.075,0.075,optuna,0.55888671875,14,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d2_b08/attack_results.json
CREDIT_QNN_eff_su2_r1_d6_b01,satml_credit_factorial,credit_default,QNN,-1,30261,20261,2026,"1=member,0=nonmember",6,6,0.8,0.785,0.015000000000000013,0.9090909090909091,0.49575,0.0,0.0,0.0,0.0,0.0,0.025,0.1,optuna,0.54126953125,14,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d6_b01/attack_results.json
CREDIT_QNN_eff_su2_r1_d6_b02,satml_credit_factorial,credit_default,QNN,-1,30262,20262,2026,"1=member,0=nonmember",6,6,0.82,0.774,0.04599999999999993,0.9090909090909091,0.459125,0.0,0.0,0.0,0.0,0.0,0.0,0.05,optuna,0.57021484375,2,satml_results/credit_factorial/learned_mia/CREDIT_QNN_eff_su2_r1_d6_b02/attack_results.json
