target_id,experiment,dataset,architecture,role,seed,model_seed,data_seed,structural_cell_id,fm_kind,reps,depth,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,num_reference_models,reference_epochs,reference_candidate_protocol,score_statistic,ci_method,sample_score_file,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds
CREDIT_QNN_eff_su2_r1_d2_b01,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30261,30261,20261,eff_su2_r1_d2_wd0_blockcredit_b01,eff_su2,1,2,lira_online,0.5181,0.461549375,0.5747025,10000,0.045,0.04,0.105,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b01.npz,0.475,-0.05,0.63,0.68,-0.3797874913698174,5
CREDIT_QNN_eff_su2_r1_d2_b01,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30261,30261,20261,eff_su2_r1_d2_wd0_blockcredit_b01,eff_su2,1,2,lira_online_fixed_variance,0.5315,0.474274375,0.587225,10000,0.085,0.05,0.155,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b01.npz,0.5,0.0,0.48,0.48,-0.0310022968081838,5
CREDIT_QNN_eff_su2_r1_d2_b01,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30261,30261,20261,eff_su2_r1_d2_wd0_blockcredit_b01,eff_su2,1,2,lira_offline,0.49075,0.434348125,0.547450625,10000,0.045,0.04,0.095,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b01.npz,0.4925,-0.015,0.435,0.45,1.439454553756474,5
CREDIT_QNN_eff_su2_r1_d2_b01,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30261,30261,20261,eff_su2_r1_d2_wd0_blockcredit_b01,eff_su2,1,2,lira_offline_fixed_variance,0.504275,0.44759875,0.5598518749999999,10000,0.105,0.045,0.145,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b01.npz,0.5025000000000001,0.005,0.215,0.21,2.093702909913531,5
CREDIT_QNN_eff_su2_r1_d2_b01,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30261,30261,20261,eff_su2_r1_d2_wd0_blockcredit_b01,eff_su2,1,2,global_true_class_log_odds,0.52035,0.463625,0.5760512499999999,10000,0.045,0.045,0.085,0.095,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b01.npz,0.525,0.0499999999999999,0.845,0.795,-0.5953752735215191,5
CREDIT_QNN_eff_su2_r1_d2_b02,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30262,30262,20262,eff_su2_r1_d2_wd0_blockcredit_b02,eff_su2,1,2,lira_online,0.5199750000000001,0.46372375,0.57565,10000,0.08,0.05,0.125,0.09,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b02.npz,0.4975,-0.005,0.64,0.645,-0.1257371227249866,5
CREDIT_QNN_eff_su2_r1_d2_b02,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30262,30262,20262,eff_su2_r1_d2_wd0_blockcredit_b02,eff_su2,1,2,lira_online_fixed_variance,0.49755,0.441799375,0.5540762499999999,10000,0.05,0.045,0.09,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b02.npz,0.4975,-0.005,0.795,0.8,-1.6433089443470963,5
CREDIT_QNN_eff_su2_r1_d2_b02,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30262,30262,20262,eff_su2_r1_d2_wd0_blockcredit_b02,eff_su2,1,2,lira_offline,0.52615,0.470324375,0.58372625,10000,0.035,0.05,0.12,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b02.npz,0.5275,0.0549999999999999,0.815,0.76,-0.4211837046102145,5
CREDIT_QNN_eff_su2_r1_d2_b02,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30262,30262,20262,eff_su2_r1_d2_wd0_blockcredit_b02,eff_su2,1,2,lira_offline_fixed_variance,0.514175,0.45794875,0.5697012499999999,10000,0.04,0.03,0.075,0.09,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b02.npz,0.54,0.08,0.66,0.58,0.0780331707742919,5
CREDIT_QNN_eff_su2_r1_d2_b02,satml_credit_factorial,credit_default,qnn,eff_su2_r1_d2,30262,30262,20262,eff_su2_r1_d2_wd0_blockcredit_b02,eff_su2,1,2,global_true_class_log_odds,0.53805,0.481749375,0.593501875,10000,0.06,0.05,0.145,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/qurift_satML/satml_results/credit_factorial/lira/sample_scores/CREDIT_QNN_eff_su2_r1_d2_b02.npz,0.4825,-0.0349999999999999,0.335,0.37,1.708164722345269,5
