outcome,attack,factor,contrast,mean_difference,sd_across_blocks,ci95_low,ci95_high,n_independent_blocks,bootstrap_replicates,inference_unit,paired_sign_flip_pvalue,holm_pvalue,multiplicity_family
train_acc,target_model,repetitions,5 - 1,0.033854169150193535,0.019699816376796592,0.022395834295699992,0.04812760902568695,8,10000,paired split/init block,0.0078125,0.0390625,5 prespecified estimable contrasts within outcome × attack
train_acc,target_model,depth,6 - 2,0.013020835816860199,0.007304839171584986,0.008124995976686478,0.017500005662441254,8,10000,paired split/init block,0.015625,0.046875,5 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,Z - EfficientSU2,0.006562506780028343,0.009228021831965291,0.0010937508195638657,0.012968765571713448,8,10000,paired split/init block,0.109375,0.109375,5 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,ZZ - EfficientSU2,0.01453125849366188,0.0073173443567749194,0.009687501937150955,0.01921875588595867,8,10000,paired split/init block,0.0078125,0.0390625,5 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,ZZ - Z,0.007968751713633537,0.007468309653058128,0.003437500447034836,0.012812500819563866,8,10000,paired split/init block,0.03125,0.0625,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,repetitions,5 - 1,-0.015416654447714487,0.010792037765322976,-0.022291649132966995,-0.008333324113239846,8,10000,paired split/init block,0.015625,0.078125,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,depth,6 - 2,0.0020833387970924373,0.009748829725970328,-0.0038541605385641257,0.008645839989185333,8,10000,paired split/init block,0.546875,0.65625,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,Z - EfficientSU2,-0.01093750074505806,0.007462704726696344,-0.01562500186264515,-0.005937501788139343,8,10000,paired split/init block,0.015625,0.078125,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,ZZ - EfficientSU2,-0.005000000819563866,0.01122018958281869,-0.011718742549419403,0.0028124991804361343,8,10000,paired split/init block,0.21875,0.65625,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,ZZ - Z,0.005937499925494194,0.011644855205648237,-0.0006249994039535522,0.014375001192092896,8,10000,paired split/init block,0.21875,0.65625,5 prespecified estimable contrasts within outcome × attack
test_acc,target_model,repetitions,5 - 1,-0.015687497953573864,0.009247561566791558,-0.021833329151074093,-0.009958329300085705,8,10000,paired split/init block,0.0078125,0.0390625,5 prespecified estimable contrasts within outcome × attack
test_acc,target_model,depth,6 - 2,0.0016249964634577436,0.0030085809050742346,-0.00010416532556215918,0.0036874947448571524,8,10000,paired split/init block,0.1875,0.375,5 prespecified estimable contrasts within outcome × attack
test_acc,target_model,feature_map,Z - EfficientSU2,-0.007203124463558197,0.0038550429747826187,-0.009624995291233063,-0.004703123075887561,8,10000,paired split/init block,0.0078125,0.0390625,5 prespecified estimable contrasts within outcome × attack
