outcome,attack,fm_kind,reps,contrast,block_id,block_effect
auc,loss,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b01,0.01293500000000014
auc,loss,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b02,-0.020319999999999894
auc,loss,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b03,-0.010204999999999909
auc,loss,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b04,0.012532500000000113
auc,loss,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b05,-0.0007349999999999302
auc,loss,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b01,0.03673750000000009
auc,loss,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b02,-0.0008749999999999591
auc,loss,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b03,0.023467500000000086
auc,loss,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b04,0.0038162500000000765
auc,loss,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b05,0.014065000000000105
auc,loss,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b01,-0.008146250000000022
auc,loss,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b02,-0.0063149999999999595
auc,loss,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b03,-0.0070387500000000935
auc,loss,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b04,-0.03638000000000008
auc,loss,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b05,-0.019407500000000022
auc,loss,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b01,0.021537499999999876
auc,loss,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b02,-0.013882499999999909
auc,loss,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b03,0.03123750000000003
auc,loss,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b04,0.014357499999999912
auc,loss,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b05,0.04680249999999997
auc,loss,z,1,alpha 0.5 - alpha 1.0,credit_b01,-0.011752499999999944
auc,loss,z,1,alpha 0.5 - alpha 1.0,credit_b02,-0.00915749999999993
auc,loss,z,1,alpha 0.5 - alpha 1.0,credit_b03,-0.023067499999999908
auc,loss,z,1,alpha 0.5 - alpha 1.0,credit_b04,-0.002978749999999919
auc,loss,z,1,alpha 0.5 - alpha 1.0,credit_b05,-0.008054999999999923
auc,loss,z,1,alpha 2.0 - alpha 1.0,credit_b01,0.022527500000000034
auc,loss,z,1,alpha 2.0 - alpha 1.0,credit_b02,0.01614249999999995
auc,loss,z,1,alpha 2.0 - alpha 1.0,credit_b03,0.014935000000000032
auc,loss,z,1,alpha 2.0 - alpha 1.0,credit_b04,0.016462500000000047
auc,loss,z,1,alpha 2.0 - alpha 1.0,credit_b05,0.0050200000000000244
auc,loss,z,5,alpha 0.5 - alpha 1.0,credit_b01,-0.005815000000000015
auc,loss,z,5,alpha 0.5 - alpha 1.0,credit_b02,0.0021250000000000435
auc,loss,z,5,alpha 0.5 - alpha 1.0,credit_b03,-0.027819999999999956
auc,loss,z,5,alpha 0.5 - alpha 1.0,credit_b04,-0.03424875000000005
auc,loss,z,5,alpha 0.5 - alpha 1.0,credit_b05,-0.039144999999999985
auc,loss,z,5,alpha 2.0 - alpha 1.0,credit_b01,-0.005364999999999953
auc,loss,z,5,alpha 2.0 - alpha 1.0,credit_b02,-0.0031449999999999534
auc,loss,z,5,alpha 2.0 - alpha 1.0,credit_b03,-0.00894499999999998
auc,loss,z,5,alpha 2.0 - alpha 1.0,credit_b04,-0.006847500000000006
auc,loss,z,5,alpha 2.0 - alpha 1.0,credit_b05,0.004727499999999996
auc,loss,zz,1,alpha 0.5 - alpha 1.0,credit_b01,-0.003110000000000057
auc,loss,zz,1,alpha 0.5 - alpha 1.0,credit_b02,-0.008214999999999861
auc,loss,zz,1,alpha 0.5 - alpha 1.0,credit_b03,-0.024937500000000057
auc,loss,zz,1,alpha 0.5 - alpha 1.0,credit_b04,-0.021235000000000115
auc,loss,zz,1,alpha 0.5 - alpha 1.0,credit_b05,-0.012594999999999912
auc,loss,zz,1,alpha 2.0 - alpha 1.0,credit_b01,0.03183250000000004
auc,loss,zz,1,alpha 2.0 - alpha 1.0,credit_b02,0.025985000000000036
auc,loss,zz,1,alpha 2.0 - alpha 1.0,credit_b03,0.005319999999999991
auc,loss,zz,1,alpha 2.0 - alpha 1.0,credit_b04,0.014787499999999953
auc,loss,zz,1,alpha 2.0 - alpha 1.0,credit_b05,0.012870000000000048
auc,loss,zz,5,alpha 0.5 - alpha 1.0,credit_b01,-0.008047499999999874
auc,loss,zz,5,alpha 0.5 - alpha 1.0,credit_b02,0.002894999999999981
auc,loss,zz,5,alpha 0.5 - alpha 1.0,credit_b03,-0.04779499999999992
auc,loss,zz,5,alpha 0.5 - alpha 1.0,credit_b04,-0.012338749999999954
auc,loss,zz,5,alpha 0.5 - alpha 1.0,credit_b05,-0.028152499999999914
auc,loss,zz,5,alpha 2.0 - alpha 1.0,credit_b01,0.012302499999999994
auc,loss,zz,5,alpha 2.0 - alpha 1.0,credit_b02,-0.019232500000000097
auc,loss,zz,5,alpha 2.0 - alpha 1.0,credit_b03,-0.006642499999999996
auc,loss,zz,5,alpha 2.0 - alpha 1.0,credit_b04,0.01586125000000005
auc,loss,zz,5,alpha 2.0 - alpha 1.0,credit_b05,-0.006447499999999939
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b01,-0.007000029087066701
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b02,-0.026499986648559605
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b03,-0.0004999637603760002
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b04,0.0265000462532042
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,credit_b05,0.0024999976158143
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b01,0.0264999866485595
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b02,0.017499983310699498
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b03,0.030500054359435997
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b04,0.041999995708465396
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,credit_b05,0.0160000920295716
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b01,-0.0359999537467957
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b02,-0.0379999876022339
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b03,-0.0369999408721923
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b04,-0.0945000052452087
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,credit_b05,-0.027999997138977
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b01,0.0379999876022338
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,credit_b02,-0.010499954223632799
