outcome,attack,fm_kind,reps,contrast,mean_difference,sd_across_blocks,ci95_low,ci95_high,n_independent_blocks,inference_unit
auc,loss,eff_su2,1,alpha 0.5 - alpha 1.0,-0.0011584999999998957,0.014450361760177506,-0.012356999999999906,0.010040000000000115,5,paired split/init block
auc,loss,eff_su2,1,alpha 2.0 - alpha 1.0,0.01544225000000008,0.015175684920704582,0.003989500000000068,0.027499250000000086,5,paired split/init block
auc,loss,eff_su2,5,alpha 0.5 - alpha 1.0,-0.015457500000000035,0.012857571121959645,-0.026972500000000045,-0.0069707500000000255,5,paired split/init block
auc,loss,eff_su2,5,alpha 2.0 - alpha 1.0,0.020010499999999976,0.022510444131558095,0.0022255000000000356,0.03720049999999997,5,paired split/init block
auc,loss,z,1,alpha 0.5 - alpha 1.0,-0.011002249999999925,0.00745987717727309,-0.017503499999999915,-0.005748749999999925,5,paired split/init block
auc,loss,z,1,alpha 2.0 - alpha 1.0,0.015017500000000017,0.006318832220038763,0.009533000000000014,0.019732000000000017,5,paired split/init block
auc,loss,z,5,alpha 0.5 - alpha 1.0,-0.020980749999999992,0.0181427037590184,-0.03492150000000001,-0.006737749999999987,5,paired split/init block
auc,loss,z,5,alpha 2.0 - alpha 1.0,-0.003914999999999979,0.005274672086964262,-0.007389999999999985,0.00041850000000001055,5,paired split/init block
auc,loss,zz,1,alpha 0.5 - alpha 1.0,-0.0140185,0.00902780108885884,-0.020988000000000052,-0.007048999999999949,5,paired split/init block
auc,loss,zz,1,alpha 2.0 - alpha 1.0,0.018159000000000015,0.010634746500269784,0.010233500000000006,0.026530000000000033,5,paired split/init block
auc,loss,zz,5,alpha 0.5 - alpha 1.0,-0.018687749999999937,0.019724054563844094,-0.03591699999999991,-0.004528749999999948,5,paired split/init block
auc,loss,zz,5,alpha 2.0 - alpha 1.0,-0.0008317499999999977,0.014620651800193488,-0.011678500000000036,0.00997600000000003,5,paired split/init block
gap,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,-0.0009999871253967602,0.019072245748741477,-0.015499985218048105,0.014400029182433983,5,paired split/init block
gap,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,0.026500022411346396,0.010577082178390563,0.01870002746582034,0.03480000495910633,5,paired split/init block
gap,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,-0.04669997692108152,0.02701297355469472,-0.07129998207092283,-0.03179998397827144,5,paired split/init block
gap,target_model,eff_su2,5,alpha 2.0 - alpha 1.0,0.0225000023841858,0.026872367836465048,0.0012000203132629395,0.042899990081787104,5,paired split/init block
gap,target_model,z,1,alpha 0.5 - alpha 1.0,-0.008800017833709742,0.015405340881321386,-0.021300017833709682,0.003199970722198419,5,paired split/init block
gap,target_model,z,1,alpha 2.0 - alpha 1.0,0.032999992370605434,0.018947309339263682,0.019599986076354978,0.04840002059936518,5,paired split/init block
gap,target_model,z,5,alpha 0.5 - alpha 1.0,-0.02819999456405642,0.031170088795518292,-0.05129998922348026,-0.0024000048637390415,5,paired split/init block
gap,target_model,z,5,alpha 2.0 - alpha 1.0,0.007299983501434337,0.025733225933811256,-0.014099991321563702,0.025699973106384277,5,paired split/init block
gap,target_model,zz,1,alpha 0.5 - alpha 1.0,-0.02029997110366818,0.01467395434774075,-0.031199967861175522,-0.009399974346160838,5,paired split/init block
gap,target_model,zz,1,alpha 2.0 - alpha 1.0,0.024000036716461243,0.025906104035672676,0.0012000083923340177,0.042600047588348455,5,paired split/init block
gap,target_model,zz,5,alpha 0.5 - alpha 1.0,-0.035599982738494865,0.03979697035623761,-0.06919996738433834,-0.00769999027252196,5,paired split/init block
gap,target_model,zz,5,alpha 2.0 - alpha 1.0,0.014800024032592795,0.03469439094490538,-0.012699985504150404,0.042300033569335996,5,paired split/init block
test_acc,target_model,eff_su2,1,alpha 0.5 - alpha 1.0,-1.1920928955078126e-08,0.0055901739421745904,-0.004600012302398681,0.004100000858306885,5,paired split/init block
test_acc,target_model,eff_su2,1,alpha 2.0 - alpha 1.0,-0.005500006675720215,0.010277412892806379,-0.013100016117095947,0.0031000018119812013,5,paired split/init block
test_acc,target_model,eff_su2,5,alpha 0.5 - alpha 1.0,0.008699989318847657,0.006888406430175803,0.0037999868392944334,0.014499998092651368,5,paired split/init block
