outcome,attack,factor,contrast,mean_difference,sd_across_blocks,ci95_low,ci95_high,n_independent_blocks,bootstrap_replicates,inference_unit,paired_sign_flip_pvalue,holm_pvalue,multiplicity_family
train_acc,target_model,repetitions,5 - 1,-0.09349999427795411,0.010919526736810148,-0.09933332800865172,-0.08366666237513225,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_acc,target_model,depth,6 - 2,0.1384999990463257,0.015716677212417898,0.12649999658266708,0.15050000150998435,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,Z - EfficientSU2,-0.05925000607967377,0.011943880894804628,-0.06925001144409176,-0.05075000524520874,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,ZZ - EfficientSU2,-0.11249999999999998,0.013749995014887504,-0.12449999153614041,-0.10425000190734861,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,ZZ - Z,-0.053249993920326213,0.023294980739675807,-0.07099998593330381,-0.03649999797344206,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,repetitions,5 - 1,-0.21216666599114736,0.01198378386041918,-0.22166666487852732,-0.2026666671037674,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,depth,6 - 2,0.018166668216387433,0.011731969668690084,0.011166661977767948,0.028333345055580134,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,Z - EfficientSU2,-0.12574999928474426,0.021334388801720797,-0.14299999475479125,-0.1100000023841858,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,ZZ - EfficientSU2,-0.2904999926686287,0.02609477173780968,-0.31049998849630356,-0.2697500020265579,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,ZZ - Z,-0.16474999338388444,0.04316935330627597,-0.195499986410141,-0.12825000882148743,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_acc,target_model,repetitions,5 - 1,-0.20931666692097983,0.014957859459840652,-0.22281666497389474,-0.2004333347082138,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_acc,target_model,depth,6 - 2,0.02131665746370951,0.005458314734277394,0.017399980624516802,0.025950002670288085,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_acc,target_model,feature_map,Z - EfficientSU2,-0.12587499618530273,0.009425286414027985,-0.13349999487400055,-0.11922499239444732,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_acc,target_model,feature_map,ZZ - EfficientSU2,-0.2859249979257584,0.01319463977287848,-0.2971999943256378,-0.2773999974131584,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_acc,target_model,feature_map,ZZ - Z,-0.16005000174045564,0.014044191829397416,-0.1713000074028969,-0.14934998899698257,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
gap,target_model,repetitions,5 - 1,0.11581667264302573,0.015449778822300824,0.10440001289049786,0.1287000060081482,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
gap,target_model,depth,6 - 2,0.11718334158261619,0.014842737917297903,0.10503334204355877,0.12808334430058801,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
gap,target_model,feature_map,Z - EfficientSU2,0.06662499010562897,0.007390336894536205,0.061074993014335596,0.07309998869895937,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
gap,target_model,feature_map,ZZ - EfficientSU2,0.17342499792575836,0.007748288277981002,0.1675499975681305,0.17930937331169833,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
gap,target_model,feature_map,ZZ - Z,0.1068000078201294,0.013319560641249084,0.09692500829696656,0.11804998815059664,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_loss,target_model,repetitions,5 - 1,0.22530686979492506,0.022819679052991693,0.20511086905996004,0.2390541131297747,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_loss,target_model,depth,6 - 2,-0.300445772955815,0.0404281610918118,-0.33463528578480084,-0.27425011297067015,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_loss,target_model,feature_map,Z - EfficientSU2,0.1470708977431059,0.046693020337183956,0.11365569159388544,0.18810083158314228,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_loss,target_model,feature_map,ZZ - EfficientSU2,0.27442101277410985,0.024816417327871276,0.25873407870531084,0.29640861116349704,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
train_loss,target_model,feature_map,ZZ - Z,0.127350115031004,0.05053676048272697,0.0873092763125897,0.16582086309790617,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,repetitions,5 - 1,0.52497099339962,0.041375545788356526,0.487421452999115,0.5504217545191447,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,depth,6 - 2,0.09545182486375174,0.037770575105543595,0.06318812469641369,0.12247676948706313,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,feature_map,Z - EfficientSU2,0.38414606899023057,0.064991959989582,0.3353617131710053,0.4377497538924217,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,feature_map,ZZ - EfficientSU2,0.7608191713690757,0.061232331163944956,0.7135213032364845,0.808117039501667,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,feature_map,ZZ - Z,0.3766731023788452,0.11817398220168075,0.2921134024858475,0.4790163695812225,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_loss,target_model,repetitions,5 - 1,0.5371970305840174,0.030435278343540415,0.5147616505622863,0.5596324106057484,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_loss,target_model,depth,6 - 2,0.09343823095162707,0.03328631024963394,0.06422900756200152,0.11445498665173848,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_loss,target_model,feature_map,Z - EfficientSU2,0.4271447226405144,0.014979293718426677,0.4164149358868599,0.4390166327357292,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_loss,target_model,feature_map,ZZ - EfficientSU2,0.7958893343806267,0.03885359921221753,0.766185362637043,0.8269614994525909,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
test_loss,target_model,feature_map,ZZ - Z,0.36874461174011236,0.04113220616743641,0.33698520362377166,0.40041697919368735,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
loss_gap,target_model,repetitions,5 - 1,0.3118901607890924,0.045418993032390095,0.27570753743251164,0.3480727841456731,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
loss_gap,target_model,depth,6 - 2,0.39388400390744216,0.05949817781019705,0.34222930868466694,0.43903927480181065,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
loss_gap,target_model,feature_map,Z - EfficientSU2,0.2800738248974085,0.059751500379515154,0.2342091988772154,0.323822820931673,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
loss_gap,target_model,feature_map,ZZ - EfficientSU2,0.5214683216065168,0.02919104209139537,0.5016406517475843,0.545541163533926,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
loss_gap,target_model,feature_map,ZZ - Z,0.24139449670910834,0.05602542008823574,0.19258801788091656,0.2837562933564186,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
auc,confidence,repetitions,5 - 1,0.00030466666666665644,0.008573133617394613,-0.006130139583333337,0.006666333333333334,5,10000,paired split/init block,0.9375,0.9375,5 prespecified estimable contrasts within outcome × attack
auc,confidence,depth,6 - 2,0.03667750000000001,0.012680606379298322,0.028033916666666676,0.047111499999999994,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
auc,confidence,feature_map,Z - EfficientSU2,-0.016080812499999986,0.010998922693606023,-0.02367856249999998,-0.0064896250000000075,5,10000,paired split/init block,0.125,0.5,5 prespecified estimable contrasts within outcome × attack
auc,confidence,feature_map,ZZ - EfficientSU2,0.004944374999999992,0.0060591405640569255,0.0005059374999999922,0.010103687500000005,5,10000,paired split/init block,0.1875,0.5,5 prespecified estimable contrasts within outcome × attack
auc,confidence,feature_map,ZZ - Z,0.02102518749999998,0.015512003043069666,0.007974437499999987,0.031970312499999966,5,10000,paired split/init block,0.125,0.5,5 prespecified estimable contrasts within outcome × attack
auc,correctness,repetitions,5 - 1,0.05790833333333335,0.00772489212438164,0.0522,0.06437500000000003,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
auc,correctness,depth,6 - 2,0.05859166666666664,0.007421370231373107,0.052516666666666656,0.06416666666666662,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
auc,correctness,feature_map,Z - EfficientSU2,0.03331250000000001,0.003695172103569723,0.030537500000000023,0.03655,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
auc,correctness,feature_map,ZZ - EfficientSU2,0.0867125,0.003874143050404844,0.083775,0.08983750000000001,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
auc,correctness,feature_map,ZZ - Z,0.0534,0.006659784859513096,0.048462500000000006,0.05902499999999998,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
auc,entropy,repetitions,5 - 1,-0.0016705000000000116,0.008527582765934428,-0.008181583333333376,0.004442666666666689,5,10000,paired split/init block,0.6875,0.6875,5 prespecified estimable contrasts within outcome × attack
auc,entropy,depth,6 - 2,0.034976999999999994,0.010101005826051007,0.02706408333333335,0.04294141666666665,5,10000,paired split/init block,0.0625,0.3125,5 prespecified estimable contrasts within outcome × attack
auc,entropy,feature_map,Z - EfficientSU2,-0.018161499999999997,0.012266254439263432,-0.02657675,-0.00740562499999999,5,10000,paired split/init block,0.125,0.5,5 prespecified estimable contrasts within outcome × attack
auc,entropy,feature_map,ZZ - EfficientSU2,0.005470250000000007,0.006831627471272856,-7.049999999997892e-05,0.010626000000000007,5,10000,paired split/init block,0.1875,0.5,5 prespecified estimable contrasts within outcome × attack
auc,entropy,feature_map,ZZ - Z,0.023631750000000003,0.017692751442151378,0.00830450000000001,0.03554112500000001,5,10000,paired split/init block,0.125,0.5,5 prespecified estimable contrasts within outcome × attack
