target_id,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,n_member,n_nonmember,fpr_resolution,membership_convention,source_file,ci_method,bootstrap_unit,bootstrap_replicates,experiment,dataset,architecture,model_type,run_id,model_seed,data_seed,seed,attack_feature_mode,learning_rate,weight_decay,n_wires,depth,ql_ent,ql_op,fm_kind,reps,fm_ent,fm_op,pad_mode,vector_train,vector_valid,vector_test,feature_angle_scale,source_run_id,ql_rev,batch_size,epochs,extra_feats,init_seed,split_seed,block_id,role,structural_cell_id,risk_level,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,tpr_at_requested_fpr_0p01,tpr_at_requested_fpr_0p01_record_ci95_low,tpr_at_requested_fpr_0p01_record_ci95_high,tpr_at_requested_fpr_0p01_valid_bootstrap_replicates,attained_fpr_0p01,expected_false_positives_0p01,resolvable_0p01,tpr_at_requested_fpr_0p05,tpr_at_requested_fpr_0p05_record_ci95_low,tpr_at_requested_fpr_0p05_record_ci95_high,tpr_at_requested_fpr_0p05_valid_bootstrap_replicates,attained_fpr_0p05,expected_false_positives_0p05,resolvable_0p05,tpr_at_requested_fpr_0p1,tpr_at_requested_fpr_0p1_record_ci95_low,tpr_at_requested_fpr_0p1_record_ci95_high,tpr_at_requested_fpr_0p1_valid_bootstrap_replicates,attained_fpr_0p1,expected_false_positives_0p1,resolvable_0p1
FASHION_QNN_eff_su2_r1_d2_b01,loss,0.526755,0.486327125,0.5669355625,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,eff_su2_r1_d2,eff_su2_r1_d2,,0.5125,0.025000000000000022,0.72,0.695,-0.5957642197608948,5,0.015,0.0,0.035,10000,0.01,20.0,True,0.05,0.015,0.085,10000,0.0495,100.0,True,0.115,0.065,0.165,10000,0.0965,200.0,True
FASHION_QNN_eff_su2_r1_d2_b01,entropy,0.5119925000000001,0.46907543749999997,0.5536967500000001,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,eff_su2_r1_d2,eff_su2_r1_d2,,0.479,-0.04200000000000004,0.515,0.557,-0.38627758622169495,5,0.015,0.0,0.035,10000,0.01,20.0,True,0.05,0.015,0.085,10000,0.05,100.0,True,0.11,0.065,0.16,10000,0.1,200.0,True
FASHION_QNN_eff_su2_r1_d2_b01,confidence,0.5129575,0.471084375,0.5545525625,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,eff_su2_r1_d2,eff_su2_r1_d2,,0.49874999999999997,-0.0025000000000000577,0.71,0.7125,0.5535571575164795,5,0.015,0.0,0.035,10000,0.01,20.0,True,0.05,0.015,0.085,10000,0.0495,100.0,True,0.115,0.065,0.165,10000,0.0965,200.0,True
FASHION_QNN_eff_su2_r1_d2_b01,margin,0.5111975,0.46896,0.5535658124999999,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,eff_su2_r1_d2,eff_su2_r1_d2,,0.5115000000000001,0.02300000000000002,0.55,0.527,0.8133859634399414,5,0.01,0.0,0.03,10000,0.0065,20.0,True,0.05,0.015,0.085,10000,0.049,100.0,True,0.115,0.07,0.165,10000,0.0975,200.0,True
FASHION_QNN_eff_su2_r1_d2_b01,correctness,0.524,0.499,0.54725,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,eff_su2_r1_d2,eff_su2_r1_d2,,0.524,0.04800000000000004,0.88,0.832,1.0,5,0.0,0.0,0.0,10000,0.0,20.0,True,0.0,0.0,0.0,10000,0.0,100.0,True,0.0,0.0,0.0,10000,0.0,200.0,True
FASHION_QNN_eff_su2_r1_d2_b01,max_probability,0.5129575,0.471021,0.5540211875,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b01/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70261,60261,70261,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70261,60261,fashion_b01,eff_su2_r1_d2,eff_su2_r1_d2,,0.49874999999999997,-0.0025000000000000577,0.71,0.7125,0.5535571575164795,5,0.015,0.0,0.035,10000,0.01,20.0,True,0.05,0.015,0.085,10000,0.0495,100.0,True,0.115,0.065,0.165,10000,0.0965,200.0,True
FASHION_QNN_eff_su2_r1_d2_b02,loss,0.5347999999999999,0.49457725,0.5743563125,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,eff_su2_r1_d2,eff_su2_r1_d2,,0.51875,0.03749999999999998,0.885,0.8475,-0.9325237274169922,5,0.01,0.0,0.025,10000,0.007,20.0,True,0.065,0.025,0.105,10000,0.05,100.0,True,0.125,0.08,0.17,10000,0.098,200.0,True
FASHION_QNN_eff_su2_r1_d2_b02,entropy,0.5076475,0.46488875,0.5496429375,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,eff_su2_r1_d2,eff_su2_r1_d2,,0.48224999999999996,-0.035499999999999976,0.31,0.3455,-0.3365671634674072,5,0.01,0.0,0.025,10000,0.0075,20.0,True,0.065,0.025,0.1,10000,0.0495,100.0,True,0.12,0.075,0.17,10000,0.096,200.0,True
FASHION_QNN_eff_su2_r1_d2_b02,confidence,0.512845,0.4704691875,0.5559453125,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,eff_su2_r1_d2,eff_su2_r1_d2,,0.488,-0.02400000000000002,0.25,0.274,0.9709026217460632,5,0.01,0.0,0.025,10000,0.007,20.0,True,0.06,0.025,0.105,10000,0.046,100.0,True,0.125,0.08,0.17,10000,0.0995,200.0,True
FASHION_QNN_eff_su2_r1_d2_b02,margin,0.5133125000000001,0.47150875,0.55606625,10000,200,2000,0.0005,0=member,satml_runs/satml_fashion_factorial/FASHION_QNN_eff_su2_r1_d2_b02/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,satml_fashion_factorial,fashion_mnist,qnn,qnn,-1,70262,60262,70262,pv+stats,0.05,0.0,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,2000,1.0,-1,False,16,100,False,70262,60262,fashion_b02,eff_su2_r1_d2,eff_su2_r1_d2,,0.48450000000000004,-0.031000000000000028,0.295,0.326,0.8396461606025696,5,0.01,0.0,0.03,10000,0.006,20.0,True,0.055,0.025,0.095,10000,0.0465,100.0,True,0.125,0.08,0.17,10000,0.0935,200.0,True
