attack,mode,queries,shots,effect,fm_kind,scope,n_paired_units,n_model_seed_blocks,mean,sd,ci95_low,ci95_high,ci_method,bootstrap_replicates
confidence,exact,0,0,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,0.00918333333333334,0.010792947156978622,-0.0028249999999999664,0.018075000000000008,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,0.057716666666666694,0.01514823284523095,0.04022500000000001,0.06647499999999995,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,0.03659166666666667,0.010198079884631846,0.02482500000000004,0.042874999999999996,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,0.03304166666666667,0.020411919516138927,0.009475000000000011,0.04515000000000002,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,0.0018000000000000238,0.007316377177264712,-0.005375000000000019,0.00924999999999998,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,0.009608333333333366,0.0373107418625432,-0.018024999999999958,0.05205000000000004,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,0.02111249999999998,0.0074787929340234625,0.013774999999999982,0.02872499999999989,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,depth_main_6_minus_2,z,encoder_specific,3,3,0.02975833333333337,0.010853062163893357,0.017425000000000024,0.03785000000000005,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,depth_main_6_minus_2,zz,encoder_specific,3,3,0.023100000000000048,0.013618616623945309,0.01242500000000002,0.03843750000000001,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,feature_z_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.0036604166666666105,0.010785903585042498,-0.01336874999999993,0.007950000000000013,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,feature_zz_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.004618749999999931,0.01879825769020892,-0.015531249999999885,0.017087500000000033,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,feature_zz_minus_z,paired_feature_maps,paired_feature_map,3,3,-0.0009583333333333203,0.009599260089758652,-0.00996874999999997,0.00913750000000002,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_5_minus_1_at_depth2,eff_su2,encoder_specific,3,3,0.027133333333333398,0.022478341427546074,0.00660000000000005,0.051150000000000084,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_5_minus_1_at_depth2,z,encoder_specific,3,3,0.03535000000000001,0.014375565206279783,0.019224999999999937,0.04682500000000006,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_5_minus_1_at_depth2,zz,encoder_specific,3,3,0.010708333333333339,0.0375989472370349,-0.022125000000000006,0.05172500000000002,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_5_minus_1_at_depth6,eff_su2,encoder_specific,3,3,0.050991666666666734,0.007423204047669253,0.04255000000000009,0.056500000000000106,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_5_minus_1_at_depth6,z,encoder_specific,3,3,-0.02056666666666666,0.02365536848863977,-0.045724999999999905,0.0012250000000000316,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_5_minus_1_at_depth6,zz,encoder_specific,3,3,-0.016274999999999967,0.025672224776984155,-0.044749999999999956,0.005099999999999993,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_by_depth_interaction,eff_su2,encoder_specific,3,3,0.023858333333333332,0.02902652163682952,-0.008599999999999997,0.04732499999999995,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_by_depth_interaction,z,encoder_specific,3,3,-0.05591666666666667,0.009738625844200596,-0.06494999999999984,-0.04560000000000003,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_by_depth_interaction,zz,encoder_specific,3,3,-0.026983333333333304,0.047437513724196495,-0.060899999999999954,0.027225,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_main_5_minus_1,eff_su2,encoder_specific,3,3,0.039062500000000035,0.00833997339624059,0.03026249999999997,0.04685000000000006,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_main_5_minus_1,z,encoder_specific,3,3,0.007391666666666685,0.018958018312401063,-0.013249999999999984,0.024025000000000074,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,exact,0,0,repetition_main_5_minus_1,zz,encoder_specific,3,3,-0.002783333333333341,0.021766776336502747,-0.02111250000000009,0.021275000000000044,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,encoder_specific,3,3,0.005409583333333338,0.007651400641113637,-0.0026000000000000467,0.012643750000000065,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,z,encoder_specific,3,3,0.051930000000000066,0.01249779405535231,0.03773750000000009,0.06129000000000007,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,zz,encoder_specific,3,3,0.03487000000000001,0.012568875496638533,0.02035999999999999,0.042392500000000055,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,encoder_specific,3,3,0.03522958333333337,0.021924528014208897,0.009921250000000104,0.04843249999999999,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,z,encoder_specific,3,3,0.0010433333333333221,0.008525081500099117,-0.006527499999999908,0.01027749999999994,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,zz,encoder_specific,3,3,0.0013233333333333615,0.03607077637552778,-0.031154999999999933,0.04014500000000004,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_main_6_minus_2,eff_su2,encoder_specific,3,3,0.020319583333333353,0.00820704845062051,0.011282500000000084,0.027308749999999993,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_main_6_minus_2,z,encoder_specific,3,3,0.026486666666666697,0.010182272150450132,0.015605000000000091,0.03578375,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,depth_main_6_minus_2,zz,encoder_specific,3,3,0.018096666666666723,0.012320032995931143,0.005618750000000117,0.030252500000000015,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.0035733333333333914,0.00902602994325077,-0.010743125000000076,0.006562500000000027,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,paired_feature_map,3,3,-0.006218958333333413,0.01684563456912385,-0.018753750000000124,0.012929999999999997,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,feature_zz_minus_z,paired_feature_maps,paired_feature_map,3,3,-0.0026456250000000217,0.00930338965024978,-0.012214375,0.00636749999999997,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,encoder_specific,3,3,0.011889166666666617,0.016416255726667224,-0.000660000000000105,0.03046749999999998,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,z,encoder_specific,3,3,0.030811249999999995,0.012795395106736614,0.017052500000000026,0.04235374999999997,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,zz,encoder_specific,3,3,0.012269166666666664,0.042653053109752086,-0.022055000000000047,0.06001999999999996,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,encoder_specific,3,3,0.04170916666666665,0.012107403812681418,0.02774500000000002,0.04927499999999996,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,z,encoder_specific,3,3,-0.020075416666666752,0.019294493236953238,-0.04033000000000009,-0.001911250000000031,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,zz,encoder_specific,3,3,-0.021277499999999987,0.023846502495124905,-0.04803499999999994,-0.0022699999999999942,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,eff_su2,encoder_specific,3,3,0.02982000000000003,0.02844354309417165,-0.002722499999999961,0.04993500000000006,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,z,encoder_specific,3,3,-0.05088666666666675,0.00655965525643948,-0.057382500000000114,-0.044265,percentile cluster bootstrap over trained model-seed blocks,10000
confidence,ideal_shot,1,512,repetition_by_depth_interaction,zz,encoder_specific,3,3,-0.03354666666666665,0.04807309254752949,-0.07354749999999999,0.019785000000000053,percentile cluster bootstrap over trained model-seed blocks,10000
