target_id,mode,aggregation,attack,simulator_seed,contrast,treatment_queries,treatment_shots,baseline_queries,baseline_shots,auc_difference
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,0,single_shot_512_minus_128,1,512,1,128,-0.058150000000000035
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,0,single_shot_2560_minus_128,1,2560,1,128,-0.06420000000000003
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,0,repeat_5x128_minus_1x128,5,128,1,128,-0.03265000000000007
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,0,repeat_20x128_minus_1x128,20,128,1,128,-0.039449999999999985
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,0,equal_total_5x512_minus_1x2560,5,512,1,2560,0.016125000000000056
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,0,equal_total_20x128_minus_1x2560,20,128,1,2560,0.02475000000000005
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,1,single_shot_512_minus_128,1,512,1,128,-0.038825
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,1,single_shot_2560_minus_128,1,2560,1,128,-0.02022500000000005
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,1,repeat_5x128_minus_1x128,5,128,1,128,0.0018500000000000183
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,1,repeat_20x128_minus_1x128,20,128,1,128,-0.011724999999999985
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,1,equal_total_5x512_minus_1x2560,5,512,1,2560,0.004775000000000085
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,1,equal_total_20x128_minus_1x2560,20,128,1,2560,0.008500000000000063
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,2,single_shot_512_minus_128,1,512,1,128,0.023175000000000112
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,2,single_shot_2560_minus_128,1,2560,1,128,0.014725000000000155
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,2,repeat_5x128_minus_1x128,5,128,1,128,0.031025000000000136
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,2,repeat_20x128_minus_1x128,20,128,1,128,0.016725000000000045
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,2,equal_total_5x512_minus_1x2560,5,512,1,2560,0.004049999999999998
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,2,equal_total_20x128_minus_1x2560,20,128,1,2560,0.0019999999999998908
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,3,single_shot_512_minus_128,1,512,1,128,-0.04579999999999995
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,3,single_shot_2560_minus_128,1,2560,1,128,-0.015349999999999975
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,3,repeat_5x128_minus_1x128,5,128,1,128,-0.0009999999999998899
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,3,repeat_20x128_minus_1x128,20,128,1,128,-0.0068749999999998535
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,3,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.01617499999999994
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,3,equal_total_20x128_minus_1x2560,20,128,1,2560,0.008475000000000121
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,4,single_shot_512_minus_128,1,512,1,128,0.008575
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,4,single_shot_2560_minus_128,1,2560,1,128,0.022299999999999986
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,4,repeat_5x128_minus_1x128,5,128,1,128,0.004425000000000012
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,4,repeat_20x128_minus_1x128,20,128,1,128,0.022400000000000087
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,confidence,4,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.011450000000000071
