target_id,structural_cell_id,fm_kind,reps,depth,model_seed,data_seed,mode,queries,shots,total_shots_per_target_record,simulator_seed,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,num_reference_models,reference_calibration_circuit_shots,target_attack_circuit_shots,calibration_timestamp,backend_name,snapshot_manifest_sha256,sample_score_file,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,0,lira_online,0.573875,0.51627,0.6307262499999999,1000,0.105,0.05,0.175,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim0.npz,0.5525,0.10500000000000004,0.465,0.36,0.037429494697122756,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,0,lira_online_fixed_variance,0.58875,0.53366125,0.63970625,1000,0.12,0.05,0.2,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim0.npz,0.5375,0.07500000000000001,0.435,0.36,0.05550905645027038,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,0,lira_offline,0.5567249999999999,0.502328125,0.612008125,1000,0.06,0.05,0.15,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim0.npz,0.5549999999999999,0.10999999999999999,0.48,0.37,1.193777005439077,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,0,lira_offline_fixed_variance,0.5676,0.51034625,0.622789375,1000,0.04,0.04,0.135,0.095,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim0.npz,0.52,0.03999999999999998,0.43,0.39,1.1202747649502787,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,0,global_true_class_log_odds,0.5634250000000001,0.510075,0.6209425,1000,0.06,0.05,0.155,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim0.npz,0.5175000000000001,0.03500000000000003,0.795,0.76,-0.429970320427182,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,1,lira_online,0.5498500000000001,0.49337375,0.6049768750000001,1000,0.06,0.05,0.09,0.09,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim1.npz,0.55,0.09999999999999998,0.83,0.73,-0.5939049390856033,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,1,lira_online_fixed_variance,0.530075,0.4741675,0.581430625,1000,0.025,0.05,0.095,0.095,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim1.npz,0.5175,0.034999999999999976,0.47,0.435,0.1682005134966481,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,1,lira_offline,0.497475,0.43756,0.5508037499999999,1000,0.055,0.05,0.085,0.095,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim1.npz,0.5175,0.03500000000000003,0.89,0.855,0.47143261405862263,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,1,lira_offline_fixed_variance,0.48492500000000005,0.42879375000000003,0.546825625,1000,0.045,0.05,0.085,0.095,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim1.npz,0.45999999999999996,-0.07999999999999996,0.61,0.69,0.8980574857375732,5
MNIST_QNN_eff_su2_r1_d6_s45,eff_su2_r1_d6,eff_su2,1,6,45,43,ideal_shot,1,512,512,1,global_true_class_log_odds,0.5034000000000001,0.44723874999999996,0.5577537499999999,1000,0.055,0.045,0.075,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45_ideal_shot_sim1.npz,0.475,-0.050000000000000044,0.715,0.765,-0.46990324724584465,5
