target_id,structural_cell_id,fm_kind,reps,depth,model_seed,data_seed,mode,queries,shots,total_shots_per_target_record,simulator_seed,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,num_reference_models,reference_calibration_circuit_shots,target_attack_circuit_shots,calibration_timestamp,backend_name,snapshot_manifest_sha256,sample_score_file,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,0,lira_online,0.674475,0.62489125,0.728850625,1000,0.125,0.045,0.24,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim0.npz,0.625,0.25,0.735,0.485,-0.047391317056018734,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,0,lira_online_fixed_variance,0.6941499999999999,0.6410081249999999,0.74231125,1000,0.16,0.05,0.25,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim0.npz,0.635,0.27,0.78,0.51,0.018662272375108868,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,0,lira_offline,0.48997499999999994,0.431515,0.5477775,1000,0.065,0.05,0.115,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim0.npz,0.48,-0.040000000000000036,0.24,0.28,3.094846428750919,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,0,lira_offline_fixed_variance,0.496225,0.438474375,0.553450625,1000,0.085,0.045,0.105,0.075,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim0.npz,0.5,0.0,0.405,0.405,2.32969836655999,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,0,global_true_class_log_odds,0.6469750000000001,0.590169375,0.7004793749999999,1000,0.035,0.05,0.085,0.085,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim0.npz,0.625,0.25,0.845,0.595,-0.7821547322066683,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,1,lira_online,0.7149249999999999,0.6649287500000001,0.7674043749999999,1000,0.14,0.05,0.255,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim1.npz,0.675,0.35000000000000003,0.77,0.42,-0.17967487956363293,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,1,lira_online_fixed_variance,0.7101249999999999,0.6608925,0.758511875,1000,0.12,0.05,0.255,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim1.npz,0.66,0.32000000000000006,0.81,0.49,-0.1038803470266827,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,1,lira_offline,0.511625,0.454165,0.5670525000000001,1000,0.055,0.04,0.115,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim1.npz,0.5275,0.05500000000000005,0.34,0.285,2.348143132306264,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,1,lira_offline_fixed_variance,0.519175,0.46243812500000003,0.57577625,1000,0.06,0.05,0.13,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim1.npz,0.4875,-0.025000000000000022,0.605,0.63,1.6673360085172124,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,1,global_true_class_log_odds,0.6472249999999999,0.592396875,0.7000593749999999,1000,0.02,0.03,0.085,0.095,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim1.npz,0.6575,0.31499999999999995,0.86,0.545,-0.38105502046630846,5
MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,zz,5,6,43,43,ideal_shot,1,512,512,2,lira_online,0.7069,0.65283375,0.75495125,1000,0.165,0.045,0.295,0.1,200,200,16,3276800,204800,2026-08-18T20:33:07+08:00,ibm_kingston,516fac22a7de7c7485ebe5cd518ec5e695426213c3b2c286adcf026c78554362,/home/najeeb/qurift_satML/satml_results/noise/n3_attack_breadth/noisy_lira/sample_scores/MNIST_QNN_zz_r5_d6_s43_ideal_shot_sim2.npz,0.6675,0.33499999999999996,0.85,0.515,-0.35586290899325235,5
