Outcome,Attack,Factor,Contrast,Effect ± SD [95% CI],Blocks
test_acc,target_model,repetitions,5 - 1,"-0.209 ± 0.015 [-0.223, -0.200]",5
test_acc,target_model,depth,6 - 2,"0.021 ± 0.005 [0.017, 0.026]",5
test_acc,target_model,feature_map,Z - EfficientSU2,"-0.126 ± 0.009 [-0.133, -0.119]",5
test_acc,target_model,feature_map,ZZ - EfficientSU2,"-0.286 ± 0.013 [-0.297, -0.277]",5
test_acc,target_model,feature_map,ZZ - Z,"-0.160 ± 0.014 [-0.171, -0.149]",5
gap,target_model,repetitions,5 - 1,"0.116 ± 0.015 [0.104, 0.129]",5
gap,target_model,depth,6 - 2,"0.117 ± 0.015 [0.105, 0.128]",5
gap,target_model,feature_map,Z - EfficientSU2,"0.067 ± 0.007 [0.061, 0.073]",5
gap,target_model,feature_map,ZZ - EfficientSU2,"0.173 ± 0.008 [0.168, 0.179]",5
gap,target_model,feature_map,ZZ - Z,"0.107 ± 0.013 [0.097, 0.118]",5
auc,confidence,repetitions,5 - 1,"0.000 ± 0.009 [-0.006, 0.007]",5
auc,confidence,depth,6 - 2,"0.037 ± 0.013 [0.028, 0.047]",5
auc,confidence,feature_map,Z - EfficientSU2,"-0.016 ± 0.011 [-0.024, -0.006]",5
auc,confidence,feature_map,ZZ - EfficientSU2,"0.005 ± 0.006 [0.001, 0.010]",5
auc,confidence,feature_map,ZZ - Z,"0.021 ± 0.016 [0.008, 0.032]",5
auc,correctness,repetitions,5 - 1,"0.058 ± 0.008 [0.052, 0.064]",5
auc,correctness,depth,6 - 2,"0.059 ± 0.007 [0.053, 0.064]",5
auc,correctness,feature_map,Z - EfficientSU2,"0.033 ± 0.004 [0.031, 0.037]",5
auc,correctness,feature_map,ZZ - EfficientSU2,"0.087 ± 0.004 [0.084, 0.090]",5
auc,correctness,feature_map,ZZ - Z,"0.053 ± 0.007 [0.048, 0.059]",5
auc,entropy,repetitions,5 - 1,"-0.002 ± 0.009 [-0.008, 0.004]",5
auc,entropy,depth,6 - 2,"0.035 ± 0.010 [0.027, 0.043]",5
auc,entropy,feature_map,Z - EfficientSU2,"-0.018 ± 0.012 [-0.027, -0.007]",5
auc,entropy,feature_map,ZZ - EfficientSU2,"0.005 ± 0.007 [-0.000, 0.011]",5
auc,entropy,feature_map,ZZ - Z,"0.024 ± 0.018 [0.008, 0.036]",5
auc,loss,repetitions,5 - 1,"0.078 ± 0.008 [0.071, 0.084]",5
auc,loss,depth,6 - 2,"0.058 ± 0.008 [0.052, 0.064]",5
auc,loss,feature_map,Z - EfficientSU2,"0.036 ± 0.003 [0.034, 0.038]",5
auc,loss,feature_map,ZZ - EfficientSU2,"0.111 ± 0.004 [0.108, 0.114]",5
auc,loss,feature_map,ZZ - Z,"0.075 ± 0.007 [0.070, 0.080]",5
auc,margin,repetitions,5 - 1,"0.002 ± 0.009 [-0.005, 0.009]",5
auc,margin,depth,6 - 2,"0.036 ± 0.015 [0.025, 0.048]",5
auc,margin,feature_map,Z - EfficientSU2,"-0.014 ± 0.009 [-0.021, -0.006]",5
auc,margin,feature_map,ZZ - EfficientSU2,"0.004 ± 0.007 [-0.001, 0.010]",5
auc,margin,feature_map,ZZ - Z,"0.019 ± 0.015 [0.005, 0.029]",5
auc,max_probability,repetitions,5 - 1,"0.000 ± 0.009 [-0.007, 0.007]",5
auc,max_probability,depth,6 - 2,"0.037 ± 0.013 [0.027, 0.047]",5
auc,max_probability,feature_map,Z - EfficientSU2,"-0.016 ± 0.011 [-0.024, -0.006]",5
auc,max_probability,feature_map,ZZ - EfficientSU2,"0.005 ± 0.006 [0.001, 0.009]",5
auc,max_probability,feature_map,ZZ - Z,"0.021 ± 0.016 [0.008, 0.032]",5
auc,learned_prediction_vector_stats,repetitions,5 - 1,"0.060 ± 0.013 [0.052, 0.071]",5
auc,learned_prediction_vector_stats,depth,6 - 2,"0.072 ± 0.018 [0.060, 0.086]",5
auc,learned_prediction_vector_stats,feature_map,Z - EfficientSU2,"0.036 ± 0.022 [0.019, 0.053]",5
auc,learned_prediction_vector_stats,feature_map,ZZ - EfficientSU2,"0.114 ± 0.029 [0.094, 0.137]",5
auc,learned_prediction_vector_stats,feature_map,ZZ - Z,"0.078 ± 0.025 [0.061, 0.096]",5
auc,global_true_class_log_odds,repetitions,5 - 1,"0.049 ± 0.004 [0.045, 0.053]",3
