Feature map,Reps,Depth,Mode,Queries,Shots/query,Attack,AUC mean ± checkpoint SD,Checkpoints
eff_su2,1,2,exact,0,0,learned_mlp_pv_plus_stats,0.533 ± 0.028,3
eff_su2,1,2,exact,0,0,loss,0.530 ± 0.010,3
eff_su2,1,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.516 ± 0.015,3
eff_su2,1,2,ideal_shot,1,512,loss,0.533 ± 0.008,3
eff_su2,1,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.521 ± 0.006,3
eff_su2,1,2,noisy_shot,1,512,loss,0.531 ± 0.009,3
eff_su2,1,6,exact,0,0,learned_mlp_pv_plus_stats,0.514 ± 0.003,3
eff_su2,1,6,exact,0,0,loss,0.536 ± 0.006,3
eff_su2,1,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.516 ± 0.006,3
eff_su2,1,6,ideal_shot,1,512,loss,0.537 ± 0.002,3
eff_su2,1,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.522 ± 0.014,3
eff_su2,1,6,noisy_shot,1,512,loss,0.540 ± 0.004,3
eff_su2,5,2,exact,0,0,learned_mlp_pv_plus_stats,0.564 ± 0.035,3
eff_su2,5,2,exact,0,0,loss,0.571 ± 0.006,3
eff_su2,5,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.541 ± 0.018,3
eff_su2,5,2,ideal_shot,1,512,loss,0.566 ± 0.004,3
eff_su2,5,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.540 ± 0.019,3
eff_su2,5,2,noisy_shot,1,512,loss,0.565 ± 0.003,3
eff_su2,5,6,exact,0,0,learned_mlp_pv_plus_stats,0.591 ± 0.008,3
eff_su2,5,6,exact,0,0,loss,0.603 ± 0.017,3
eff_su2,5,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.577 ± 0.022,3
eff_su2,5,6,ideal_shot,1,512,loss,0.599 ± 0.017,3
eff_su2,5,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.566 ± 0.013,3
eff_su2,5,6,noisy_shot,1,512,loss,0.589 ± 0.018,3
z,1,2,exact,0,0,learned_mlp_pv_plus_stats,0.499 ± 0.014,3
z,1,2,exact,0,0,loss,0.541 ± 0.017,3
z,1,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.506 ± 0.018,3
z,1,2,ideal_shot,1,512,loss,0.542 ± 0.015,3
z,1,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.504 ± 0.005,3
z,1,2,noisy_shot,1,512,loss,0.541 ± 0.014,3
z,1,6,exact,0,0,learned_mlp_pv_plus_stats,0.563 ± 0.014,3
z,1,6,exact,0,0,loss,0.599 ± 0.015,3
z,1,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.558 ± 0.004,3
z,1,6,ideal_shot,1,512,loss,0.596 ± 0.011,3
z,1,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.558 ± 0.012,3
z,1,6,noisy_shot,1,512,loss,0.588 ± 0.017,3
z,5,2,exact,0,0,learned_mlp_pv_plus_stats,0.595 ± 0.035,3
z,5,2,exact,0,0,loss,0.646 ± 0.012,3
z,5,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.605 ± 0.015,3
z,5,2,ideal_shot,1,512,loss,0.645 ± 0.013,3
z,5,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.603 ± 0.013,3
z,5,2,noisy_shot,1,512,loss,0.645 ± 0.013,3
z,5,6,exact,0,0,learned_mlp_pv_plus_stats,0.660 ± 0.021,3
z,5,6,exact,0,0,loss,0.684 ± 0.012,3
z,5,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.655 ± 0.004,3
z,5,6,ideal_shot,1,512,loss,0.679 ± 0.010,3
z,5,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.630 ± 0.008,3
z,5,6,noisy_shot,1,512,loss,0.664 ± 0.003,3
zz,1,2,exact,0,0,learned_mlp_pv_plus_stats,0.560 ± 0.029,3
zz,1,2,exact,0,0,loss,0.562 ± 0.012,3
zz,1,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.554 ± 0.033,3
zz,1,2,ideal_shot,1,512,loss,0.558 ± 0.014,3
zz,1,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.551 ± 0.020,3
zz,1,2,noisy_shot,1,512,loss,0.553 ± 0.019,3
zz,1,6,exact,0,0,learned_mlp_pv_plus_stats,0.630 ± 0.015,3
zz,1,6,exact,0,0,loss,0.604 ± 0.011,3
zz,1,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.605 ± 0.015,3
zz,1,6,ideal_shot,1,512,loss,0.603 ± 0.011,3
zz,1,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.580 ± 0.014,3
zz,1,6,noisy_shot,1,512,loss,0.591 ± 0.009,3
zz,5,2,exact,0,0,learned_mlp_pv_plus_stats,0.572 ± 0.045,3
zz,5,2,exact,0,0,loss,0.601 ± 0.025,3
zz,5,2,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.568 ± 0.009,3
zz,5,2,ideal_shot,1,512,loss,0.599 ± 0.025,3
zz,5,2,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.530 ± 0.018,3
zz,5,2,noisy_shot,1,512,loss,0.548 ± 0.006,3
zz,5,6,exact,0,0,learned_mlp_pv_plus_stats,0.691 ± 0.024,3
zz,5,6,exact,0,0,loss,0.679 ± 0.018,3
zz,5,6,ideal_shot,1,512,learned_mlp_pv_plus_stats,0.692 ± 0.014,3
zz,5,6,ideal_shot,1,512,loss,0.672 ± 0.018,3
zz,5,6,noisy_shot,1,512,learned_mlp_pv_plus_stats,0.536 ± 0.009,3
zz,5,6,noisy_shot,1,512,loss,0.568 ± 0.009,3
