Attack,Mode,Queries,Shots/query,Contrast,Feature map,Noise change in AUC effect ± SD [95% CI],Model-seed blocks
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,"-0.004 ± 0.003 [-0.006, 0.000]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,z,"-0.006 ± 0.004 [-0.010, -0.002]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition1,zz,"-0.002 ± 0.002 [-0.004, -0.000]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,"0.002 ± 0.002 [0.000, 0.003]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,z,"-0.001 ± 0.002 [-0.002, 0.001]",3
confidence,ideal_shot,1,512,depth_6_minus_2_at_repetition5,zz,"-0.008 ± 0.007 [-0.013, 0.000]",3
confidence,ideal_shot,1,512,depth_main_6_minus_2,eff_su2,"-0.001 ± 0.002 [-0.002, 0.002]",3
confidence,ideal_shot,1,512,depth_main_6_minus_2,z,"-0.003 ± 0.002 [-0.006, -0.002]",3
confidence,ideal_shot,1,512,depth_main_6_minus_2,zz,"-0.005 ± 0.004 [-0.008, -0.000]",3
confidence,ideal_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,"0.000 ± 0.002 [-0.001, 0.003]",3
confidence,ideal_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,"-0.002 ± 0.004 [-0.004, 0.003]",3
confidence,ideal_shot,1,512,feature_zz_minus_z,paired_feature_maps,"-0.002 ± 0.001 [-0.003, -0.000]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,"-0.015 ± 0.007 [-0.021, -0.007]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,z,"-0.005 ± 0.002 [-0.007, -0.002]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth2,zz,"0.002 ± 0.006 [-0.004, 0.008]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,"-0.009 ± 0.005 [-0.015, -0.005]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,z,"0.000 ± 0.004 [-0.003, 0.005]",3
confidence,ideal_shot,1,512,repetition_5_minus_1_at_depth6,zz,"-0.005 ± 0.002 [-0.007, -0.003]",3
confidence,ideal_shot,1,512,repetition_by_depth_interaction,eff_su2,"0.006 ± 0.003 [0.003, 0.009]",3
confidence,ideal_shot,1,512,repetition_by_depth_interaction,z,"0.005 ± 0.003 [0.001, 0.008]",3
confidence,ideal_shot,1,512,repetition_by_depth_interaction,zz,"-0.007 ± 0.007 [-0.013, 0.000]",3
confidence,ideal_shot,1,512,repetition_main_5_minus_1,eff_su2,"-0.012 ± 0.006 [-0.018, -0.006]",3
confidence,ideal_shot,1,512,repetition_main_5_minus_1,z,"-0.002 ± 0.003 [-0.004, 0.002]",3
confidence,ideal_shot,1,512,repetition_main_5_minus_1,zz,"-0.002 ± 0.003 [-0.004, 0.002]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,"-0.006 ± 0.009 [-0.012, 0.004]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,z,"-0.012 ± 0.008 [-0.018, -0.003]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition1,zz,"-0.012 ± 0.001 [-0.012, -0.011]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,"-0.002 ± 0.010 [-0.012, 0.008]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,z,"-0.013 ± 0.015 [-0.025, 0.003]",3
confidence,noisy_shot,1,512,depth_6_minus_2_at_repetition5,zz,"-0.013 ± 0.054 [-0.073, 0.033]",3
confidence,noisy_shot,1,512,depth_main_6_minus_2,eff_su2,"-0.004 ± 0.002 [-0.006, -0.002]",3
confidence,noisy_shot,1,512,depth_main_6_minus_2,z,"-0.013 ± 0.004 [-0.016, -0.008]",3
confidence,noisy_shot,1,512,depth_main_6_minus_2,zz,"-0.012 ± 0.028 [-0.043, 0.011]",3
confidence,noisy_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,"-0.005 ± 0.002 [-0.007, -0.003]",3
confidence,noisy_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,"0.006 ± 0.027 [-0.025, 0.025]",3
confidence,noisy_shot,1,512,feature_zz_minus_z,paired_feature_maps,"0.011 ± 0.025 [-0.018, 0.028]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,"-0.019 ± 0.012 [-0.026, -0.005]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,z,"-0.004 ± 0.001 [-0.004, -0.003]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth2,zz,"0.021 ± 0.052 [-0.029, 0.075]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,"-0.015 ± 0.008 [-0.021, -0.006]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,z,"-0.005 ± 0.021 [-0.025, 0.018]",3
confidence,noisy_shot,1,512,repetition_5_minus_1_at_depth6,zz,"0.020 ± 0.009 [0.014, 0.030]",3
confidence,noisy_shot,1,512,repetition_by_depth_interaction,eff_su2,"0.004 ± 0.019 [-0.016, 0.020]",3
confidence,noisy_shot,1,512,repetition_by_depth_interaction,z,"-0.001 ± 0.022 [-0.021, 0.022]",3
confidence,noisy_shot,1,512,repetition_by_depth_interaction,zz,"-0.002 ± 0.053 [-0.061, 0.043]",3
confidence,noisy_shot,1,512,repetition_main_5_minus_1,eff_su2,"-0.017 ± 0.004 [-0.020, -0.013]",3
confidence,noisy_shot,1,512,repetition_main_5_minus_1,z,"-0.004 ± 0.011 [-0.014, 0.007]",3
confidence,noisy_shot,1,512,repetition_main_5_minus_1,zz,"0.020 ± 0.026 [-0.007, 0.044]",3
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,eff_su2,"-0.008 ± 0.012 [-0.020, 0.005]",3
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,z,"-0.003 ± 0.010 [-0.010, 0.009]",3
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition1,zz,"0.003 ± 0.008 [-0.006, 0.010]",3
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,eff_su2,"-0.000 ± 0.008 [-0.008, 0.007]",3
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,z,"-0.008 ± 0.005 [-0.013, -0.003]",3
correctness,ideal_shot,1,512,depth_6_minus_2_at_repetition5,zz,"-0.002 ± 0.011 [-0.014, 0.008]",3
correctness,ideal_shot,1,512,depth_main_6_minus_2,eff_su2,"-0.004 ± 0.005 [-0.010, 0.000]",3
correctness,ideal_shot,1,512,depth_main_6_minus_2,z,"-0.005 ± 0.006 [-0.012, 0.000]",3
correctness,ideal_shot,1,512,depth_main_6_minus_2,zz,"0.001 ± 0.005 [-0.005, 0.006]",3
correctness,ideal_shot,1,512,feature_z_minus_eff_su2,paired_feature_maps,"-0.003 ± 0.002 [-0.005, -0.000]",3
correctness,ideal_shot,1,512,feature_zz_minus_eff_su2,paired_feature_maps,"-0.006 ± 0.000 [-0.006, -0.005]",3
correctness,ideal_shot,1,512,feature_zz_minus_z,paired_feature_maps,"-0.003 ± 0.002 [-0.005, -0.001]",3
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth2,eff_su2,"-0.017 ± 0.022 [-0.040, 0.004]",3
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth2,z,"-0.002 ± 0.002 [-0.004, -0.001]",3
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth2,zz,"-0.008 ± 0.016 [-0.026, 0.003]",3
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth6,eff_su2,"-0.009 ± 0.011 [-0.020, 0.002]",3
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth6,z,"-0.007 ± 0.012 [-0.021, 0.002]",3
correctness,ideal_shot,1,512,repetition_5_minus_1_at_depth6,zz,"-0.013 ± 0.003 [-0.016, -0.011]",3
correctness,ideal_shot,1,512,repetition_by_depth_interaction,eff_su2,"0.008 ± 0.018 [-0.013, 0.020]",3
correctness,ideal_shot,1,512,repetition_by_depth_interaction,z,"-0.005 ± 0.010 [-0.017, 0.003]",3
correctness,ideal_shot,1,512,repetition_by_depth_interaction,zz,"-0.005 ± 0.017 [-0.019, 0.014]",3
correctness,ideal_shot,1,512,repetition_main_5_minus_1,eff_su2,"-0.013 ± 0.015 [-0.030, -0.002]",3
correctness,ideal_shot,1,512,repetition_main_5_minus_1,z,"-0.005 ± 0.007 [-0.013, 0.001]",3
