Outcome,Attack,Policy,Mean ± SD,Fresh blocks
auc,confidence,privacy_aware,0.493 ± 0.024,5
auc,confidence,utility_only,0.493 ± 0.024,5
auc,confidence,utility_regularized,0.490 ± 0.021,5
auc,correctness,privacy_aware,0.505 ± 0.013,5
auc,correctness,utility_only,0.505 ± 0.013,5
auc,correctness,utility_regularized,0.503 ± 0.006,5
auc,entropy,privacy_aware,0.493 ± 0.024,5
auc,entropy,utility_only,0.493 ± 0.024,5
auc,entropy,utility_regularized,0.490 ± 0.021,5
auc,global_true_class_log_odds,privacy_aware,0.502 ± 0.015,5
auc,global_true_class_log_odds,utility_only,0.502 ± 0.015,5
auc,global_true_class_log_odds,utility_regularized,0.496 ± 0.012,5
auc,label_only_correctness,privacy_aware,0.505 ± 0.013,5
auc,label_only_correctness,utility_only,0.505 ± 0.013,5
auc,label_only_correctness,utility_regularized,0.503 ± 0.006,5
auc,label_only_hsj_l2,privacy_aware,0.500 ± 0.025,5
auc,label_only_hsj_l2,utility_only,0.500 ± 0.025,5
auc,label_only_hsj_l2,utility_regularized,0.497 ± 0.010,5
auc,learned_prediction_vector_stats,privacy_aware,0.483 ± 0.032,5
auc,learned_prediction_vector_stats,utility_only,0.483 ± 0.032,5
auc,learned_prediction_vector_stats,utility_regularized,0.511 ± 0.032,5
auc,lira_offline,privacy_aware,0.497 ± 0.039,5
auc,lira_offline,utility_only,0.497 ± 0.039,5
auc,lira_offline,utility_regularized,0.493 ± 0.038,5
auc,lira_offline_fixed_variance,privacy_aware,0.487 ± 0.027,5
auc,lira_offline_fixed_variance,utility_only,0.487 ± 0.027,5
auc,lira_offline_fixed_variance,utility_regularized,0.493 ± 0.036,5
auc,lira_online,privacy_aware,0.521 ± 0.032,5
auc,lira_online,utility_only,0.521 ± 0.032,5
auc,lira_online,utility_regularized,0.486 ± 0.042,5
auc,lira_online_fixed_variance,privacy_aware,0.525 ± 0.047,5
auc,lira_online_fixed_variance,utility_only,0.525 ± 0.047,5
auc,lira_online_fixed_variance,utility_regularized,0.488 ± 0.052,5
auc,loss,privacy_aware,0.511 ± 0.015,5
auc,loss,utility_only,0.511 ± 0.015,5
auc,loss,utility_regularized,0.506 ± 0.010,5
auc,margin,privacy_aware,0.493 ± 0.024,5
auc,margin,utility_only,0.493 ± 0.024,5
auc,margin,utility_regularized,0.490 ± 0.021,5
auc,max_probability,privacy_aware,0.493 ± 0.024,5
auc,max_probability,utility_only,0.493 ± 0.024,5
auc,max_probability,utility_regularized,0.490 ± 0.021,5
gap,target_model,privacy_aware,0.010 ± 0.027,5
gap,target_model,utility_only,0.010 ± 0.027,5
gap,target_model,utility_regularized,0.005 ± 0.012,5
test_acc,target_model,privacy_aware,0.773 ± 0.009,5
test_acc,target_model,utility_only,0.773 ± 0.009,5
test_acc,target_model,utility_regularized,0.776 ± 0.007,5
valid_acc,target_model,privacy_aware,0.771 ± 0.013,5
valid_acc,target_model,utility_only,0.771 ± 0.013,5
valid_acc,target_model,utility_regularized,0.778 ± 0.003,5
