Outcome,Attack,Factor,Contrast,Effect ± SD [95% CI],Blocks
test_acc,target_model,repetitions,5 - 1,"-0.139 ± 0.024 [-0.158, -0.122]",5
test_acc,target_model,feature_map,Z - EfficientSU2,"-0.059 ± 0.020 [-0.073, -0.041]",5
test_acc,target_model,feature_map,ZZ - EfficientSU2,"0.006 ± 0.019 [-0.010, 0.021]",5
test_acc,target_model,feature_map,ZZ - Z,"0.064 ± 0.010 [0.058, 0.073]",5
gap,target_model,repetitions,5 - 1,"0.063 ± 0.039 [0.035, 0.093]",5
gap,target_model,feature_map,Z - EfficientSU2,"0.021 ± 0.042 [-0.012, 0.053]",5
gap,target_model,feature_map,ZZ - EfficientSU2,"0.024 ± 0.030 [0.003, 0.050]",5
gap,target_model,feature_map,ZZ - Z,"0.004 ± 0.024 [-0.015, 0.022]",5
auc,confidence,repetitions,5 - 1,"-0.025 ± 0.016 [-0.037, -0.011]",5
auc,confidence,feature_map,Z - EfficientSU2,"0.003 ± 0.018 [-0.011, 0.018]",5
auc,confidence,feature_map,ZZ - EfficientSU2,"-0.014 ± 0.018 [-0.030, -0.001]",5
auc,confidence,feature_map,ZZ - Z,"-0.017 ± 0.015 [-0.029, -0.005]",5
auc,correctness,repetitions,5 - 1,"0.032 ± 0.019 [0.018, 0.048]",5
auc,correctness,feature_map,Z - EfficientSU2,"0.010 ± 0.021 [-0.006, 0.027]",5
auc,correctness,feature_map,ZZ - EfficientSU2,"0.012 ± 0.015 [0.001, 0.025]",5
auc,correctness,feature_map,ZZ - Z,"0.002 ± 0.012 [-0.008, 0.011]",5
auc,entropy,repetitions,5 - 1,"-0.025 ± 0.017 [-0.037, -0.011]",5
auc,entropy,feature_map,Z - EfficientSU2,"0.003 ± 0.018 [-0.011, 0.018]",5
auc,entropy,feature_map,ZZ - EfficientSU2,"-0.014 ± 0.019 [-0.030, -0.001]",5
auc,entropy,feature_map,ZZ - Z,"-0.017 ± 0.015 [-0.029, -0.005]",5
auc,loss,repetitions,5 - 1,"0.017 ± 0.027 [-0.004, 0.038]",5
auc,loss,feature_map,Z - EfficientSU2,"0.022 ± 0.015 [0.011, 0.033]",5
auc,loss,feature_map,ZZ - EfficientSU2,"-0.004 ± 0.019 [-0.019, 0.010]",5
auc,loss,feature_map,ZZ - Z,"-0.026 ± 0.012 [-0.035, -0.017]",5
auc,margin,repetitions,5 - 1,"-0.025 ± 0.016 [-0.037, -0.011]",5
auc,margin,feature_map,Z - EfficientSU2,"0.003 ± 0.018 [-0.011, 0.018]",5
auc,margin,feature_map,ZZ - EfficientSU2,"-0.014 ± 0.019 [-0.030, -0.001]",5
auc,margin,feature_map,ZZ - Z,"-0.017 ± 0.015 [-0.028, -0.005]",5
auc,max_probability,repetitions,5 - 1,"-0.025 ± 0.016 [-0.037, -0.011]",5
auc,max_probability,feature_map,Z - EfficientSU2,"0.003 ± 0.018 [-0.011, 0.018]",5
auc,max_probability,feature_map,ZZ - EfficientSU2,"-0.014 ± 0.018 [-0.029, -0.001]",5
auc,max_probability,feature_map,ZZ - Z,"-0.017 ± 0.015 [-0.029, -0.005]",5
auc,learned_prediction_vector_stats,repetitions,5 - 1,"0.052 ± 0.068 [0.004, 0.110]",5
auc,learned_prediction_vector_stats,feature_map,Z - EfficientSU2,"0.051 ± 0.030 [0.026, 0.073]",5
auc,learned_prediction_vector_stats,feature_map,ZZ - EfficientSU2,"0.018 ± 0.055 [-0.023, 0.061]",5
auc,learned_prediction_vector_stats,feature_map,ZZ - Z,"-0.034 ± 0.032 [-0.057, -0.006]",5
auc,global_true_class_log_odds,repetitions,5 - 1,"0.039 ± 0.033 [0.013, 0.077]",3
auc,global_true_class_log_odds,feature_map,Z - EfficientSU2,"0.013 ± 0.021 [-0.002, 0.037]",3
auc,global_true_class_log_odds,feature_map,ZZ - EfficientSU2,"-0.022 ± 0.031 [-0.046, 0.013]",3
auc,global_true_class_log_odds,feature_map,ZZ - Z,"-0.035 ± 0.010 [-0.044, -0.024]",3
auc,lira_offline,repetitions,5 - 1,"-0.041 ± 0.044 [-0.067, 0.009]",3
auc,lira_offline,feature_map,Z - EfficientSU2,"0.023 ± 0.015 [0.012, 0.041]",3
auc,lira_offline,feature_map,ZZ - EfficientSU2,"0.022 ± 0.075 [-0.023, 0.109]",3
auc,lira_offline,feature_map,ZZ - Z,"-0.001 ± 0.060 [-0.041, 0.068]",3
auc,lira_offline_fixed_variance,repetitions,5 - 1,"-0.038 ± 0.046 [-0.082, 0.009]",3
auc,lira_offline_fixed_variance,feature_map,Z - EfficientSU2,"0.017 ± 0.023 [-0.007, 0.039]",3
auc,lira_offline_fixed_variance,feature_map,ZZ - EfficientSU2,"0.017 ± 0.076 [-0.027, 0.105]",3
auc,lira_offline_fixed_variance,feature_map,ZZ - Z,"0.000 ± 0.058 [-0.046, 0.066]",3
auc,lira_online,repetitions,5 - 1,"0.001 ± 0.022 [-0.025, 0.015]",3
auc,lira_online,feature_map,Z - EfficientSU2,"-0.021 ± 0.047 [-0.072, 0.020]",3
auc,lira_online,feature_map,ZZ - EfficientSU2,"-0.012 ± 0.054 [-0.062, 0.045]",3
auc,lira_online,feature_map,ZZ - Z,"0.009 ± 0.017 [-0.008, 0.025]",3
auc,lira_online_fixed_variance,repetitions,5 - 1,"0.013 ± 0.031 [-0.018, 0.043]",3
auc,lira_online_fixed_variance,feature_map,Z - EfficientSU2,"-0.019 ± 0.038 [-0.058, 0.019]",3
auc,lira_online_fixed_variance,feature_map,ZZ - EfficientSU2,"-0.017 ± 0.061 [-0.080, 0.040]",3
auc,lira_online_fixed_variance,feature_map,ZZ - Z,"0.002 ± 0.023 [-0.022, 0.022]",3
auc,label_only_correctness,repetitions,5 - 1,"0.032 ± 0.019 [0.018, 0.048]",5
auc,label_only_correctness,feature_map,Z - EfficientSU2,"0.010 ± 0.021 [-0.006, 0.027]",5
auc,label_only_correctness,feature_map,ZZ - EfficientSU2,"0.012 ± 0.015 [0.001, 0.025]",5
auc,label_only_correctness,feature_map,ZZ - Z,"0.002 ± 0.012 [-0.008, 0.011]",5
auc,label_only_hsj_l2,repetitions,5 - 1,"0.008 ± 0.031 [-0.013, 0.033]",5
auc,label_only_hsj_l2,feature_map,Z - EfficientSU2,"0.020 ± 0.004 [0.016, 0.022]",5
auc,label_only_hsj_l2,feature_map,ZZ - EfficientSU2,"0.001 ± 0.012 [-0.007, 0.010]",5
auc,label_only_hsj_l2,feature_map,ZZ - Z,"-0.018 ± 0.014 [-0.029, -0.007]",5
