target_id,status,gpu,seconds,output_csv,log_path,return_code,error
GEOM_WDBC_z_r5_ds80263,ok,5,10.461,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80263/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80263/geometry.log,0,
GEOM_WDBC_z_r1_ds80263,ok,0,11.035,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80263/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80263/geometry.log,0,
GEOM_WDBC_z_r1_ds80262,ok,2,11.571,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80262/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80262/geometry.log,0,
GEOM_WDBC_z_r1_ds80261,ok,3,12.129,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80261/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80261/geometry.log,0,
GEOM_WDBC_z_r1_ds80265,ok,7,12.288,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80265/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80265/geometry.log,0,
GEOM_WDBC_z_r1_ds80264,ok,1,12.467,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80264/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r1_ds80264/geometry.log,0,
GEOM_WDBC_z_r5_ds80262,ok,4,12.602,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80262/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80262/geometry.log,0,
GEOM_WDBC_z_r5_ds80261,ok,6,12.808,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80261/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80261/geometry.log,0,
GEOM_WDBC_z_r5_ds80264,ok,5,10.022,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80264/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80264/geometry.log,0,
GEOM_WDBC_zz_r1_ds80261,ok,2,9.839,satml_results/wdbc_geometry/runs/GEOM_WDBC_zz_r1_ds80261/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_zz_r1_ds80261/geometry.log,0,
GEOM_WDBC_zz_r1_ds80263,ok,7,9.442,satml_results/wdbc_geometry/runs/GEOM_WDBC_zz_r1_ds80263/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_zz_r1_ds80263/geometry.log,0,
GEOM_WDBC_z_r5_ds80265,ok,0,10.873,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80265/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_z_r5_ds80265/geometry.log,0,
GEOM_WDBC_zz_r1_ds80262,ok,3,10.332,satml_results/wdbc_geometry/runs/GEOM_WDBC_zz_r1_ds80262/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_zz_r1_ds80262/geometry.log,0,
GEOM_WDBC_zz_r1_ds80264,ok,1,10.252,satml_results/wdbc_geometry/runs/GEOM_WDBC_zz_r1_ds80264/geometry.csv,satml_results/wdbc_geometry/runs/GEOM_WDBC_zz_r1_ds80264/geometry.log,0,
