outcome,attack,term,coefficient,cluster_se,ci95_low,ci95_high,n_targets,n_blocks,model,uncertainty
train_acc,target_model,intercept,0.9708333233992235,0.010928473837505543,0.940491015705799,1.0011756310926478,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_acc,target_model,reps_5_minus_1,-0.07583332856496305,0.007918654275795228,-0.09781903746874833,-0.05384761966117778,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_acc,target_model,fm_z_minus_eff,-0.038125002384186424,0.019434249498294212,-0.09208312927691817,0.015833124508545314,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
train_acc,target_model,fm_zz_minus_eff,0.030000001192093173,0.007661609365186024,0.008727963372184823,0.05127203901200152,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,intercept,0.9879166642824782,0.017745391888133774,0.9386475578348524,1.037185770730104,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,reps_5_minus_1,-0.15083332856496334,0.013309046769194425,-0.1877851663221418,-0.1138814908077849,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,fm_z_minus_eff,-0.08625000715255816,0.014775785598928193,-0.12727416475415448,-0.04522584955096186,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
valid_acc,target_model,fm_zz_minus_eff,-0.013750004768371384,0.025712847373597903,-0.08514031399949537,0.057640304462752597,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_acc,target_model,intercept,0.948328264554339,0.010597655682123345,0.918904455309136,0.9777520737995421,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
test_acc,target_model,reps_5_minus_1,-0.13900708754857527,0.012191320534059377,-0.17285561977126185,-0.10515855532588869,30,5,outcome ~ block fixed effects + reps_5_minus_1 + fm_z_minus_eff + fm_zz_minus_eff,CR1 standard errors clustered by paired experimental block
