outcome,attack,factor,contrast,mean_difference,sd_across_blocks,ci95_low,ci95_high,n_independent_blocks,bootstrap_replicates,inference_unit,paired_sign_flip_pvalue,holm_pvalue,multiplicity_family
train_acc,target_model,repetitions,5 - 1,-0.07583332856496174,0.015422285050684766,-0.0866666475931803,-0.0620833476384481,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,Z - EfficientSU2,-0.0381250023841858,0.0378499332171845,-0.06812500953674318,-0.012499994039535533,5,10000,paired split/init block,0.125,0.25,4 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,ZZ - EfficientSU2,0.030000001192092906,0.014921667174947978,0.01812500357627872,0.04187499880790709,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
train_acc,target_model,feature_map,ZZ - Z,0.06812500357627871,0.029925045201564297,0.0462499976158142,0.09125000834465032,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,repetitions,5 - 1,-0.15083332856496173,0.025920554917369318,-0.16999999682108563,-0.12999998728434242,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,Z - EfficientSU2,-0.0862500071525574,0.028777159529620976,-0.10875000357627873,-0.06375001072883606,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,ZZ - EfficientSU2,-0.013750004768371604,0.05007806223748237,-0.050000000000000044,0.02875000238418579,5,10000,paired split/init block,0.5625,0.5625,4 prespecified estimable contrasts within outcome × attack
valid_acc,target_model,feature_map,ZZ - Z,0.07250000238418579,0.024843258942845954,0.0537500083446503,0.09500000476837157,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
test_acc,target_model,repetitions,5 - 1,-0.13900708754857383,0.023743683443188147,-0.15805470943450928,-0.12158054113388066,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
test_acc,target_model,feature_map,Z - EfficientSU2,-0.058662611246109,0.020350003080241045,-0.07294833064079283,-0.041337370872497545,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
test_acc,target_model,feature_map,ZZ - EfficientSU2,0.005775082111358654,0.01893303140625591,-0.010334354639053356,0.02097265124320985,5,10000,paired split/init block,0.5625,0.5625,4 prespecified estimable contrasts within outcome × attack
test_acc,target_model,feature_map,ZZ - Z,0.06443769335746766,0.009825661562542273,0.05805471539497377,0.07294832468032839,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
gap,target_model,repetitions,5 - 1,0.06317375898361206,0.03854765343324135,0.03533055782318116,0.093126898606617,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
gap,target_model,feature_map,Z - EfficientSU2,0.020537608861923233,0.041672032592296314,-0.012078285217285167,0.053153502941131636,5,10000,paired split/init block,0.3125,0.625,4 prespecified estimable contrasts within outcome × attack
gap,target_model,feature_map,ZZ - EfficientSU2,0.02422491908073423,0.029646133826587245,0.002995818853378283,0.05033435225486751,5,10000,paired split/init block,0.125,0.375,4 prespecified estimable contrasts within outcome × attack
gap,target_model,feature_map,ZZ - Z,0.0036873102188110024,0.024138523020486944,-0.015096896886825579,0.022218865156173693,5,10000,paired split/init block,0.75,0.75,4 prespecified estimable contrasts within outcome × attack
train_loss,target_model,repetitions,5 - 1,0.16225950891772906,0.025339928095776693,0.14119672452410065,0.1801197091738383,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
train_loss,target_model,feature_map,Z - EfficientSU2,0.018552696518599972,0.060189094810745,-0.024116964451968693,0.06960553713142872,5,10000,paired split/init block,0.625,0.625,4 prespecified estimable contrasts within outcome × attack
train_loss,target_model,feature_map,ZZ - EfficientSU2,-0.10358581189066171,0.017185139845302132,-0.11761657260358335,-0.09072237797081473,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
train_loss,target_model,feature_map,ZZ - Z,-0.1221385084092617,0.044176392795457244,-0.16032791510224342,-0.09047442525625231,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,repetitions,5 - 1,0.3055024872223536,0.05622449990151569,0.2592713803052903,0.3476640666524569,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,feature_map,Z - EfficientSU2,0.07682084552943706,0.05657659459296741,0.033667519688606255,0.11997417137026786,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,feature_map,ZZ - EfficientSU2,-0.016875291988253598,0.113844328563643,-0.10915163867175579,0.06751598566770553,5,10000,paired split/init block,0.8125,0.8125,4 prespecified estimable contrasts within outcome × attack
valid_loss,target_model,feature_map,ZZ - Z,-0.09369613751769065,0.062062851733595874,-0.14295411333441735,-0.04656663835048676,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
test_loss,target_model,repetitions,5 - 1,0.333082726597786,0.0566522734725374,0.2892228772242864,0.375216909746329,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
test_loss,target_model,feature_map,Z - EfficientSU2,0.07456467598676679,0.02952539453966674,0.04909015074372289,0.09386911028996099,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
test_loss,target_model,feature_map,ZZ - EfficientSU2,-0.00511249601840975,0.033504245850060906,-0.030547160655260107,0.020345187932252852,5,10000,paired split/init block,0.8125,0.8125,4 prespecified estimable contrasts within outcome × attack
test_loss,target_model,feature_map,ZZ - Z,-0.07967717200517656,0.037290924653886386,-0.1084588699042797,-0.05101958066225054,5,10000,paired split/init block,0.0625,0.25,4 prespecified estimable contrasts within outcome × attack
